sampleID	measurement1	measurement2	measurement3
08-00	140946818.67767292	149319269.6639906	150899973.53248858
08-01	318371506.74204403	323416781.5875077	280651059.0733835
08-02	228332085.66401136	238845166.4558105	238196628.8587821
08-04	84162967.3425133	85504220.59480326	74738381.1800479
08-06	88930813.5913489	92740745.76267289	90716095.47261575
08-09	131285794.26165727	127012273.65660344	139326199.50605172
08-11	316121438.9001391	299774122.1342854	317146559.1830787
08-12	274931024.297502	284300598.2508385	257339711.53892875
08-14	286692187.2617713	275175623.56730914	278300259.63948697
08-15	263755088.39732948	254661475.2680863	260304572.51421762
08-16	308168196.8545997	301149165.34371966	305360094.53426456
08-18	350959964.6960308	351266688.9477483	347399531.2924105
08-20	278928359.0673228	273991412.0280349	277395887.9011976
08-24	519338984.9314834	483635694.4787862	524882410.5266899
08-25	601309637.842451	581958940.4066418	564973288.5408385
08-26	553996059.888137	492408230.59437716	547292158.279992
08-28	536574698.07634985	553348866.9294875	577307724.5305828
08-29	397653105.05668265	365799944.99509	390005332.7137595
08-30	343011407.93104255	324070603.7233956	335399365.77085364
08-32	353841442.7146548	354764351.0599062	372916987.18851966
08-34	292860136.10704136	282030710.1178968	255385977.62161207
08-37	244641877.30161998	263516176.66782516	259092611.2427764
08-39	393397758.98778886	367967408.43893474	380968282.8730291
08-40	337538127.7096793	342045120.2318476	340304734.88086766
09-00	124856073.48198889	124610838.5600293	125457388.79662798
09-01	301732482.9607602	284109895.39057165	315951145.2469465
09-02	112705428.65316536	115654234.66963677	111197459.62417586
09-04	98303756.34488538	97460573.90756884	94971132.28356227
09-06	59477468.167033605	61772675.56410502	63337097.25199207
09-09	111478315.15565579	116068457.93603382	98300609.46215507
09-11	239710610.6345488	265638141.1519829	239954326.5902147
09-12	195670150.86404797	208746082.13905975	182482712.3240817
09-14	415599625.2670907	407928033.5918759	399774144.52844995
09-15	311519909.592124	307791340.60428953	342847234.5709216
09-16	255229694.91389516	269262984.0722654	254660591.05945098
09-18	335845542.09269834	346848912.23560905	339121206.50198156
09-20	542042993.005279	559391933.4214277	493758809.8785944
09-24	586341322.1543458	538936914.910012	564967871.6969835
09-25	860174075.0878565	859127840.0100902	868627754.1065344
09-26	692576010.9341679	667018885.7819782	704860844.3313959
09-28	404414777.41052645	410075059.6312166	416888679.3396517
09-29	456750968.4426513	454509454.16652906	456948008.50196266
09-30	437791211.38877827	457714627.7264968	449327101.93009573
09-32	321615480.8416708	326716595.28219515	328912645.24314976
09-34	282543554.437678	293652149.30607826	256694486.46650407
09-37	150938664.3373177	147418630.56318063	151217944.04921553
09-39	215124918.96665877	204966222.75301987	223384666.12854877
09-40	276057994.38115615	270398119.5860509	284200046.3930505
10-00	109561216.9819793	109467978.11916947	107567976.28047857
10-01	195367488.51593214	199071184.6330248	187497827.14294076
10-02	125356433.70876746	139517379.3440126	118347053.97842002
10-04	85990095.4260053	85808410.60081881	85426628.07808496
10-06	123202916.9875124	117314156.36049543	130182854.30459325
10-09	188026717.78419763	184774026.89930242	169677151.8362316
10-11	263964156.94157484	257845520.91112664	255254768.73603663
10-12	228856410.94266573	234365917.0438247	215813855.98603526
10-14	274439953.4117404	253297140.36868384	285211138.68971235
10-15	298809155.64648217	299754318.8000579	290527516.07235783
10-16	277193003.65231234	279362129.5198047	270670130.3475215
10-18	349052192.7760984	353104357.766435	345265856.6206874
10-20	382509897.2738157	371085931.8648187	391028263.60612667
10-24	584932977.8562965	577974564.5627364	573456914.5980108
10-25	447440586.7937362	415581454.356478	379292184.99886906
10-26	437749725.21186423	426952193.0426968	449641456.76982546
10-28	257954751.95279485	250953067.0832638	263617412.8149405
10-29	295936077.2516073	302092288.1831551	292687571.71560115
10-30	347755697.7287489	327652246.3147514	328906702.15948474
10-32	222288162.0255518	230970716.53590003	226197989.73757702
10-34	211434557.5081885	227233841.42655644	215443732.36941242
10-37	218862278.8113162	196210196.82732815	213718655.4201079
10-39	199696672.3748902	203952794.88024676	197532644.70124763
10-40	232158615.48493272	240016117.09609511	221361423.19441503
11-00	191753458.05620462	185641920.35906956	190041204.25726146
11-01	305692310.1962367	299620163.26133573	281994593.78150636
11-02	125081709.87711321	124250663.38441147	127691657.46204136
11-04	121729670.20473763	119917170.92776008	115981786.95774828
11-06	165100828.60564753	162549913.74366897	167066379.95568392
11-09	89078790.30626169	81613970.72543347	82816716.51643127
11-11	219082714.0240159	231705510.35742727	212619142.49962988
11-12	331759551.04704905	349668240.0168582	329926755.27604264
11-14	433173014.45365816	415556642.0532406	397204497.2731566
11-15	319018936.85710734	295628080.35525954	320855654.4606328
11-16	271682753.4207025	278760970.4379777	266532360.7289042
11-18	339941802.124415	330155082.1194244	310326816.83311933
11-20	323356256.7609706	325651328.9373099	302285671.8299398
11-24	609412999.2652689	599682854.8431177	627851401.5330771
11-25	466949179.3760189	483094851.9919659	487858136.0029425
11-26	645070297.8599896	667478399.7117972	640815780.5823312
11-28	429312862.1169659	413737447.75232744	438001334.71710366
11-29	385640831.4145894	358966750.1192132	389956992.3077292
11-30	410975973.3911889	378448490.95803523	417749329.6877916
11-32	280408277.7360364	288966049.2590886	298438305.76711
11-34	340846377.7681323	320585459.1835425	315163630.5014467
11-37	413063611.70568126	402596242.01677513	427034677.3699994
11-39	283298697.51372606	274851947.9936171	277887565.53603727
11-40	272425344.1835786	271709310.99462706	269370653.3160913
12-00	70491093.1867553	63666569.17527737	69425797.4909963
12-01	216623042.55868804	218667732.25906	212559767.06777373
12-02	110123089.92226407	113007714.83862212	103371464.24776112
12-04	98473766.22607453	98909129.02251741	99376471.29846297
12-06	154037421.5339222	151643016.31997296	166906809.3489656
12-09	79556354.18730064	79943794.2935797	79333067.26447943
12-11	282306657.2138241	287939329.209377	282287106.87459195
12-12	290479899.36329514	250210776.12018442	280497571.6060073
12-14	432680510.3827912	474994767.1726859	430139063.0477325
12-15	475719699.1543885	484998453.0599503	486807926.7518278
12-16	319118488.13788074	308708706.1149045	313210927.7417783
12-18	355017566.95694727	348077801.15431184	346962146.63047165
12-20	439255818.7732209	450099766.20682406	448112633.56180155
12-24	501748909.4819992	498836158.2421463	478718514.8742002
12-25	446708089.8247524	401351930.8427791	452347704.12318754
12-26	349628025.8038826	385718253.974046	363968400.3289028
12-28	453167114.00275505	450662444.4718547	483981311.7940124
12-29	420849277.02171135	442316224.429855	418947416.90079767
12-30	390249287.99099225	376745689.9733856	416934480.44564307
12-32	389423638.2926604	419338715.40534836	409564821.36663693
12-34	258123603.74217838	261819206.9864636	245266303.90087387
12-37	215110732.7145624	221659174.88170028	202011150.43305808
12-39	261488046.4722425	247821983.43312737	257500829.17686146
12-40	300477740.1477188	318673850.1294394	315936350.7263529
13-00	236659136.82477334	244821725.39401597	235803767.78413352
13-01	165852230.9251756	176647935.99991977	160871211.12719503
13-02	142926807.55851865	138438280.07017908	154019665.67245984
13-04	163362547.037166	159433456.27388087	165706019.43299705
13-06	148981672.64246956	166143740.804963	131695371.8058773
13-09	128418340.23275682	121612066.60403876	130454802.29354127
13-11	200550915.10595566	199187673.26198477	205765646.1631782
13-12	192348168.31553334	203282116.87405232	194517938.8877158
13-14	380767338.5825778	382627862.3760705	389329122.5592637
13-15	124312096.0862015	127935505.77876632	123893937.48816693
13-16	296525081.7165811	290602748.91439193	276978209.56752074
13-18	443861540.4827945	452074219.30503094	435634477.98616606
13-20	432378607.5361029	404132894.49301064	411935405.4887642
13-24	612309132.2790781	663073560.1611947	583752843.392593
13-25	386458747.51496434	384175471.0708799	362052556.9039714
13-26	380666299.0423981	367720253.06215876	389278666.45500743
13-28	474230603.49210465	490031566.04955083	476551870.8980337
13-29	238957485.65176472	233452863.55254552	233602862.24064505
13-30	578874178.1561662	540255789.3521076	560079930.1931384
13-32	250068208.5063368	233229646.80439097	249775339.81081828
13-34	267073363.8337129	276337780.3150366	281484572.1471435
13-37	326841598.07359195	324233836.1969008	294088544.7066983
13-39	170630836.2413848	169490155.79473466	173846174.03701138
13-40	322463588.5719954	339840245.33381265	313664976.4985713
14-00	52661698.05173433	49694670.02685188	47699423.51569031
14-01	200252798.30960125	192936785.07591364	180771173.95544118
14-02	232114791.90909693	227647977.0681907	221521264.36913335
14-04	317996878.6063237	319497054.15104246	321487046.28464615
14-06	130896063.951711	130620060.1024576	133468583.49887626
14-09	55188217.88576886	54396578.241656326	52597181.90458568
14-11	253848089.8216182	253065902.59889024	266756531.62055522
14-12	220185384.42590445	219004031.75034943	235851392.83651027
14-14	404958938.1898053	390388426.7345724	412978878.3335671
14-15	376032192.7222742	360746615.91458297	364912870.6243898
14-16	298428787.96798646	302524967.1636335	315206740.6880555
14-18	394635167.5193692	377055846.36819553	409540452.8644448
14-20	431628754.7486118	406651364.28229654	450348653.7897538
14-24	439140550.6312453	432283541.0753849	424726559.64642483
14-25	473499544.58855796	469766781.5710478	406391531.2206071
14-26	461889015.3850953	514006805.0932692	510775141.41955054
14-29	416655544.88632214	401974681.0154011	383096473.93957007
14-30	302696305.3559088	316972382.1776889	302154962.19581914
14-32	251906622.40836567	261317706.88698676	281892898.42037493
14-34	298804814.9785513	281041691.1105846	303743711.30329
14-37	326746138.56030715	339379009.78513515	342254269.54916424
14-39	292696308.1563955	275370433.5222748	270709011.6941524
14-40	411582603.9727112	356859152.2663792	374999764.26143426
15-00	94253482.71852307	97110869.05907857	91743028.04862538
15-01	336398369.20380396	306864432.7653657	354744690.79746634
15-02	322830152.2858905	330108914.3346785	317241164.19024616
15-04	138157200.56944615	133432149.02992778	132667964.08994405
15-06	124219665.00170793	134527107.1995091	125449236.52362092
15-09	123212316.53864244	129794992.45529437	129877703.76930875
15-11	232339233.80538207	227072268.29112864	215553418.8680169
15-12	231480130.96406114	223519093.9499148	217469298.42319614
15-14	394352064.14197373	370413367.64505905	378801396.71991974
15-15	184427749.63791874	180361831.19601125	194521834.24369174
15-16	269723419.2049344	265942497.0672315	272890262.44902503
15-18	579893912.9339778	569319734.610025	641715052.1455389
15-20	636669871.9491537	641658303.1226634	666480210.966765
15-24	486038072.4646207	500097246.1463952	485185192.8586937
15-25	535619027.6480138	544983106.6613877	569499015.7248216
15-26	621216599.061296	597481654.5811703	627785871.809342
15-28	648792028.9221764	602150646.5494398	625924661.1959828
15-29	489759792.44107795	523174434.1763733	506411009.37020975
15-30	479092413.90117764	462576920.19676626	462412173.0280759
15-32	419896775.02161723	406201976.07261944	413799934.7164587
15-34	346137269.20392597	337117116.93901706	369117023.0276821
15-37	377476484.23799604	342690713.5380342	375564915.2712089
15-39	377135897.47185916	368122839.7227578	361991225.0762652
15-40	127461627.48288567	124404741.94863161	124502365.59028499
