name	08-00	08-01	08-02	08-04	08-06	08-09	08-11	08-12	08-14	08-15	08-16	08-18	08-20	08-24	08-25	08-26	08-28	08-29	08-30	08-32	08-34	08-37	08-39	08-40	09-00	09-01	09-02	09-04	09-06	09-09	09-11	09-12	09-14	09-15	09-16	09-18	09-20	09-24	09-25	09-26	09-28	09-29	09-30	09-32	09-34	09-37	09-39	09-40	10-00	10-01	10-02	10-04	10-06	10-09	10-11	10-12	10-14	10-15	10-16	10-18	10-20	10-24	10-25	10-26	10-28	10-29	10-30	10-32	10-34	10-37	10-39	10-40	11-00	11-01	11-02	11-04	11-06	11-09	11-11	11-12	11-14	11-15	11-16	11-18	11-20	11-24	11-25	11-26	11-28	11-29	11-30	11-32	11-34	11-37	11-39	11-40	12-00	12-01	12-02	12-04	12-06	12-09	12-11	12-12	12-14	12-15	12-16	12-18	12-20	12-24	12-25	12-26	12-28	12-29	12-30	12-32	12-34	12-37	12-39	12-40	13-00	13-01	13-02	13-04	13-06	13-09	13-11	13-12	13-14	13-15	13-16	13-18	13-20	13-24	13-25	13-26	13-28	13-29	13-30	13-32	13-34	13-37	13-39	13-40	14-00	14-01	14-02	14-04	14-06	14-09	14-11	14-12	14-14	14-15	14-16	14-18	14-20	14-24	14-25	14-26	14-29	14-30	14-32	14-34	14-37	14-39	14-40	15-00	15-01	15-02	15-04	15-06	15-09	15-11	15-12	15-14	15-15	15-16	15-18	15-20	15-24	15-25	15-26	15-28	15-29	15-30	15-32	15-34	15-37	15-39	15-40
B_caccae	28497.3	50206.9	168886.5	125794.9	107796.5	83374.9	44684.2	37591.0	23363.3	35168.4	18064.4	9565.2	18109.9	17332.6	21345.4	15624.0	12588.8	23737.1	21848.5	25607.3	49902.0	56061.4	32864.3	21607.1	31558.6	31010.7	84643.0	35504.8	41127.9	56049.2	53782.0	61248.1	12551.4	16170.7	23684.7	19016.4	16720.9	32342.7	30936.9	24328.6	24870.7	19099.7	23512.6	52330.0	36994.0	57525.7	78078.8	35317.9	25036.2	118311.1	165833.1	126210.1	154560.2	47402.2	25915.9	33161.5	26621.8	18165.7	11849.9	10894.0	21103.0	9999.0	27677.4	15180.0	17411.3	18287.6	108653.6	33726.7	51310.9	29893.1	54374.7	39841.8	31749.4	68381.4	89280.6	70530.1	95372.0	68332.2	49536.7	62106.6	24748.4	26952.5	17367.7	13401.4	10561.2	6585.0	2503.2	5651.7	20570.0	16268.5	9074.1	33352.2	48364.1	41644.2	44393.6	83534.8	49718.5	161563.5	189299.5	115401.4	157037.3	108134.3	74408.5	53808.8	21099.6	25563.3	20528.4	12634.5	10252.4	15488.3	4291.5	9635.6	24678.7	61453.5	46237.5	43510.4	31341.0	62496.4	72551.0	32093.5	10062.0	70546.7	40620.4	153122.9	147159.2	105486.6	40999.1	62512.5	37373.0	18500.1	13501.5	12658.3	5333.5	2914.7	8294.3	3697.7	2645.2	58394.1	55805.9	18435.5	17978.3	16700.8	33483.2	22843.6	22324.3	138631.6	144616.3	110919.1	86089.2	76395.7	39930.2	71021.4	18475.0	17438.8	19688.9	16429.8	22060.8	8613.9	3830.2	12507.1	26590.2	37412.0	67576.4	34745.8	63917.9	49502.8	54402.4	21942.2	105221.2	28567.5	121037.0	124721.3	109233.5	43808.1	51115.9	23657.7	23367.7	16737.5	17036.1	34797.7	16976.8	28049.2	27524.4	6238.1	17059.6	15132.0	46866.2	47229.6	52108.0	60357.1	33688.9
B_cellulosilyticus_WH2	35338.8	15558.4	43971.7	47550.3	49646.6	46328.8	24255.8	19336.2	40034.1	51261.9	47711.5	34933.0	75094.9	97411.5	176473.4	128677.8	22432.7	24957.3	20659.3	30742.0	35468.5	52826.4	35083.8	27991.4	31263.6	10546.0	18322.8	19896.1	16960.0	38287.7	31672.9	35209.5	16595.4	24653.3	55521.6	44659.3	39127.0	86026.9	83545.4	76262.0	31378.6	14967.2	12244.9	35043.2	29593.4	42387.6	39269.9	22190.7	33839.3	57717.0	52007.1	86831.2	123234.5	28789.2	19788.6	30929.2	44532.5	55831.1	42419.2	48345.6	70769.0	34753.0	81805.4	46024.6	33025.9	11496.9	58991.8	26046.8	47265.9	29593.4	50308.2	25851.2	26681.0	23619.4	19831.1	26245.0	30682.9	33203.5	26567.2	24728.5	22713.3	42095.9	38506.1	49426.7	53978.4	53103.3	16224.7	44598.8	43542.6	17032.1	5270.0	12064.7	33009.8	25889.8	26949.7	41022.3	38465.1	89004.8	67279.2	57850.9	61101.6	43409.0	40018.8	23169.5	29000.3	46853.5	48218.2	48911.8	39320.7	62732.1	14202.0	34972.9	30712.4	45233.5	28517.9	24271.0	26221.9	32691.2	28196.9	10390.7	12826.8	47246.4	11077.4	58749.0	96214.6	75759.5	43469.7	44428.6	56925.2	43341.4	42408.5	59650.7	39726.7	24291.8	49193.1	24089.3	13080.8	98563.7	89211.7	41110.4	36565.4	23315.1	45615.9	20798.3	46176.8	111850.8	37240.8	42114.3	55509.5	36781.8	20920.3	35399.2	22055.8	54299.5	69012.4	96963.4	102677.6	49164.2	25250.6	100384.0	23721.6	28335.6	37589.0	23796.5	42565.7	21725.0	29577.8	15753.1	56268.8	12906.5	64333.5	75516.9	46296.2	21761.1	24243.0	19920.4	53621.6	52258.8	69903.0	160336.8	70669.0	96193.9	109106.1	8080.8	10936.3	8245.2	37008.4	32391.5	45301.3	35537.0	10929.2
B_ovatus	45337.2	11368.0	9588.0	2347.0	4592.9	3722.6	2656.7	2033.4	3695.9	13048.4	13710.2	8022.7	18726.9	40801.9	74566.2	67849.5	7011.2	3000.9	630.7	400.2	971.3	1744.3	657.2	529.3	33480.3	7668.1	4336.8	3308.7	1442.4	4005.6	3043.1	2812.3	2915.3	5533.5	15550.7	10122.7	12619.3	28073.9	31865.0	29310.2	8588.3	2455.4	618.1	1003.8	431.9	487.4	701.6	561.8	38552.7	35660.3	11293.3	3577.7	11046.9	2243.3	3324.2	4772.0	8264.1	12182.3	9845.2	10135.7	21347.7	12160.5	47755.3	29722.6	10701.4	2012.2	4172.4	943.5	1650.6	954.0	1638.6	1337.1	35812.0	20563.9	4705.4	2103.9	2854.0	2604.3	2471.2	2937.5	3910.2	9748.0	7847.4	13225.5	18677.8	23667.6	8861.2	22020.3	14708.3	1865.1	344.7	1977.7	1967.8	1012.1	1139.2	2820.4	41879.1	59128.9	12797.9	1975.5	5288.5	4223.3	1941.4	1313.9	4937.8	12293.9	11461.6	12240.0	9385.4	22408.0	6490.3	17557.6	9769.2	3549.2	748.6	647.9	550.7	940.9	1005.1	608.7	12989.8	39712.3	5780.7	4413.4	5817.0	5756.1	3429.5	3764.9	9804.3	9528.5	10394.8	17197.1	12013.0	8168.5	24061.5	11079.6	3348.7	10142.2	2588.2	613.4	1111.3	1388.1	1956.9	1351.6	47535.1	78696.4	13436.3	2338.5	4131.6	5338.7	2174.2	3151.8	3814.2	10428.3	16516.9	20291.7	28888.3	23227.1	11906.9	52993.9	1684.0	742.8	951.9	516.2	828.1	569.3	998.3	11458.8	45772.7	3138.5	3855.9	11533.9	5139.5	2254.6	1979.7	2352.2	7098.0	8716.0	8914.4	29376.6	26210.4	42476.4	47964.0	2799.4	1233.5	287.6	862.7	1059.0	1113.7	1313.5	990.5
B_thetaiotaomicron	10517.7	22206.2	84214.7	16012.1	15354.7	20254.4	23303.1	15765.3	17719.0	36247.7	18665.6	6538.0	17442.6	10832.7	18793.9	19903.0	16772.2	19630.8	19969.6	11943.2	25755.8	31944.4	21624.8	20390.1	7913.4	15550.3	51122.9	9354.4	6285.4	19801.9	21195.6	13922.5	15538.6	16437.0	16167.4	9269.9	8046.9	23759.5	24361.4	28471.2	26374.7	13763.4	22247.0	29546.8	17223.2	29592.4	42621.4	36147.8	12915.3	69874.7	70824.5	23312.7	35591.8	14075.4	18001.1	16399.7	39063.3	17546.1	18599.3	15155.9	18643.8	7863.0	19665.5	11870.0	11933.6	10185.8	89119.1	24549.7	33082.3	21094.1	33612.9	46241.3	9070.3	23299.9	38705.5	14686.3	6514.6	15304.8	29941.0	11100.1	48954.1	25389.0	14368.7	10308.8	15451.2	14010.5	4174.0	11197.3	27528.7	15258.9	10867.3	22340.4	29674.2	27977.3	31849.1	85418.5	6565.9	86847.7	75074.9	20213.5	32787.2	26646.8	24097.6	8466.2	22209.4	15323.3	18097.8	9496.8	9764.7	12901.5	2728.2	7326.0	13980.1	27429.3	20383.0	23693.4	20389.1	35832.9	36348.3	26089.8	3315.5	24895.1	36677.4	37304.0	45267.6	26255.0	20867.0	21664.3	30384.7	19497.1	10176.8	13263.7	9248.5	5490.3	13051.8	5687.0	5753.1	57625.7	51695.0	16161.9	23148.6	26113.3	48775.6	58437.5	11420.1	78799.9	57282.7	18664.9	18433.0	20032.9	15014.6	17887.7	30332.8	13171.6	17282.4	16693.5	22063.2	12696.8	6332.4	24241.1	14758.2	19901.8	18291.9	15261.4	32854.0	21910.4	52587.5	3860.9	40657.2	16186.2	23176.2	31942.7	27926.1	12291.1	13319.5	35839.3	23139.0	11748.0	14081.4	28501.8	13731.1	17162.5	15263.9	3988.4	9000.5	7262.3	23224.2	19954.8	27766.5	34519.5	30956.7
B_uniformis	821.7	673.4	8355.4	13199.0	9048.5	7196.5	4509.4	3533.1	4474.1	6009.9	6587.4	3460.3	8266.5	9504.9	8062.2	9381.5	1441.3	2918.6	2429.2	3208.9	8450.4	13149.3	3828.9	2169.7	661.8	511.2	5847.9	3272.7	2262.1	1923.6	3802.3	4839.9	3870.7	5253.1	11076.3	13269.0	11643.6	28586.9	34588.7	34487.5	9848.7	4765.5	2758.0	5177.7	3468.6	6810.4	7396.9	3076.0	4268.2	2654.3	9383.1	19286.1	15034.5	4625.4	8568.7	10192.8	10497.4	9879.4	6768.8	5847.2	9653.7	3509.1	7337.0	4811.7	2446.5	1332.2	7358.5	3750.3	8621.6	4365.9	5246.8	2284.5	844.2	1494.2	7295.0	8538.2	4867.9	3590.4	2612.2	3473.2	4081.5	5481.2	5056.2	7952.2	10905.9	14485.0	4478.2	9317.7	3429.1	2063.1	702.0	7215.5	4413.5	3026.8	2797.8	4980.2	1095.1	3412.9	10501.8	4256.6	6234.7	10170.9	7897.2	4929.1	5253.1	7478.5	7203.7	7041.0	4402.0	9777.3	2940.4	9457.3	3148.3	4480.3	3353.1	2551.0	2815.8	2739.1	1950.8	598.1	353.3	1192.9	1425.1	18514.5	17416.4	12937.7	10013.5	10221.9	9281.4	6063.5	4444.5	6033.0	5234.1	3617.9	9291.6	4744.9	1500.9	17030.7	12065.5	3953.7	3588.1	2502.0	3336.2	1564.2	1426.7	3413.6	7715.1	15228.2	6868.1	7596.8	5844.4	9426.7	7428.1	5972.7	6433.7	9099.5	12827.9	12857.5	6437.4	28487.5	6956.0	6856.8	4565.8	3043.4	7410.3	2304.4	1979.0	374.4	1900.0	1235.2	7487.7	8075.6	7891.2	6240.5	8547.9	4755.5	7045.6	4834.6	3721.0	14663.9	8523.7	10909.4	12947.4	1065.8	2621.0	1769.2	5211.0	4107.3	6252.3	5491.3	4225.7
B_vulgatus	38946.4	30328.1	55174.3	49396.8	92355.4	68982.3	50257.5	32740.6	23408.2	23274.6	12237.7	10993.0	24959.5	40375.7	88060.6	56406.6	23585.8	41083.1	26123.8	33958.8	48997.6	72421.2	39836.9	31555.8	37836.7	16546.7	29008.7	25643.9	21729.0	26821.7	41665.4	49568.9	11584.6	16353.4	9779.5	16189.1	19429.4	42062.3	40713.5	34305.0	39181.2	20425.2	19108.9	47573.1	38250.0	58230.9	93419.2	39957.4	73431.9	102830.5	72760.8	58417.6	79727.4	22055.4	24847.6	36329.5	15349.2	8017.2	7724.6	11547.2	27322.8	17426.0	33442.7	19454.5	35501.2	12124.7	72461.9	29294.8	50529.1	36130.9	64962.6	40379.9	64058.0	57498.1	30373.3	34069.3	46854.7	27303.2	23697.2	43534.2	11310.7	13320.0	6782.6	20030.7	27586.7	24887.5	6871.2	21479.0	39549.8	23183.5	9700.6	52274.9	55430.4	39151.7	51796.4	77898.5	45557.9	151693.3	88946.5	44784.2	85708.1	61776.5	42975.8	33984.5	15457.8	17143.7	10224.0	14836.9	17361.9	27263.1	6276.7	12939.4	28759.3	53770.0	34349.5	39986.7	38096.2	61049.7	75218.0	18283.0	13657.8	48568.7	17932.1	80349.3	68605.3	53652.7	36390.6	43822.2	24410.5	13596.4	10879.7	16493.5	11830.6	7050.3	16281.7	7904.3	10215.8	127790.6	103041.5	40281.6	48860.9	42015.0	74084.9	44938.2	62774.0	192244.5	49292.5	33084.5	54313.5	49142.1	33516.3	57263.5	14500.2	16486.3	12820.9	22474.0	33093.6	22253.9	11405.7	40503.6	41347.9	42737.4	51049.5	39944.5	59746.3	33305.8	43520.5	19027.7	62205.2	9276.7	40347.2	58620.7	49014.9	36425.9	39762.6	15439.9	9480.5	5275.6	20262.1	65758.4	27792.2	40922.6	48576.1	11219.4	19250.7	9319.3	35302.7	42325.8	48971.4	69236.7	33986.8
C_aerofaciens	680.3	647.2	2223.9	962.1	1326.6	312.3	377.5	492.4	502.4	1295.3	1222.2	147.0	283.6	617.2	644.6	859.9	1412.7	2488.8	1400.6	110.5	186.2	1369.2	190.1	131.8	439.7	510.2	923.8	468.0	520.2	513.7	348.4	520.2	665.9	453.7	760.3	345.8	433.2	1204.0	934.7	1117.8	1702.4	664.6	1278.8	179.2	77.4	233.1	677.7	313.2	77.9	3180.8	2613.2	1107.4	2166.1	801.2	217.9	267.1	886.0	434.5	709.4	213.1	396.7	137.4	525.4	554.6	680.7	340.6	4197.3	152.2	260.1	313.6	183.1	1281.4	462.4	1021.7	886.0	275.8	1824.2	2020.4	719.0	132.2	588.5	946.5	641.1	315.3	684.2	798.6	169.2	977.8	2917.2	1583.2	442.8	132.2	172.7	839.9	166.6	993.0	1270.1	4451.3	2710.6	609.8	3687.5	1643.7	580.7	202.3	353.6	418.0	418.9	151.4	194.9	585.4	109.2	104.0	1687.2	1859.4	2760.7	114.8	166.2	390.6	330.1	489.3	186.6	663.3	569.4	879.9	882.5	2877.2	117.9	663.3	372.3	344.5	405.8	391.5	342.7	217.9	514.6	208.3	166.6	3265.2	3635.3	133.1	262.7	239.7	289.2	707.2	361.0	4593.5	1277.0	244.9	613.7	838.2	267.5	394.9	504.5	556.3	633.7	324.9	1415.3	326.2	207.9	1111.3	651.1	1492.3	289.2	345.8	210.5	397.1	224.0	271.8	1079.1	143.5	767.7	1442.7	2803.7	424.1	637.2	345.8	708.5	760.7	231.0	2808.1	515.0	838.6	900.4	315.8	461.9	309.3	150.9	290.5	233.1	155.7	251.8
C_scindens	4007.2	4137.9	19802.2	6353.7	13462.4	3587.7	2112.5	1958.3	2334.9	5797.2	3641.6	750.9	1595.3	2291.3	2519.2	3206.8	3768.0	7671.0	5483.3	1208.8	1611.2	5805.0	1978.3	1088.2	2884.3	3122.6	10811.8	2254.8	3908.3	2501.6	2715.6	3759.3	2726.0	1820.9	2524.7	1566.7	2603.4	3458.7	2834.5	2411.3	6656.3	2232.3	5722.8	2189.4	1416.8	1746.9	4412.7	4107.0	2044.2	14982.5	21310.7	5791.7	15387.1	4355.5	2179.0	2100.6	2715.9	880.5	1681.8	1305.7	2465.4	640.1	1907.1	1741.1	1749.2	2122.3	30153.5	1832.8	2607.4	3504.7	2600.2	11550.3	3136.2	6172.9	10629.3	2849.3	8437.3	4422.9	5104.1	1422.6	2651.1	3828.7	2068.5	1137.1	3116.2	1939.2	440.0	1790.5	8002.5	4273.0	2769.7	1431.6	1420.9	6119.4	2041.6	9005.4	4625.1	19317.7	21673.4	4943.8	19658.1	7125.7	3275.9	1644.5	2546.1	1941.5	1794.6	841.5	1427.2	2621.6	492.3	407.9	7365.5	10858.1	13094.7	1566.7	1543.2	2573.3	3816.3	4900.7	1054.7	4832.5	6750.6	10267.4	6432.1	13348.1	907.1	3353.2	3647.0	1709.8	1044.0	1738.8	1680.0	754.1	2015.6	508.2	775.2	15819.6	18046.9	1060.7	2707.5	2642.1	2349.4	8247.5	3022.8	23681.8	17372.9	2369.4	3383.8	5976.8	1814.3	2609.2	2759.3	1476.7	2534.2	1159.4	4734.1	1120.9	659.5	3431.3	3997.3	8970.1	2284.9	3182.8	2330.9	3758.4	3297.9	817.5	7445.4	2001.7	5948.4	7929.3	13950.1	3063.0	2967.0	2479.6	2242.4	1732.7	745.7	4468.0	1958.6	3004.6	3290.7	1500.4	1766.2	2148.7	2020.5	3221.0	2069.7	2043.9	4661.8
C_spiroforme	1246.3	483.0	3559.4	2377.1	336.7	66.6	78.8	55.0	74.9	795.0	80.5	18.2	56.3	61.9	71.4	70.5	63.2	85.7	87.4	142.4	131.1	322.0	180.5	102.1	178.3	158.8	2748.0	987.5	1030.0	371.3	67.1	36.8	83.5	81.4	83.5	50.6	38.1	80.9	84.0	32.5	98.2	40.2	160.6	179.2	181.3	277.8	854.3	453.1	26.8	330.6	4155.3	2672.7	2030.9	261.8	28.1	29.9	81.4	20.8	31.2	32.0	72.3	25.5	58.0	28.6	47.2	38.5	1035.1	154.5	189.1	437.1	364.4	976.7	15.1	508.1	2826.3	2134.8	828.3	563.9	99.5	25.5	74.4	91.3	52.8	34.6	98.2	24.7	6.9	18.2	83.5	29.4	31.6	65.8	44.6	431.5	261.8	776.4	94.3	765.1	4156.2	3475.0	1461.4	213.3	28.1	26.4	110.4	65.8	59.3	19.5	32.5	49.8	10.0	12.1	97.8	79.2	75.3	125.5	60.6	159.7	367.8	380.4	12.5	360.9	1255.4	3990.4	1051.2	1519.8	30.7	68.4	260.1	47.6	29.9	36.4	32.5	10.8	50.2	9.5	17.3	208.6	807.1	80.9	186.9	212.0	171.4	364.8	29.4	676.4	4529.6	1186.6	1120.0	52.8	26.0	58.0	48.9	51.1	312.9	30.7	108.6	34.2	13.8	65.3	44.6	100.0	232.4	282.2	187.4	401.2	176.6	52.4	567.3	793.7	1172.8	3424.4	1535.8	27.7	18.6	42.4	36.4	60.6	39.4	85.7	47.2	63.2	57.6	20.8	21.6	23.4	164.4	285.6	126.4	175.3	208.2
D_longicatena	136.0	11.0	2.5	0.4	2.8	0.0	0.7	0.4	0.4	0.4	0.4	0.0	0.0	18.9	50.2	31.0	9.3	9.3	6.8	2.1	8.2	16.0	6.8	2.8	56.6	8.2	1.4	1.1	0.0	1.1	0.4	0.4	0.0	0.0	0.4	0.4	1.1	10.3	9.6	9.3	7.5	5.7	7.1	6.4	1.8	4.6	26.7	3.6	275.9	128.2	9.3	3.2	0.4	0.7	3.6	1.8	0.4	0.0	0.0	0.0	0.4	1.4	12.5	6.1	4.6	4.3	37.0	4.3	6.4	4.6	10.3	16.0	91.1	14.6	0.7	0.0	0.4	0.0	0.0	0.0	0.4	0.7	0.4	0.0	0.7	6.4	2.8	7.5	17.8	8.2	1.4	3.6	10.7	11.0	5.7	8.9	31.3	43.8	10.7	0.0	2.1	0.0	0.0	0.0	0.0	0.4	0.4	0.4	1.1	6.4	3.2	4.3	9.3	11.4	13.2	6.1	6.1	8.9	14.2	2.5	57.7	39.5	4.3	0.0	1.4	0.0	0.4	0.0	0.7	0.0	4.3	0.7	1.4	1.8	6.8	2.8	1.8	22.1	27.4	3.6	8.5	5.0	6.1	8.2	111.1	69.4	2.8	0.4	0.0	0.0	0.4	0.0	0.4	0.4	1.1	0.0	0.0	11.7	7.1	38.1	7.8	6.8	7.8	11.4	7.5	7.5	6.4	34.9	47.3	1.4	5.3	5.7	0.4	1.4	1.1	0.7	0.7	0.0	0.0	0.7	14.2	23.1	40.9	2.5	3.6	3.6	7.1	10.3	10.7	17.4	5.0
