name	Mouse	Day	Absolute_abundance
B_caccae	1	0	5944503.080057049
B_cellulosilyticus_WH2	1	0	5136760.373102853
B_ovatus	1	0	6858964.902323675
B_thetaiotaomicron	1	0	2720123.188405883
B_uniformis	1	0	894372.2096534934
B_vulgatus	1	0	69564619.22964145
C_aerofaciens	1	0	137388.69273182936
C_scindens	1	0	5234786.361333837
C_spiroforme	1	0	54098.410987091505
D_longicatena	1	0	390403.76532967755
P_distasonis	1	0	110632.72983441302
R_obeum	1	0	420241.4322482448
B_caccae	1	1	22283786.056007702
B_cellulosilyticus_WH2	1	1	34884272.5880132
B_ovatus	1	1	25977890.543192506
B_thetaiotaomicron	1	1	12416896.134518687
B_uniformis	1	1	1373119.1690106986
B_vulgatus	1	1	32803255.409737747
C_aerofaciens	1	1	3078217.7497526067
C_scindens	1	1	5533128.730262918
C_spiroforme	1	1	1743615.073244678
D_longicatena	1	1	80013.39800833238
P_distasonis	1	1	549811.9047995326
R_obeum	1	1	11897226.301201737
B_caccae	1	2	53235546.24162014
B_cellulosilyticus_WH2	1	2	103355680.27581339
B_ovatus	1	2	46119747.400791734
B_thetaiotaomicron	1	2	45971756.890806355
B_uniformis	1	2	8020607.935691914
B_vulgatus	1	2	49325703.06251819
C_aerofaciens	1	2	11206607.671114752
C_scindens	1	2	9414604.957826411
C_spiroforme	1	2	7216551.024680169
D_longicatena	1	2	9954.745352182448
P_distasonis	1	2	6105166.002616015
R_obeum	1	2	52300373.86405408
B_caccae	1	4	26160764.767330974
B_cellulosilyticus_WH2	1	4	97074547.61098367
B_ovatus	1	4	26210254.485707767
B_thetaiotaomicron	1	4	32401771.464913204
B_uniformis	1	4	9043033.757605337
B_vulgatus	1	4	37246414.26651247
C_aerofaciens	1	4	6888134.770062719
C_scindens	1	4	5059154.862071807
C_spiroforme	1	4	1458168.6591761105
D_longicatena	1	4	782.6727207658728
P_distasonis	1	4	11608889.330602353
R_obeum	1	4	29024876.41282833
B_caccae	1	6	33285088.2941712
B_cellulosilyticus_WH2	1	6	95616814.34447592
B_ovatus	1	6	26195699.327803634
B_thetaiotaomicron	1	6	33094934.994796876
B_uniformis	1	6	10776254.847935762
B_vulgatus	1	6	47401021.97217803
C_aerofaciens	1	6	8506492.34049845
C_scindens	1	6	6268426.982213921
C_spiroforme	1	6	410928.78295308916
D_longicatena	1	6	3597.906308511192
P_distasonis	1	6	14616629.60763748
R_obeum	1	6	34678646.58540084
B_caccae	1	9	92470500.74718088
B_cellulosilyticus_WH2	1	9	47920621.52990244
B_ovatus	1	9	6612891.831294212
B_thetaiotaomicron	1	9	18194415.35357184
B_uniformis	1	9	7725886.958022856
B_vulgatus	1	9	55328897.51932649
C_aerofaciens	1	9	1727343.431520266
C_scindens	1	9	4987874.568717984
C_spiroforme	1	9	2560716.2683893796
D_longicatena	1	9	0.0
P_distasonis	1	9	1772507.1081912904
R_obeum	1	9	4856033.194597848
B_caccae	1	11	16125109.75755777
B_cellulosilyticus_WH2	1	11	31270152.215609733
B_ovatus	1	11	12934964.117383128
B_thetaiotaomicron	1	11	9693863.044592297
B_uniformis	1	11	5062542.749592411
B_vulgatus	1	11	9817807.15314294
C_aerofaciens	1	11	2875804.078561839
C_scindens	1	11	3618119.4523025285
C_spiroforme	1	11	210627.1468277929
D_longicatena	1	11	915.4251518471594
P_distasonis	1	11	5241510.93435615
R_obeum	1	11	16651965.581261074
B_caccae	1	12	67919710.40137677
B_cellulosilyticus_WH2	1	12	200240008.88525108
B_ovatus	1	12	68840876.6252409
B_thetaiotaomicron	1	12	47425491.828956075
B_uniformis	1	12	23750398.512392692
B_vulgatus	1	12	50376688.699571975
C_aerofaciens	1	12	13579937.797578452
C_scindens	1	12	10457136.292198341
C_spiroforme	1	12	179890.10299037915
D_longicatena	1	12	4330.169637698981
P_distasonis	1	12	27069790.286051936
R_obeum	1	12	40879460.81850359
B_caccae	1	14	80090587.15129063
B_cellulosilyticus_WH2	1	14	136341324.58738595
B_ovatus	1	14	41334858.0041103
B_thetaiotaomicron	1	14	32676085.9554257
B_uniformis	1	14	18933797.276844162
B_vulgatus	1	14	72855919.67561026
C_aerofaciens	1	14	4308164.379566337
C_scindens	1	14	4039756.066877631
C_spiroforme	1	14	210571.4614338115
D_longicatena	1	14	0.0
P_distasonis	1	14	27190403.920424014
R_obeum	1	14	15422368.587674176
B_caccae	1	15	100186657.67593893
B_cellulosilyticus_WH2	1	15	56550485.90680213
B_ovatus	1	15	15449464.417503765
B_thetaiotaomicron	1	15	36003817.980823904
B_uniformis	1	15	13258608.846519059
B_vulgatus	1	15	59530279.88307268
C_aerofaciens	1	15	11596242.159593258
C_scindens	1	15	11758436.100401236
C_spiroforme	1	15	180390.6032235566
D_longicatena	1	15	0.0
P_distasonis	1	15	30011481.22230625
R_obeum	1	15	15177032.984735347
