sampleID	measurement1	measurement2	measurement3
01-00	97466894.37564951	106063729.55952686	100490114.21263476
01-01	152621233.05775034	155674857.38564798	157951202.62448847
01-02	392282300.07288533	411479379.4515703	392356262.72508943
01-04	282176793.0605155	313793195.88760483	295324092.351827
01-06	310854535.9863737	339881479.60915935	316138518.8509315
01-09	244157688.51071548	232227193.10155162	243966243.10472316
01-11	113503381.65633951	118895294.06942324	114416676.22161995
01-12	550723720.4197499	546555920.1764472	545473850.3549412
01-14	433403837.06664294	431167064.7453959	424847372.3443431
01-15	349702897.78092015	356882272.0785378	345021538.0966724
01-16	268048039.17112935	269978569.01137334	252929977.89296183
01-18	296597275.3716158	318163953.36213297	300756187.65648496
01-20	318747543.2782159	330876488.5398482	302919757.72044617
01-24	272515988.9019599	274173908.27417016	283983887.7129516
01-25	252796677.6330598	258407035.16113546	249643562.61947238
01-26	353018698.8152914	358908362.65917796	353892331.5162915
01-28	658727623.5361688	707937181.3979805	674992819.8388847
01-29	486446270.122503	481456346.5128189	502093166.2247887
01-30	451641155.9987193	458710868.93269306	416173247.4030262
01-32	716070900.5697565	685491245.3090276	708663015.4836601
01-34	604483631.7866509	527321603.997165	631086319.0564816
01-37	422901551.7606431	436722367.67421013	386994972.45605916
01-39	384535611.6913978	401155936.8162291	391981768.4165066
01-40	545554427.0420327	525309856.41810894	484027774.5006319
02-00	107435410.36158162	119628011.33399193	101942738.24440579
02-01	182350702.32744744	169090472.21724662	182702917.74041522
02-02	283460147.02343214	284108682.8255243	259979511.69942605
02-04	534580629.2295706	529577386.2131494	508238881.7163861
02-06	129302124.70046236	139211705.15612507	119786555.01678422
02-09	245277874.42200926	263297934.21423328	265490426.06863588
02-11	186824854.7955229	188272256.31086123	188358946.12413868
02-12	446267838.076136	454705926.5793503	458926008.36908203
02-14	371546233.4427777	355053560.9109703	367409528.6988828
02-15	190958579.44924322	172046075.46173728	187584038.2154964
02-16	371066932.9318931	364611998.2228832	341075926.9645777
02-18	303709006.9086387	306083236.4155267	299277325.12768924
02-20	340989142.9384137	361964931.1777368	328006114.10541755
02-24	473428647.2791808	501890700.54546833	493736935.4264892
02-25	363723199.72449076	356679212.25615454	384475460.83210486
02-26	380580294.1838634	374827770.69653577	408487842.13471407
02-28	529722226.107514	501950135.5651653	552303011.6696981
02-29	521322466.5099569	484308103.8350307	505717879.1608275
02-30	479703869.99818254	438778649.3129148	452938864.8639571
02-32	710416928.1322755	779710121.3201052	737649453.2530963
02-34	791911428.9912399	771731459.6142671	806019046.7024297
02-37	666015721.247206	651427502.6498339	607122000.658152
02-39	651430670.2938607	610625204.2369425	663009257.4200776
02-40	581439935.0269115	604043132.1258593	605119652.6601853
03-00	85227805.33140819	78350356.7525858	85478910.26359871
03-01	195136259.37245432	193060592.24751425	193330725.31525913
03-02	279702730.3372689	267179508.23268908	268407655.98031586
03-04	886921507.3731173	904079114.7035054	822773370.5629034
