sampleID	measurement1	measurement2	measurement3
01-00	95458806.0248884	103878522.56046222	98419739.14826356
01-01	144644422.37001887	147538447.78309268	149695818.9141609
01-02	367388848.0185921	385367719.04322445	367458117.14846265
01-04	266875008.40874147	296776927.9777405	279309360.5426128
01-06	293482507.94263226	320887288.076508	298471196.7455658
01-09	233502531.99349445	222092689.02287564	233319441.3551844
01-11	106488688.60072485	111547372.08257674	107345540.08077458
01-12	522808672.92062414	518852129.86026967	517824907.92227554
01-14	415020826.6033262	412878927.9437058	406827288.018422
01-15	332586962.60635984	339414948.0368801	328134728.4151887
01-16	257136358.65742472	258988300.6262407	242633722.34249917
01-18	285351434.2792869	306100385.8315996	289352656.4214736
01-20	307572662.2122173	319276382.1705868	292299778.5662462
01-24	263158612.7923137	264759604.21990043	274232738.58912665
01-25	244067418.9012671	249484046.57933453	241023183.31213424
01-26	339246655.05663395	344906550.02863353	340086205.4049781
01-28	626577334.8372253	673385139.0219835	642048681.3935617
01-29	467035585.6511275	462244775.15767604	482058123.0485528
01-30	429397159.5490856	436118678.6408585	395676098.0296602
01-32	680806213.0242169	651732528.7325106	673763147.6127177
01-34	578489346.5571116	504645476.04067075	603948052.7422596
01-37	405133550.6210958	418373691.73723215	370735568.62324905
01-39	367017606.46932423	382880771.70186704	374124544.12491417
01-40	521517565.08179903	502164960.36523646	462701746.8416273
02-00	103510201.96817088	115257339.94552824	98218207.47324297
02-01	174359804.8978387	161680659.134181	174696585.67193627
02-02	268308063.76533106	268921932.72422725	246082562.6995918
02-04	508251943.6257433	503495115.8461943	483207556.2311428
02-06	122016594.27066849	131367819.24591298	113037179.52371594
02-09	232206278.5491937	249265995.13980204	251341642.50693595
02-11	178267820.58430597	179648927.57851288	179731646.78681493
02-12	425014202.4207252	433050424.50343174	437069523.6698544
02-14	356785877.31482476	340948406.4730344	352813510.76015145
02-15	183013263.05473164	164887661.7998842	179779128.17437187
02-16	354804097.5703945	348632064.7616224	326127514.28288627
02-18	292640756.4682297	294928460.49781054	288370581.13821834
02-20	331179428.9233829	351551777.1760412	318569901.131514
02-24	460571246.39535433	488260325.67511904	480328000.95154005
02-25	352820531.84762335	345987689.1617873	372950740.2219454
02-26	369148835.20346117	363569099.7907768	396218126.43288094
02-28	501917745.8220235	475603378.7919498	523313293.2045523
02-29	498101870.03471124	462736190.5351272	483192337.76046216
02-30	456399846.0001154	417462773.38832325	430935085.37289953
02-32	676246149.62286	742206367.1130855	702168800.8551149
02-34	759162192.5367838	739816759.1502968	772686394.3616524
02-37	640478498.6155326	626449640.0666336	583842956.0338594
02-39	629376315.6142515	589952329.2179089	640562906.6635026
02-40	559687007.5951927	581444570.1296768	582480815.6989528
03-00	81721699.78891324	75127176.01950802	81962474.75436254
03-01	183820876.86811322	181865571.62540823	182120040.4644832
03-02	263653824.80712083	251849165.61484122	253006844.1641339
03-04	840892485.2338699	857159655.3822732	780073477.3092256
03-06	251738126.18891194	245308669.77994907	261811401.4968963
03-09	306636294.91377234	288535060.9840098	301897009.5113161
03-11	189773361.82689017	189505950.01611018	187558074.16510782
03-12	525070232.23419833	536315447.9708341	570560248.0348356
03-14	367051847.59605694	368272611.0646919	379614217.39376754
03-15	222535297.389164	225900831.07493335	226661379.98613536
03-16	260399194.9939921	252140346.86592075	262248833.97949958
03-18	282616089.28463644	277490264.79694474	304094839.44875485
03-20	362964696.96948695	350760726.8369388	394172207.5634014
03-24	314637546.3703884	308981100.1435468	329260406.75112104
03-25	284373237.1293617	272811385.1051274	292651691.71896905
03-26	307420817.85436016	280886057.3815323	275224588.39283776
03-28	437911325.1291978	441796170.9825429	440620286.49967355
03-29	489850263.6114721	480009638.73568803	486663617.3209985
03-30	399069661.65372545	366541526.51611537	400944355.82683414
03-32	729859312.8014638	746747609.7512015	764273861.26313
03-34	746008303.3096852	712165697.6392255	643817207.554117
03-37	438524950.3365354	439663917.9421211	426042073.3378352
03-39	517953269.2574361	536835011.27066594	524943161.40885544
03-40	383796436.29176503	386271595.3663267	374837753.4480784
04-00	37386613.14820285	39516529.77889375	34737947.11226409
04-01	150792021.11268082	141481927.05401826	157343659.13579533
04-02	289714493.014167	295542703.24377906	293725183.20577085
04-04	387902134.18515086	374620169.3957871	369067457.41553235
04-06	241213653.7611189	230711245.6591725	245010564.16952506
04-09	304825468.96793437	296003062.9417471	317347481.46658105
04-11	156956300.21665546	154511293.5783633	156997835.92573062
04-12	181462937.4321458	181972533.83129036	188726579.47391465
04-14	384501639.6012096	362101538.39309514	386006197.8844664
04-15	264616339.39073062	276535009.7609321	259387137.06017473
04-16	287126718.0573462	293811924.4594654	270481687.6712332
04-18	229827976.33056456	212174387.4521795	228840511.6166836
04-20	175325013.9816779	188371405.8159517	177028234.5856487
04-24	313417359.9861335	343127589.00502306	327142419.5824368
04-25	278980472.01703846	295423296.0753465	277374835.2224758
04-26	222302880.69343856	220302990.2279696	227387121.04029164
04-28	448615190.3105354	424597395.7568125	426978210.2046861
04-29	303707544.23130834	319719791.4561442	291823025.2832984
04-30	280117931.930079	274471077.3006785	278571830.82254785
04-32	687351515.4082546	729363988.9897902	651106491.7626157
04-34	779588510.4559742	787706949.4521837	811561299.9412084
04-37	407209780.0967277	427094628.4607484	416639340.0746255
04-39	530528733.90374976	539981864.5786886	537932150.0298011
04-40	894259796.5935111	925852795.4767994	909413213.2975267
05-00	33149315.898840066	33166719.324031007	36499126.47208888
05-01	170933363.07677656	186196605.553922	166926136.45300525
05-02	157042878.73835525	158039410.75759953	139756844.8959316
05-04	211961885.20113802	216222206.36646524	214074087.47389466
05-06	234648040.68321696	256741921.75199118	234054339.59630257
05-09	174595289.7051724	162829670.51852557	170077470.34742004
05-11	235636857.56640995	220668202.93498778	224104437.95883638
05-12	456071385.54901856	478177090.54083264	446056296.86267275
05-14	411389953.78965235	387259394.6186786	415119994.1904627
05-15	244280320.5788012	268019740.89450917	238138909.3375345
05-16	270877762.25451374	265275753.05780408	303551764.9673877
05-18	265652452.32730168	255724292.14414778	252894435.10470346
05-20	272464242.4735873	298660889.60186744	261659436.40244752
05-24	211783632.24066725	227461072.24646807	187549018.99601436
05-25	408036810.4211242	446138450.49541664	413167555.34992474
05-26	342055062.5859339	357550920.70053583	307568957.822397
05-28	389704816.52638906	372923626.64728624	379193413.080213
05-29	559768180.1624693	613227859.3018872	552052600.4897003
05-30	501381060.5175913	494662469.8000967	483588852.50782603
05-32	648925639.6032939	674962366.0980904	705345592.823587
05-34	625274597.2417425	654889226.8735514	656363074.8682048
05-37	497742181.3666386	493884428.27319473	530571684.6832146
05-39	1310889277.0199602	1351138780.1112525	1253051608.6660748
05-40	1130651223.4057148	1182785928.477695	1194453536.394306
06-00	111354523.1296246	113450357.40540715	114116120.57222332
06-01	200087681.31801897	189088853.56665954	207805122.69930282
06-02	174533219.20032254	177135842.631953	183516782.83818585
06-04	273950532.60612655	292118738.74805987	261502723.8439588
06-06	311040989.3195947	300239035.6075728	304441980.6888595
06-09	311264371.3565898	308935576.3001736	324689141.6166324
06-11	232448106.24312502	227390575.2919918	201583424.7898696
06-12	376374219.9157111	411174979.5769527	404853103.74346256
06-14	377655717.86164224	390350515.8153497	388100392.2006726
06-15	215402144.5732524	219790552.24115694	214909908.0161671
06-16	274069249.70336324	263518733.6604739	277090968.09172404
06-18	402900954.01236874	413764154.6934623	382152858.60155946
06-20	260222316.35966966	251448496.0120076	255669162.713266
06-24	246047116.40121233	246438707.25505456	259583205.8332393
06-25	305624891.4478187	295908372.0137154	325460282.6672729
06-26	324843668.8970215	335830422.56174755	368636234.5671789
06-28	483990698.0423661	497943927.6332803	482201755.50058573
06-29	506472138.1466841	501197262.3411401	489795201.6876555
06-30	438905689.3561709	447596169.3166924	427620678.69060844
06-32	618135718.3292463	584352700.2853873	586671316.0357459
06-34	471629206.24258053	436463174.50503224	469793277.40525085
06-37	312311752.46575385	319173112.0777957	318288344.26288426
06-39	407317101.3266592	410711549.57681525	406619728.0042047
06-40	707531296.1385164	729996526.9201653	746316281.3750813
07-00	90223193.2369189	100973939.81362405	89166608.3617265
07-01	279788079.23110706	293000784.3080185	274927451.69659865
07-02	377106967.95378786	359895386.8678841	366146948.3099922
07-04	371368347.0732074	392109571.70140773	341052907.8040897
07-06	347330063.82862985	324477353.58435315	320103420.6410038
07-09	379085488.14970607	370336486.8877774	356735405.1626368
07-11	347743144.0781057	346556616.5584795	370371278.5497162
07-12	495355810.2542907	537791523.8605864	517529429.14758414
07-14	372712137.3961189	358833179.31803185	398335427.1975284
