	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
B_caccae	0.741	0.111	0.53	0.955	0.01	0.007	126.0	147.0	1.16
B_cellulosilyticus_WH2	0.237	0.118	0.071	0.488	0.011	0.008	129.0	181.0	1.16
B_ovatus	0.07	0.086	0.003	0.245	0.007	0.005	154.0	394.0	1.13
B_thetaiotaomicron	0.36	0.099	0.191	0.559	0.007	0.005	199.0	633.0	1.09
B_uniformis	0.208	0.068	0.082	0.335	0.003	0.002	470.0	854.0	1.04
B_vulgatus	0.34	0.118	0.149	0.565	0.01	0.007	160.0	548.0	1.12
C_aerofaciens	0.259	0.113	0.061	0.481	0.002	0.002	2775.0	5035.0	1.01
C_scindens	0.435	0.121	0.213	0.669	0.004	0.003	887.0	834.0	1.03
C_spiroforme	0.533	0.237	0.114	0.949	0.023	0.017	115.0	215.0	1.18
P_distasonis	0.249	0.081	0.106	0.402	0.002	0.002	3226.0	857.0	1.02
R_obeum	0.269	0.08	0.132	0.428	0.004	0.003	626.0	797.0	1.04
