species1	species2	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
B_caccae	B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	0.0	12411.0	12286.0	1.0
B_caccae	B_ovatus	0.0	0.0	0.0	0.0	0.0	0.0	13386.0	6633.0	1.01
B_caccae	B_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	11360.0	7545.0	1.01
B_caccae	B_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	20302.0	8849.0	1.01
B_caccae	B_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	487.0	483.0	1.04
B_caccae	C_aerofaciens	0.0	0.0	0.0	0.0	0.0	0.0	1274.0	731.0	1.03
B_caccae	C_scindens	0.0	0.0	0.0	0.0	0.0	0.0	19341.0	4706.0	1.01
B_caccae	C_spiroforme	-0.0	0.0	-0.0	0.0	0.0	0.0	814.0	3286.0	1.03
B_caccae	P_distasonis	0.0	0.0	0.0	0.0	0.0	0.0	5627.0	4078.0	1.01
B_caccae	R_obeum	0.0	0.0	0.0	0.0	0.0	0.0	21297.0	10593.0	1.01
B_cellulosilyticus_WH2	B_caccae	-0.0	0.0	-0.0	0.0	0.0	0.0	106.0	162.0	1.21
B_cellulosilyticus_WH2	B_ovatus	0.0	0.0	0.0	0.0	0.0	0.0	1180.0	1214.0	1.03
B_cellulosilyticus_WH2	B_thetaiotaomicron	-0.0	0.0	0.0	0.0	0.0	0.0	65015.0	55875.0	1.0
B_cellulosilyticus_WH2	B_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	990.0	967.0	1.02
B_cellulosilyticus_WH2	B_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	11613.0	10412.0	1.0
B_cellulosilyticus_WH2	C_aerofaciens	0.0	0.0	0.0	0.0	0.0	0.0	7916.0	1659.0	1.02
B_cellulosilyticus_WH2	C_scindens	-0.0	0.0	0.0	0.0	0.0	0.0	7694.0	92474.0	1.02
B_cellulosilyticus_WH2	C_spiroforme	-0.0	0.0	-0.0	0.0	0.0	0.0	637.0	1480.0	1.04
B_cellulosilyticus_WH2	P_distasonis	0.0	0.0	0.0	0.0	0.0	0.0	16015.0	6796.0	1.01
B_cellulosilyticus_WH2	R_obeum	0.0	0.0	0.0	0.0	0.0	0.0	1015.0	929.0	1.02
B_ovatus	B_caccae	-0.0	0.0	-0.0	0.0	0.0	0.0	266.0	587.0	1.09
B_ovatus	B_cellulosilyticus_WH2	-0.0	0.0	0.0	0.0	0.0	0.0	44549.0	46513.0	1.0
B_ovatus	B_thetaiotaomicron	-0.0	0.0	0.0	0.0	0.0	0.0	1765.0	166257.0	1.02
B_ovatus	B_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	2814.0	1496.0	1.02
B_ovatus	B_vulgatus	-0.0	0.0	0.0	0.0	0.0	0.0	2171.0	129539.0	1.01
B_ovatus	C_aerofaciens	-0.0	0.0	-0.0	0.0	0.0	0.0	918.0	1484.0	1.03
B_ovatus	C_scindens	-0.0	0.0	-0.0	0.0	0.0	0.0	377.0	757.0	1.05
B_ovatus	C_spiroforme	-0.0	0.0	-0.0	0.0	0.0	0.0	8904.0	5180.0	1.01
B_ovatus	P_distasonis	-0.0	0.0	0.0	0.0	0.0	0.0	28304.0	222092.0	1.01
B_ovatus	R_obeum	-0.0	0.0	0.0	0.0	0.0	0.0	63214.0	5442.0	1.01
B_thetaiotaomicron	B_caccae	-0.0	0.0	0.0	0.0	0.0	0.0	1306.0	525392.0	1.03
B_thetaiotaomicron	B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	0.0	7410.0	7631.0	1.01
B_thetaiotaomicron	B_ovatus	0.0	0.0	0.0	0.0	0.0	0.0	13125.0	12146.0	1.01
B_thetaiotaomicron	B_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	1691.0	1540.0	1.02
B_thetaiotaomicron	B_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	1209.0	1272.0	1.03
B_thetaiotaomicron	C_aerofaciens	0.0	0.0	0.0	0.0	0.0	0.0	1708.0	882.0	1.03
B_thetaiotaomicron	C_scindens	-0.0	0.0	0.0	0.0	0.0	0.0	30799.0	6609.0	1.01
B_thetaiotaomicron	C_spiroforme	-0.0	0.0	-0.0	0.0	0.0	0.0	1952.0	5450.0	1.02
B_thetaiotaomicron	P_distasonis	0.0	0.0	0.0	0.0	0.0	0.0	786.0	776.0	1.03
B_thetaiotaomicron	R_obeum	0.0	0.0	0.0	0.0	0.0	0.0	887.0	846.0	1.02
B_uniformis	B_caccae	-0.0	0.0	0.0	0.0	0.0	0.0	12068.0	78071.0	1.01
B_uniformis	B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	0.0	41556.0	40378.0	1.0
B_uniformis	B_ovatus	0.0	0.0	0.0	0.0	0.0	0.0	659.0	592.0	1.04
B_uniformis	B_thetaiotaomicron	-0.0	0.0	0.0	0.0	0.0	0.0	23850.0	132912.0	1.01
B_uniformis	B_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	24484.0	18543.0	1.01
B_uniformis	C_aerofaciens	0.0	0.0	0.0	0.0	0.0	0.0	44858.0	1112.0	1.03
B_uniformis	C_scindens	-0.0	0.0	0.0	0.0	0.0	0.0	35511.0	4944.0	1.02
B_uniformis	C_spiroforme	-0.0	0.0	0.0	0.0	0.0	0.0	6904.0	5786.0	1.02
B_uniformis	P_distasonis	-0.0	0.0	0.0	0.0	0.0	0.0	54510.0	72952.0	1.01
B_uniformis	R_obeum	0.0	0.0	0.0	0.0	0.0	0.0	7420.0	2101.0	1.01
B_vulgatus	B_caccae	-0.0	0.0	-0.0	0.0	0.0	0.0	97.0	379.0	1.23
B_vulgatus	B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	0.0	1740.0	1817.0	1.01
B_vulgatus	B_ovatus	0.0	0.0	0.0	0.0	0.0	0.0	19507.0	14886.0	1.01
B_vulgatus	B_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	21350.0	18331.0	1.0
B_vulgatus	B_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	1529.0	1413.0	1.02
B_vulgatus	C_aerofaciens	0.0	0.0	0.0	0.0	0.0	0.0	1086.0	745.0	1.03
B_vulgatus	C_scindens	-0.0	0.0	0.0	0.0	0.0	0.0	24208.0	7971.0	1.01
B_vulgatus	C_spiroforme	-0.0	0.0	-0.0	0.0	0.0	0.0	1098.0	2861.0	1.02
B_vulgatus	P_distasonis	0.0	0.0	0.0	0.0	0.0	0.0	469.0	461.0	1.04
B_vulgatus	R_obeum	0.0	0.0	0.0	0.0	0.0	0.0	1894.0	1741.0	1.01
C_aerofaciens	B_caccae	-0.0	0.0	0.0	0.0	0.0	0.0	9567.0	64684.0	1.02
C_aerofaciens	B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	0.0	1815.0	1803.0	1.02
C_aerofaciens	B_ovatus	0.0	0.0	0.0	0.0	0.0	0.0	585.0	601.0	1.04
C_aerofaciens	B_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	9712.0	1298.0	1.02
C_aerofaciens	B_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	1579.0	1254.0	1.02
C_aerofaciens	B_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	2620.0	1650.0	1.02
