	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
B_caccae	-0.251	0.213	-0.545	0.0	0.021	0.015	114.0	485.0	1.18
B_cellulosilyticus_WH2	1.259	1.157	0.0	2.715	0.07	0.05	180.0	258.0	1.11
B_ovatus	24.915	21.693	0.736	61.869	1.361	0.963	164.0	542.0	1.12
B_thetaiotaomicron	-0.022	0.145	0.0	0.0	0.005	0.003	971.0	115494.0	1.03
B_uniformis	1.494	1.366	0.0	2.995	0.028	0.02	910.0	696.0	1.03
B_vulgatus	-0.004	0.141	0.0	0.0	0.002	0.001	1257.0	11993.0	1.02
C_aerofaciens	0.083	1.46	-0.0	1.576	0.009	0.007	2377.0	7455.0	1.02
C_scindens	-0.071	0.266	-0.545	0.0	0.017	0.012	190.0	272.0	1.12
C_spiroforme	-0.496	0.408	-0.906	0.0	0.006	0.004	4181.0	5249.0	1.01
P_distasonis	0.705	0.876	0.0	1.97	0.019	0.013	1323.0	987.0	1.02
R_obeum	1.126	0.847	0.0	2.232	0.026	0.019	675.0	524.0	1.03
