	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
B_caccae	0.0	0.0	0.0	0.0	0.0	0.0	80.0	116.0	1.28
B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	0.0	153.0	393.0	1.13
B_ovatus	0.0	0.0	0.0	0.0	0.0	0.0	337.0	1532.0	1.06
B_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	150.0	345.0	1.13
B_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	231.0	576.0	1.08
B_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	143.0	211.0	1.14
C_aerofaciens	0.0	0.0	0.0	0.0	0.0	0.0	156.0	308.0	1.12
C_scindens	0.0	0.0	0.0	0.0	0.0	0.0	249.0	557.0	1.08
C_spiroforme	0.0	0.0	0.0	0.0	0.0	0.0	128.0	289.0	1.16
P_distasonis	0.0	0.0	0.0	0.0	0.0	0.0	454.0	592.0	1.04
R_obeum	0.0	0.0	0.0	0.0	0.0	0.0	662.0	761.0	1.03
