Seed	RMSE
0	152210249.9074928
1	153178948.5677153
2	161788723.75858665
3	156542565.23866433
4	157337506.20538455
5	157359505.42578888
6	155785682.87994412
7	155329147.39426282
8	160200053.4460787
9	161185021.80557632
12	151956326.13152915
16	156976233.49112338
23	160636190.85989296
24	157870918.5179103
26	162000166.33153743
28	156933610.76585567
31	159446855.90844274
36	161020593.1563484
46	158547609.09424514
48	154710837.19106227
51	153306638.16593453
54	158293886.85200658
63	160568615.70710576
69	157845859.39361387
77	164399671.24617994
78	158236956.69638932
86	156017588.4227389
89	157803361.95517683
96	160799073.9808959
127	155418761.92870405
