OTU	StableState	SampleIdx	ExcludedCluster
B_caccae	58531775.34234363	0	None
B_cellulosilyticus_WH2	46619006.2728111	0	None
B_ovatus	797393.4042297849	0	None
B_thetaiotaomicron	59834353.820623726	0	None
B_uniformis	11865504.77227837	0	None
B_vulgatus	57643755.80491642	0	None
C_aerofaciens	1363210.6382917739	0	None
C_scindens	5138808.537629725	0	None
C_spiroforme	467149.0406440233	0	None
D_longicatena	82585.74041996938	0	None
P_distasonis	11912199.34739313	0	None
R_obeum	8872033.484465234	0	None
B_caccae	58088528.26798746	10	None
B_cellulosilyticus_WH2	52088658.54142349	10	None
B_ovatus	1800358.0312443776	10	None
B_thetaiotaomicron	51213591.58274025	10	None
B_uniformis	12079655.008030824	10	None
B_vulgatus	56821278.58130289	10	None
C_aerofaciens	2071562.7601837877	10	None
C_scindens	4000265.7014697557	10	None
C_spiroforme	548726.8241229628	10	None
D_longicatena	66452.2585055912	10	None
P_distasonis	11722186.062699037	10	None
R_obeum	8613181.082272206	10	None
B_caccae	63597177.15911885	20	None
B_cellulosilyticus_WH2	53899149.20106394	20	None
B_ovatus	713899.6953814739	20	None
B_thetaiotaomicron	63173508.863212414	20	None
B_uniformis	9714517.332953244	20	None
B_vulgatus	72894637.32228757	20	None
C_aerofaciens	1888014.2318437302	20	None
C_scindens	5543807.937543638	20	None
C_spiroforme	492302.70301543013	20	None
D_longicatena	62765.660399482724	20	None
P_distasonis	13136585.414479261	20	None
R_obeum	9685325.539434984	20	None
B_caccae	66997165.53297785	30	None
B_cellulosilyticus_WH2	44129190.82669591	30	None
B_ovatus	1187070.634961363	30	None
B_thetaiotaomicron	53727809.55174885	30	None
B_uniformis	12712543.836407984	30	None
B_vulgatus	63542168.0499915	30	None
C_aerofaciens	1439214.8165933648	30	None
C_scindens	5671213.887077042	30	None
C_spiroforme	527029.2246140486	30	None
D_longicatena	106907.44703966957	30	None
P_distasonis	15006407.525361018	30	None
R_obeum	11270329.937728612	30	None
B_caccae	67872416.90600964	40	None
