	name	median	mean	25th percentile	75th percentile
B_caccae	B_caccae	9.982893752323571e-09	9.7580336245148e-09	8.812074925219141e-09	1.0980681703074311e-08
B_cellulosilyticus_WH2	B_cellulosilyticus_WH2	1.4248592866738992e-09	1.7073510428800088e-09	3.769966392259628e-10	2.717428841285095e-09
B_ovatus	B_ovatus	1.6456587019651606e-09	2.355757176863799e-09	4.328238803248845e-10	3.374155833967849e-09
B_thetaiotaomicron	B_thetaiotaomicron	9.195954533100683e-09	9.240591627786574e-09	8.05942190581658e-09	1.0346819773176571e-08
B_uniformis	B_uniformis	3.154736618330104e-09	4.484779407792618e-09	8.320972414432955e-10	7.028975864434097e-09
B_vulgatus	B_vulgatus	6.226654454805188e-09	6.200330307229841e-09	5.2390512355328936e-09	7.188791491592918e-09
C_aerofaciens	C_aerofaciens	2.3399227275247625e-07	2.3671906424516314e-07	2.0409215332307867e-07	2.6589663245988656e-07
C_scindens	C_scindens	6.575007412491104e-08	6.597888292829387e-08	5.729843339542436e-08	7.435246724010105e-08
C_spiroforme	C_spiroforme	5.534551514923687e-07	6.480326971711074e-07	4.3880277290441904e-07	7.403883006098245e-07
D_longicatena	D_longicatena	4.24126704184268e-06	4.206683370365836e-06	3.70396546819877e-06	4.7639708097195205e-06
P_distasonis	P_distasonis	1.8443432319206772e-08	1.8204570919569635e-08	9.783360660297205e-09	2.5901233421888668e-08
R_obeum	R_obeum	1.560833006576897e-08	1.6064527945860417e-08	9.749712912621534e-09	2.1646556135779583e-08
