	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	D_longicatena	P_distasonis	R_obeum
B_caccae	1.0	0.0	0.0	0.9887578947368421	0.0030736842105263157	0.9880842105263158	0.9702736842105263	0.9937684210526316	0.5314947368421052	0.964421052631579	0.2942315789473684	0.06867368421052632
B_cellulosilyticus_WH2	0.0	1.0	0.9886315789473684	0.0018526315789473683	0.938821052631579	0.006147368421052631	0.0	0.0	0.06311578947368421	0.0015157894736842106	0.6377263157894737	0.8746526315789473
B_ovatus	0.0	0.9886315789473684	1.0	0.0018526315789473683	0.941178947368421	0.005515789473684211	0.0	0.0	0.05957894736842105	0.0015578947368421053	0.6421052631578947	0.8739789473684211
B_thetaiotaomicron	0.9887578947368421	0.0018526315789473683	0.0018526315789473683	1.0	0.0049684210526315786	0.9803368421052632	0.9625263157894737	0.9864	0.5323368421052631	0.9570105263157894	0.2888842105263158	0.06968421052631579
B_uniformis	0.0030736842105263157	0.938821052631579	0.941178947368421	0.0049684210526315786	1.0	0.00728421052631579	0.022863157894736842	0.0037473684210526316	0.07174736842105263	0.022821052631578947	0.6434947368421052	0.8380631578947368
B_vulgatus	0.9880842105263158	0.006147368421052631	0.005515789473684211	0.9803368421052632	0.00728421052631579	1.0	0.9647578947368421	0.9853894736842105	0.5279157894736842	0.9639578947368421	0.2961684210526316	0.0744
C_aerofaciens	0.9702736842105263	0.0	0.0	0.9625263157894737	0.022863157894736842	0.9647578947368421	1.0	0.9747368421052631	0.5204631578947368	0.9889684210526316	0.3216842105263158	0.07048421052631579
C_scindens	0.9937684210526316	0.0	0.0	0.9864	0.0037473684210526316	0.9853894736842105	0.9747368421052631	1.0	0.5277473684210526	0.9689263157894736	0.29785263157894737	0.06913684210526316
C_spiroforme	0.5314947368421052	0.06311578947368421	0.05957894736842105	0.5323368421052631	0.07174736842105263	0.5279157894736842	0.5204631578947368	0.5277473684210526	1.0	0.5168421052631579	0.18606315789473685	0.12728421052631578
D_longicatena	0.964421052631579	0.0015157894736842106	0.0015578947368421053	0.9570105263157894	0.022821052631578947	0.9639578947368421	0.9889684210526316	0.9689263157894736	0.5168421052631579	1.0	0.3236631578947368	0.0712
P_distasonis	0.2942315789473684	0.6377263157894737	0.6421052631578947	0.2888842105263158	0.6434947368421052	0.2961684210526316	0.3216842105263158	0.29785263157894737	0.18606315789473685	0.3236631578947368	1.0	0.634778947368421
R_obeum	0.06867368421052632	0.8746526315789473	0.8739789473684211	0.06968421052631579	0.8380631578947368	0.0744	0.07048421052631579	0.06913684210526316	0.12728421052631578	0.0712	0.634778947368421	1.0
