	name	median	mean	25th percentile	75th percentile
B_caccae	B_caccae	0.38493266923193026	0.3741541050485336	0.2742434386488275	0.47979020256575655
B_cellulosilyticus_WH2	B_cellulosilyticus_WH2	0.5152615539153985	0.5000457520370819	0.42199814907977695	0.590937232512648
B_ovatus	B_ovatus	0.3716467866527844	0.3413033979403979	0.2652381773784844	0.4398600462080723
B_thetaiotaomicron	B_thetaiotaomicron	0.343291138027192	0.34710554848286296	0.2863323754297701	0.404572107033643
B_uniformis	B_uniformis	0.4786859946138824	0.44960900559680633	0.3696215161611928	0.553148580477351
B_vulgatus	B_vulgatus	0.2962553146715228	0.2932713414064832	0.21574159807868196	0.3713794383796969
C_aerofaciens	C_aerofaciens	0.16930444216724605	0.17352676575019582	0.12067403010245478	0.22174218714538257
C_scindens	C_scindens	0.34913497139716343	0.33177088501184154	0.24414575971324368	0.4315444595185878
C_spiroforme	C_spiroforme	0.25189734535486996	0.3023119318010449	0.1562124818513181	0.4648946876349339
D_longicatena	D_longicatena	0.012064820924251918	0.017511818443662397	0.0050580797749387564	0.02395891291260508
P_distasonis	P_distasonis	0.5193263876813264	0.4428067425099663	0.2152104188398525	0.6237649246703355
R_obeum	R_obeum	0.5327302801910797	0.49561678140721455	0.38317135153895826	0.6259279059311205
