Source	Target	Interaction	Interaction_magnitude_log	Interaction_bayes_factor	Cocluster_probability
B_cellulosilyticus_WH2	B_caccae	-	-9.047634800419454	87.43380109823063	0.0
B_ovatus	B_caccae	-	-8.77187219424123	171.25451672734766	0.0
B_thetaiotaomicron	B_caccae	-	-11.66875072956774	1.415549597855228	0.8856666666666667
B_uniformis	B_caccae	-	-11.160442975421319	1.0602409638554218	0.0
B_vulgatus	B_caccae	-	-8.549153884672027	503.2559941874546	0.9938333333333332
C_aerofaciens	B_caccae	-	-10.724992219784893	2.970041714069018	0.9998333333333334
C_scindens	B_caccae	-	-11.087783126357316	1.0713299585826046	0.9998333333333334
C_spiroforme	B_caccae	+	-10.17556073720203	6.053703861563379	0.502
D_longicatena	B_caccae	-	-9.625724487885778	20.648906060469923	0.973
P_distasonis	B_caccae	-	-9.329091990285935	31.398386871182804	0.0911666666666666
R_obeum	B_caccae	-	-10.250851433450103	5.273268168295792	0.1415
B_caccae	B_cellulosilyticus_WH2	+	-11.244013788251454	1.2044703026244192	0.0
B_ovatus	B_cellulosilyticus_WH2	-	-12.954713228689874	0.57324202438617	0.9828333333333332
B_thetaiotaomicron	B_cellulosilyticus_WH2	+	-10.262329538675754	7.116816431322208	0.1028333333333333
B_uniformis	B_cellulosilyticus_WH2	+	-12.105960752294074	0.4186628828979217	0.9873333333333332
B_vulgatus	B_cellulosilyticus_WH2	+	-10.112783944390543	10.11958120619538	0.0
C_aerofaciens	B_cellulosilyticus_WH2	+	-9.780269781385126	20.687275341480948	0.0
C_scindens	B_cellulosilyticus_WH2	+	-10.182090643547507	9.58694244138348	0.0
C_spiroforme	B_cellulosilyticus_WH2	-	-11.025318752862646	1.883340327318506	0.2163333333333333
D_longicatena	B_cellulosilyticus_WH2	+	-10.093895826843115	11.071633237822349	0.0165
P_distasonis	B_cellulosilyticus_WH2	+	-10.3803623746532	5.869665218502428	0.8918333333333334
R_obeum	B_cellulosilyticus_WH2	+	-10.41493272675748	4.690895212247148	0.825
B_caccae	B_ovatus	+	-9.952653349247626	6.48025613660619	0.0
B_cellulosilyticus_WH2	B_ovatus	+	-10.239283428002562	3.963628674138296	0.9828333333333332
B_thetaiotaomicron	B_ovatus	+	-10.24685302767716	3.974961935374725	0.0961666666666666
B_uniformis	B_ovatus	+	-9.473855863179226	18.59221265777619	0.978
B_vulgatus	B_ovatus	+	-10.291953915244157	4.190476190476191	0.0
C_aerofaciens	B_ovatus	+	-8.707989796633754	127.40103780578208	0.0
C_scindens	B_ovatus	+	-9.51459555572803	15.994697070131249	0.0
C_spiroforme	B_ovatus	+	-9.84776838512461	10.606683136133142	0.2125
D_longicatena	B_ovatus	+	-9.823229341950821	12.415670534857345	0.0158333333333333
P_distasonis	B_ovatus	+	-9.160153139083477	40.5860974906259	0.883
R_obeum	B_ovatus	+	-8.872173834052516	76.4438235452152	0.8198333333333333
B_caccae	B_thetaiotaomicron	+	-11.892850073462638	0.7833173137197543	0.8856666666666667
B_cellulosilyticus_WH2	B_thetaiotaomicron	-	-10.660146523089285	2.1849346721001552	0.1028333333333333
B_ovatus	B_thetaiotaomicron	-	-9.364079679086908	29.30617535413388	0.0961666666666666
B_uniformis	B_thetaiotaomicron	-	-10.389985950709262	3.4546222034613763	0.0995
B_vulgatus	B_thetaiotaomicron	-	-10.468730404601406	2.913809082483781	0.8798333333333334
C_aerofaciens	B_thetaiotaomicron	+	-10.591939285587035	3.5675675675675675	0.8858333333333334
C_scindens	B_thetaiotaomicron	+	-10.623969092876337	2.397578203834511	0.8858333333333334
C_spiroforme	B_thetaiotaomicron	-	-9.833641549973938	8.950501873949943	0.4275
D_longicatena	B_thetaiotaomicron	+	-10.506897098554097	3.816383464367233	0.8645
P_distasonis	B_thetaiotaomicron	+	-12.500683791279018	1.371083933657229	0.1915
R_obeum	B_thetaiotaomicron	-	-10.35324412497663	3.8616724444068655	0.237
B_caccae	B_uniformis	+	-10.926070414805277	2.0284670613427385	0.0
