	name	median	mean	25th percentile	75th percentile
mean	Mean parameter for the truncated normal prior of the growth parameter	0.6453318691876415	0.8858434266005313	0.27366014867213606	1.235067186864478
B_caccae	Bacteroides caccae B_caccae	0.71746295052012	0.7170883094939868	0.64153669947505	0.7923466035649055
B_cellulosilyticus_WH2	Bacteroides cellulosilyticus B_cellulosilyticus_WH2	0.21069538545108013	0.2482434936221935	0.1551377804172583	0.329079357250981
B_ovatus	Bacteroides ovatus B_ovatus	0.11877934943883123	0.15745014474579916	0.05417336712998014	0.21959504638338195
B_thetaiotaomicron	Bacteroides thetaiotaomicron B_thetaiotaomicron	0.3766693016972418	0.3866808818620476	0.31685377785356883	0.44679671597645243
B_uniformis	Bacteroides uniformis B_uniformis	0.1984909015431686	0.1993948495159345	0.15158870659385515	0.24506024515440078
B_vulgatus	Phocaeicola vulgatus B_vulgatus	0.42056667618800064	0.4098466497356321	0.30917276886732437	0.5010590326675398
C_aerofaciens	Collinsella aerofaciens C_aerofaciens	0.22173554648673463	0.2343022777288179	0.15095080072268757	0.3068695879401263
C_scindens	Lachnoclostridium scindens C_scindens	0.3947976570001664	0.40153279457938856	0.3125105138399644	0.4854673870099242
C_spiroforme	Erysipelatoclostridium spiroforme C_spiroforme	0.6260260121372534	0.6242964092000963	0.48198659202601135	0.7694505043023293
D_longicatena	Dorea longicatena D_longicatena	0.024604569717278188	0.04436340249253474	0.011938637845828857	0.054391279511214585
P_distasonis	Parabacteroides distasonis P_distasonis	0.24565270842598347	0.2699020391349326	0.20083277350694628	0.3012631928756354
R_obeum	Blautia obeum R_obeum	0.27942534669631036	0.2945152804810276	0.23300792902572903	0.34112429585490156
