	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	D_longicatena	P_distasonis	R_obeum
B_caccae	0.0	5.7014617063799415e-12	1.1151843105862673e-10	1.2798230466374464e-12	1.1855765078543773e-11	2.7949322531072275e-11	3.830916801811808e-09	5.344644422351722e-11	-3.649660355212621e-08	8.18463993880561e-09	1.0454634083507248e-10	1.171251368124879e-10
B_cellulosilyticus_WH2	-8.961179972186908e-10	0.0	5.7639017853752376e-11	-2.1870236373159836e-11	3.0121519354911034e-10	5.447559135980899e-12	1.7057264489456419e-09	-1.9093581858742574e-10	-3.637420126176803e-08	-7.944587859294725e-10	4.6944476227965316e-11	3.4590771350706654e-10
B_ovatus	-1.6909384739509775e-09	-1.1099074622742799e-13	0.0	-4.324344859191988e-10	1.1028451839894346e-10	-1.0494599502465315e-11	-1.3738005777369135e-08	-5.7030353981222805e-09	-1.4575121086843643e-08	-6.1936386044332676e-09	-9.429630756664507e-11	-6.779000298175976e-11
B_thetaiotaomicron	-2.144120901325915e-12	5.466010496268062e-11	5.664309460599421e-11	0.0	2.0128448017140423e-10	9.198400475943534e-10	4.380736528890907e-09	2.3861670132832843e-10	-5.481983795601006e-08	3.843207504940289e-09	8.606690250250058e-10	4.2658957704681235e-10
B_uniformis	-6.911256709744038e-12	7.835004454287255e-13	3.35849059784187e-10	-4.073934566419264e-11	0.0	2.342950529772583e-13	7.387544305059024e-10	-1.0336527230578617e-10	-4.89692671076978e-09	-1.355802479849259e-09	-2.1846164805683096e-11	7.78888347553407e-11
B_vulgatus	-2.8238792052986234e-09	7.712870784880613e-11	5.105591746139311e-11	-3.3983616598085144e-11	2.8940490091761225e-10	0.0	3.988623917589411e-09	-9.945127048222392e-11	-2.6015912382518386e-08	2.070403802979885e-09	1.0227644012992222e-09	5.917916008346239e-10
C_aerofaciens	-1.883682834625841e-11	1.658556301156139e-10	1.9588906953765003e-09	2.5589436024779368e-11	8.808345320492343e-10	1.624023513088042e-10	0.0	5.955006565121268e-11	-2.8545178238239765e-08	6.4549929888208e-10	1.1764072772991758e-09	3.2122978649429465e-09
C_scindens	-8.169902499437134e-12	6.57520588964408e-11	3.0577673866249637e-10	2.3770094435305576e-11	1.877881027083379e-10	2.768088113013578e-10	1.2669613969770156e-08	0.0	-2.3690248056692834e-08	2.9700557959836914e-09	1.6473511411554508e-09	1.5535552879371988e-09
C_spiroforme	6.674815454229018e-11	-9.433682317448497e-12	1.4198145252975053e-10	-1.4667579473127188e-10	-4.2999848052551396e-10	-4.660071632128649e-11	-2.9060089912363726e-09	-3.6864101093408325e-10	0.0	2.694114240306734e-09	-3.609296864633902e-10	-2.478876048558921e-09
D_longicatena	-2.36742108967264e-10	8.0557164853029e-11	1.5023483973989152e-10	3.1124537124600025e-11	7.183521175829202e-10	6.915562199540477e-11	1.2595525950369549e-09	-4.0161470129765124e-10	-1.7891164781132332e-08	0.0	2.4776869790413574e-09	1.8696187320722698e-09
P_distasonis	-4.687140907386586e-10	4.165216933689032e-11	6.915870634132299e-10	3.157302610790947e-13	4.798607760810591e-10	2.8486090408791335e-12	1.4742574337580173e-09	-7.684627696706353e-11	-1.2893283547271752e-08	-2.418346719653652e-10	0.0	1.357740273458524e-09
R_obeum	-5.612399361521891e-11	3.846513608364292e-11	1.342227603248619e-09	-4.4335935336370416e-11	1.6169439088284922e-10	-1.503187626078178e-11	-7.652760682427285e-10	-1.2502398491992612e-09	-2.9587631181749277e-08	-1.6433129272107366e-09	-1.224557458432974e-10	0.0
