name	Growth_mean	Growth_median	Self_interaction_mean	Self_interaction_median	Cluster	Perturbation_mean	Perturbation_median	Perturbation_bayes_factor
B_caccae	0.7170883094939868	0.71746295052012	1.0483886203123654e-08	1.0527384360202768e-08	0	-0.3469084441672685	-0.3860464821099863	4.653710247349824
B_cellulosilyticus_WH2	0.2482434936221935	0.2106953854510801	2.943088634864895e-09	2.898403593026385e-09	1	1.246991650666526	1.15143199525405	3.754358161648178
B_ovatus	0.1574501447457991	0.1187793494388312	1.1052414562583498e-08	1.084170078905112e-08	1	10.226330640447816	5.868972367668908	23999.0
B_thetaiotaomicron	0.3866808818620476	0.3766693016972418	1.0060723304142723e-08	1.0041979494547694e-08	0	-0.0603797201631022	0.0	0.1411182959300114
B_uniformis	0.1993948495159345	0.1984909015431686	1.7199918112677993e-08	1.689067919616901e-08	1	1.6739151549844853	1.450199057675709	7.056394763343404
B_vulgatus	0.4098466497356321	0.4205666761880006	3.9374159985189375e-09	3.744475577437894e-09	0	-0.0247420697772545	0.0	0.0781671159029649
C_aerofaciens	0.2343022777288179	0.2217355464867346	2.443682240306179e-07	2.362352056607186e-07	0	0.0303917781538772	0.0	0.2317799219872716
C_scindens	0.4015327945793885	0.3947976570001664	6.417686063887705e-08	6.352773616011893e-08	0	-0.1542937537448628	0.0	0.3020126946237725
C_spiroforme	0.6242964092000963	0.6260260121372534	1.0958464876345847e-06	1.1096218903036902e-06	0	-0.4430725422323038	-0.5157276250303979	2.238866396761133
D_longicatena	0.0443634024925347	0.0246045697172781	2.924308033498507e-06	2.9038324388790315e-06	0	11.196895090057255	5.787489659814227	2.240178209801539
P_distasonis	0.2699020391349326	0.2456527084259834	2.1411522993183625e-08	2.081144223548052e-08	1	0.580743241847892	0.0	0.92508221705302
R_obeum	0.2945152804810276	0.2794253466963103	3.269116024036152e-08	3.199132848949201e-08	1	0.8852467059377228	0.9229368730473042	2.3324076645376284
