	name	median	mean	25th percentile	75th percentile
mean	Mean parameter for the truncated normal prior of the self-interaction parameter	1.1804032094670137e-07	1.7327866874028113e-07	5.125756317128606e-08	2.4372352888852454e-07
B_caccae	Bacteroides caccae B_caccae	1.0527384360202768e-08	1.0483886203123654e-08	9.56039826276269e-09	1.1467508506051936e-08
B_cellulosilyticus_WH2	Bacteroides cellulosilyticus B_cellulosilyticus_WH2	2.8984035930263853e-09	2.943088634864895e-09	2.3972364928375316e-09	3.4377337906340273e-09
B_ovatus	Bacteroides ovatus B_ovatus	1.0841700789051119e-08	1.1052414562583498e-08	9.215676540856853e-09	1.2757437462964335e-08
B_thetaiotaomicron	Bacteroides thetaiotaomicron B_thetaiotaomicron	1.0041979494547694e-08	1.0060723304142723e-08	8.308238298666916e-09	1.1657235569996118e-08
B_uniformis	Bacteroides uniformis B_uniformis	1.689067919616901e-08	1.7199918112677993e-08	1.331692980457291e-08	2.072082727673913e-08
B_vulgatus	Phocaeicola vulgatus B_vulgatus	3.744475577437894e-09	3.937415998518937e-09	2.982801633748617e-09	4.673618299587321e-09
C_aerofaciens	Collinsella aerofaciens C_aerofaciens	2.362352056607186e-07	2.4436822403061783e-07	1.8349628878294416e-07	2.9771382570313226e-07
C_scindens	Lachnoclostridium scindens C_scindens	6.352773616011893e-08	6.417686063887704e-08	5.134020249538198e-08	7.585168002717675e-08
C_spiroforme	Erysipelatoclostridium spiroforme C_spiroforme	1.1096218903036902e-06	1.0958464876345847e-06	8.702397057507167e-07	1.3057699950875374e-06
D_longicatena	Dorea longicatena D_longicatena	2.9038324388790315e-06	2.924308033498507e-06	2.2161576646423523e-06	3.575069476236771e-06
P_distasonis	Parabacteroides distasonis P_distasonis	2.081144223548052e-08	2.1411522993183622e-08	1.753228617210642e-08	2.4584812484379733e-08
R_obeum	Blautia obeum R_obeum	3.199132848949201e-08	3.2691160240361516e-08	2.683955451395628e-08	3.787843508605277e-08
