	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
B_caccae	0.44	0.162	0.191	0.735	0.013	0.009	159.0	866.0	1.13
B_cellulosilyticus_WH2	0.68	0.167	0.376	0.98	0.017	0.012	101.0	311.0	1.21
B_ovatus	1.098	0.132	0.847	1.344	0.007	0.005	368.0	818.0	1.05
B_thetaiotaomicron	0.661	0.123	0.427	0.892	0.008	0.005	254.0	844.0	1.08
B_uniformis	0.37	0.091	0.212	0.546	0.005	0.004	529.0	435.0	1.04
B_vulgatus	0.282	0.12	0.088	0.511	0.014	0.01	71.0	303.0	1.34
C_aerofaciens	0.74	0.182	0.377	1.087	0.015	0.012	146.0	194.0	1.13
C_scindens	0.525	0.136	0.275	0.782	0.01	0.008	204.0	261.0	1.09
C_spiroforme	0.258	0.252	0.001	0.826	0.033	0.024	93.0	139.0	1.22
P_distasonis	0.679	0.121	0.445	0.903	0.005	0.004	590.0	847.0	1.04
R_obeum	1.05	0.117	0.831	1.27	0.004	0.003	1057.0	657.0	1.02
