	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
B_caccae	0.107	0.291	0.0	0.777	0.011	0.008	760.0	849.0	1.03
B_cellulosilyticus_WH2	-0.77	0.116	-0.983	-0.546	0.006	0.004	364.0	1242.0	1.05
B_ovatus	-1.023	0.086	-1.162	-0.863	0.002	0.002	2057.0	359.0	1.05
B_thetaiotaomicron	-0.021	0.081	-0.194	0.0	0.002	0.002	1077.0	1246.0	1.03
B_uniformis	-0.002	0.053	0.0	0.0	0.0	0.001	20340.0	76827.0	1.01
B_vulgatus	-0.01	0.195	0.0	0.0	0.001	0.001	2331.0	457643.0	1.01
C_aerofaciens	-0.403	0.233	-0.676	0.0	0.005	0.004	2753.0	32696.0	1.01
C_scindens	0.004	0.083	0.0	0.0	0.001	0.0	32152.0	4096.0	1.03
C_spiroforme	-0.046	0.823	-0.567	0.0	0.009	0.006	167.0	551.0	1.13
P_distasonis	-0.408	0.235	-0.693	0.0	0.011	0.008	452.0	746.0	1.04
R_obeum	-0.803	0.071	-0.934	-0.67	0.002	0.001	2506.0	580.0	1.03
