species1	species2	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
B_caccae	B_cellulosilyticus_WH2	-0.0	0.0	0.0	0.0	0.0	0.0	75410.0	107861.0	1.0
B_caccae	B_ovatus	-0.0	0.0	-0.0	0.0	0.0	0.0	196.0	644.0	1.1
B_caccae	B_thetaiotaomicron	-0.0	0.0	0.0	0.0	0.0	0.0	751.0	681006.0	1.03
B_caccae	B_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	137815.0	117132.0	1.0
B_caccae	B_vulgatus	-0.0	0.0	0.0	0.0	0.0	0.0	31178.0	38700.0	1.0
B_caccae	C_aerofaciens	-0.0	0.0	0.0	0.0	0.0	0.0	928.0	624.0	1.03
B_caccae	C_scindens	0.0	0.0	0.0	0.0	0.0	0.0	62837.0	3955.0	1.01
B_caccae	C_spiroforme	-0.0	0.0	0.0	0.0	0.0	0.0	727.0	57219.0	1.04
B_caccae	P_distasonis	-0.0	0.0	0.0	0.0	0.0	0.0	7615.0	331296.0	1.01
B_caccae	R_obeum	-0.0	0.0	-0.0	0.0	0.0	0.0	589.0	1488.0	1.04
B_cellulosilyticus_WH2	B_caccae	0.0	0.0	0.0	0.0	0.0	0.0	27961.0	37738.0	1.0
B_cellulosilyticus_WH2	B_ovatus	-0.0	0.0	-0.0	0.0	0.0	0.0	214.0	650.0	1.09
B_cellulosilyticus_WH2	B_thetaiotaomicron	-0.0	0.0	-0.0	0.0	0.0	0.0	267.0	391.0	1.07
B_cellulosilyticus_WH2	B_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	1045.0	921.0	1.02
B_cellulosilyticus_WH2	B_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	1018.0	824.0	1.02
B_cellulosilyticus_WH2	C_aerofaciens	-0.0	0.0	-0.0	0.0	0.0	0.0	354.0	1340.0	1.06
B_cellulosilyticus_WH2	C_scindens	-0.0	0.0	0.0	0.0	0.0	0.0	77130.0	2139.0	1.02
B_cellulosilyticus_WH2	C_spiroforme	-0.0	0.0	0.0	0.0	0.0	0.0	654.0	16294.0	1.05
B_cellulosilyticus_WH2	P_distasonis	-0.0	0.0	0.0	0.0	0.0	0.0	1088.0	60157.0	1.03
B_cellulosilyticus_WH2	R_obeum	-0.0	0.0	-0.0	0.0	0.0	0.0	246.0	1153.0	1.08
B_ovatus	B_caccae	0.0	0.0	0.0	0.0	0.0	0.0	1555.0	1333.0	1.02
B_ovatus	B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	0.0	919.0	861.0	1.03
B_ovatus	B_thetaiotaomicron	-0.0	0.0	0.0	0.0	0.0	0.0	1932.0	66217.0	1.02
B_ovatus	B_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	424.0	383.0	1.05
B_ovatus	B_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	198.0	186.0	1.1
B_ovatus	C_aerofaciens	-0.0	0.0	-0.0	0.0	0.0	0.0	341.0	634.0	1.06
B_ovatus	C_scindens	-0.0	0.0	0.0	0.0	0.0	0.0	64744.0	1782.0	1.03
B_ovatus	C_spiroforme	-0.0	0.0	0.0	0.0	0.0	0.0	2093.0	8910.0	1.03
B_ovatus	P_distasonis	-0.0	0.0	0.0	0.0	0.0	0.0	790.0	157597.0	1.03
B_ovatus	R_obeum	-0.0	0.0	-0.0	0.0	0.0	0.0	333.0	452.0	1.06
B_thetaiotaomicron	B_caccae	0.0	0.0	0.0	0.0	0.0	0.0	57665.0	53310.0	1.0
B_thetaiotaomicron	B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	0.0	21978.0	21644.0	1.0
B_thetaiotaomicron	B_ovatus	-0.0	0.0	0.0	0.0	0.0	0.0	972.0	134445.0	1.03
B_thetaiotaomicron	B_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	77496.0	63125.0	1.01
B_thetaiotaomicron	B_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	10532.0	7724.0	1.01
B_thetaiotaomicron	C_aerofaciens	-0.0	0.0	0.0	0.0	0.0	0.0	1027.0	14288.0	1.03
B_thetaiotaomicron	C_scindens	0.0	0.0	0.0	0.0	0.0	0.0	78401.0	3754.0	1.01
B_thetaiotaomicron	C_spiroforme	-0.0	0.0	0.0	0.0	0.0	0.0	4531.0	10990.0	1.02
B_thetaiotaomicron	P_distasonis	-0.0	0.0	0.0	0.0	0.0	0.0	4681.0	238596.0	1.01
B_thetaiotaomicron	R_obeum	-0.0	0.0	0.0	0.0	0.0	0.0	1752.0	225106.0	1.02
B_uniformis	B_caccae	0.0	0.0	0.0	0.0	0.0	0.0	23329.0	11450.0	1.01
B_uniformis	B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	0.0	25987.0	23082.0	1.0
B_uniformis	B_ovatus	-0.0	0.0	0.0	0.0	0.0	0.0	1533.0	382539.0	1.02
B_uniformis	B_thetaiotaomicron	-0.0	0.0	0.0	0.0	0.0	0.0	20510.0	123823.0	1.01
B_uniformis	B_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	1385.0	1215.0	1.03
B_uniformis	C_aerofaciens	-0.0	0.0	0.0	0.0	0.0	0.0	650.0	26561.0	1.04
B_uniformis	C_scindens	0.0	0.0	0.0	0.0	0.0	0.0	83620.0	2641.0	1.02
B_uniformis	C_spiroforme	-0.0	0.0	0.0	0.0	0.0	0.0	23730.0	6231.0	1.02
B_uniformis	P_distasonis	-0.0	0.0	0.0	0.0	0.0	0.0	2139.0	194195.0	1.02
B_uniformis	R_obeum	-0.0	0.0	0.0	0.0	0.0	0.0	743.0	397093.0	1.04
B_vulgatus	B_caccae	0.0	0.0	0.0	0.0	0.0	0.0	39113.0	36164.0	1.0
B_vulgatus	B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	0.0	2509.0	2728.0	1.01
B_vulgatus	B_ovatus	-0.0	0.0	0.0	0.0	0.0	0.0	7102.0	204597.0	1.01
B_vulgatus	B_thetaiotaomicron	-0.0	0.0	0.0	0.0	0.0	0.0	5822.0	221773.0	1.01
