	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
B_caccae	0.0	0.0	0.0	0.0	0.0	0.0	275.0	602.0	1.08
B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	0.0	63.0	98.0	1.4
B_ovatus	0.0	0.0	0.0	0.0	0.0	0.0	169.0	350.0	1.11
B_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	232.0	1170.0	1.08
B_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	1059.0	1563.0	1.02
B_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	61.0	216.0	1.42
C_aerofaciens	0.0	0.0	0.0	0.0	0.0	0.0	2276.0	1955.0	1.02
C_scindens	0.0	0.0	0.0	0.0	0.0	0.0	803.0	1487.0	1.03
C_spiroforme	0.0	0.0	0.0	0.0	0.0	0.0	170.0	173.0	1.11
P_distasonis	0.0	0.0	0.0	0.0	0.0	0.0	234.0	175.0	1.08
R_obeum	0.0	0.0	0.0	0.0	0.0	0.0	2627.0	3653.0	1.01
