Seed	RMSE
0	211821646.40648836
1	214097322.26342675
2	216741386.66896376
3	211826405.4773085
4	209512410.4020086
5	211178578.52989373
6	216064508.81534794
7	219090519.88564745
8	215829783.88835415
9	218154593.3392199
12	220792225.69150922
16	215670613.46496502
23	221978150.12491965
24	217632127.81960955
26	214526643.82528025
28	229141589.71445543
31	216381717.70033696
36	217219260.43915245
46	211898826.85376757
48	215588036.79836854
51	218736489.08062658
54	219626390.8459472
63	215388802.09146494
69	217369950.02143863
77	225603313.4413431
78	213306676.90522426
86	221092884.23364967
89	222847686.76566654
96	207341941.51775852
127	214492945.90635723
