OTU	StableState	SampleIdx	ExcludedCluster
B_caccae	60484734.359809235	0	None
B_cellulosilyticus_WH2	169125998.69265422	0	None
B_ovatus	61292713.66136432	0	None
B_thetaiotaomicron	55538239.12648378	0	None
B_uniformis	20144552.048242792	0	None
B_vulgatus	90258232.07859658	0	None
C_aerofaciens	2576121.7273141663	0	None
C_scindens	6606053.885216572	0	None
C_spiroforme	513787.2986603679	0	None
D_longicatena	109000.912430602	0	None
P_distasonis	19946522.85825711	0	None
R_obeum	19298976.540017135	0	None
B_caccae	47653456.00106371	10	None
B_cellulosilyticus_WH2	183737655.61580822	10	None
B_ovatus	56700675.885998376	10	None
B_thetaiotaomicron	57580349.80122594	10	None
B_uniformis	17978602.843028232	10	None
B_vulgatus	88042316.44687098	10	None
C_aerofaciens	1486217.3770158237	10	None
C_scindens	6605827.9481570115	10	None
C_spiroforme	543108.8710978534	10	None
D_longicatena	80681.5795918982	10	None
P_distasonis	20180837.546442486	10	None
R_obeum	20881199.41175516	10	None
B_caccae	56785526.23907061	20	None
B_cellulosilyticus_WH2	188153461.12794575	20	None
B_ovatus	55198049.55820747	20	None
B_thetaiotaomicron	55506740.95224735	20	None
B_uniformis	17339232.121046275	20	None
B_vulgatus	95857526.79925798	20	None
C_aerofaciens	1780083.4831651705	20	None
C_scindens	6621077.1857172	20	None
C_spiroforme	413754.5066685142	20	None
D_longicatena	72325.46352231904	20	None
P_distasonis	20527038.652138002	20	None
R_obeum	22380762.802460298	20	None
B_caccae	56665511.01629694	30	None
B_cellulosilyticus_WH2	213085976.6803675	30	None
B_ovatus	56666703.5556193	30	None
B_thetaiotaomicron	49956185.33405648	30	None
B_uniformis	23694394.493985206	30	None
B_vulgatus	78282254.75805676	30	None
C_aerofaciens	2068909.4152387767	30	None
C_scindens	5950965.594831407	30	None
C_spiroforme	596636.3593851313	30	None
D_longicatena	61505.08514863045	30	None
P_distasonis	20670544.307783112	30	None
R_obeum	23157137.117755227	30	None
B_caccae	53767331.172888204	40	None
B_cellulosilyticus_WH2	182108704.8308342	40	None
B_ovatus	51382530.73302805	40	None
B_thetaiotaomicron	51113003.26505188	40	None
B_uniformis	25660468.556452613	40	None
B_vulgatus	82321791.38384278	40	None
C_aerofaciens	1665292.2998221847	40	None
C_scindens	8069842.787848963	40	None
C_spiroforme	687654.1707386307	40	None
D_longicatena	74740.81533500011	40	None
P_distasonis	21714400.95720048	40	None
R_obeum	21410795.597756755	40	None
B_caccae	61694471.21969853	50	None
B_cellulosilyticus_WH2	183706302.3258385	50	None
B_ovatus	58615091.692702666	50	None
B_thetaiotaomicron	47835737.31853226	50	None
B_uniformis	23597966.659540143	50	None
B_vulgatus	75244821.53150976	50	None
C_aerofaciens	1988257.6784432158	50	None
C_scindens	7077119.438146646	50	None
C_spiroforme	708975.5336712912	50	None
D_longicatena	41357.47514872332	50	None
P_distasonis	19436583.984192416	50	None
R_obeum	17886695.55297593	50	None
B_caccae	54106485.0891278	60	None
B_cellulosilyticus_WH2	206977531.9251188	60	None
B_ovatus	51163047.48844738	60	None
B_thetaiotaomicron	53783182.75063325	60	None
B_uniformis	24786142.771986227	60	None
B_vulgatus	86529541.10621609	60	None
C_aerofaciens	1843995.8577396849	60	None
C_scindens	7452181.409293847	60	None
C_spiroforme	523748.3372434864	60	None
D_longicatena	27761.593992408845	60	None
P_distasonis	21219640.313590743	60	None
R_obeum	20690492.592756215	60	None
B_caccae	49355172.61094376	70	None
B_cellulosilyticus_WH2	209493563.49149418	70	None
B_ovatus	50287310.38459814	70	None
B_thetaiotaomicron	52587670.405198194	70	None
B_uniformis	19488154.68999314	70	None
B_vulgatus	81556264.29112017	70	None
C_aerofaciens	2084197.1265640461	70	None
C_scindens	7240927.4346856205	70	None
C_spiroforme	497423.7803568358	70	None
D_longicatena	77865.4768546254	70	None
P_distasonis	24581955.62592557	70	None
R_obeum	20204371.2249147	70	None
B_caccae	54507535.420911215	80	None
B_cellulosilyticus_WH2	183175103.38223746	80	None
B_ovatus	59340971.51873845	80	None
B_thetaiotaomicron	54128708.22060619	80	None
B_uniformis	25828775.39676906	80	None
B_vulgatus	74633689.576352	80	None
C_aerofaciens	2584657.357494567	80	None
C_scindens	5625783.153100498	80	None
C_spiroforme	501629.3153252388	80	None
D_longicatena	15906.627973027487	80	None
P_distasonis	22318556.494177006	80	None
R_obeum	19905286.034981035	80	None
B_caccae	52543079.98173231	90	None
B_cellulosilyticus_WH2	185394172.78677985	90	None
B_ovatus	54327945.94943162	90	None
B_thetaiotaomicron	51710213.376551226	90	None
B_uniformis	27975911.69553443	90	None
B_vulgatus	65973870.82005047	90	None
C_aerofaciens	1817002.454859886	90	None
C_scindens	6479547.142804291	90	None
C_spiroforme	434781.0356464911	90	None
D_longicatena	27293.738958888734	90	None
P_distasonis	20810818.163812958	90	None
R_obeum	20910237.045500133	90	None
B_caccae	42978602.48697741	100	None
B_cellulosilyticus_WH2	216364479.67611438	100	None
B_ovatus	57116179.82026867	100	None
B_thetaiotaomicron	51269108.92274706	100	None
B_uniformis	32761741.045740798	100	None
B_vulgatus	62183374.97734495	100	None
C_aerofaciens	1937091.4652831093	100	None
C_scindens	8280886.831218971	100	None
C_spiroforme	522455.23025167314	100	None
D_longicatena	350.26542196619806	100	None
P_distasonis	21902122.42845084	100	None
R_obeum	22229490.626935486	100	None
B_caccae	60226395.02433137	110	None
B_cellulosilyticus_WH2	204333549.7104364	110	None
B_ovatus	53356502.72945855	110	None
B_thetaiotaomicron	47662036.268663816	110	None
B_uniformis	25851305.98617731	110	None
B_vulgatus	83023579.33571355	110	None
C_aerofaciens	1496713.5075437638	110	None
C_scindens	7246873.319211697	110	None
C_spiroforme	380013.9083565562	110	None
D_longicatena	45404.294427390414	110	None
P_distasonis	21952029.140317015	110	None
R_obeum	21069484.16726441	110	None
B_caccae	48580757.986585505	120	None
B_cellulosilyticus_WH2	179366263.2139327	120	None
B_ovatus	51024284.58758769	120	None
B_thetaiotaomicron	47732675.09553645	120	None
B_uniformis	22213934.37693848	120	None
B_vulgatus	88723683.14435968	120	None
C_aerofaciens	1749951.4981713125	120	None
C_scindens	6492140.614078118	120	None
C_spiroforme	447782.8625336349	120	None
D_longicatena	57072.98485863694	120	None
P_distasonis	18968245.553134184	120	None
R_obeum	22862062.743887834	120	None
B_caccae	52726553.53122974	130	None
B_cellulosilyticus_WH2	208086531.90166503	130	None
B_ovatus	53027720.62373263	130	None
B_thetaiotaomicron	46876772.3061022	130	None
B_uniformis	24021569.99664104	130	None
B_vulgatus	77327302.32176411	130	None
C_aerofaciens	2125582.8504073946	130	None
C_scindens	7647339.212227417	130	None
C_spiroforme	331330.3546892305	130	None
D_longicatena	46306.82823461906	130	None
P_distasonis	19915998.070121557	130	None
R_obeum	23005313.05838634	130	None
B_caccae	54928018.73619396	140	None
B_cellulosilyticus_WH2	164360521.23814327	140	None
B_ovatus	52541752.07583663	140	None
B_thetaiotaomicron	44008439.98795972	140	None
B_uniformis	19717380.511233684	140	None
B_vulgatus	90275171.37380591	140	None
C_aerofaciens	2402637.0945586907	140	None
C_scindens	5673886.375452045	140	None
C_spiroforme	332098.713391798	140	None
D_longicatena	36586.94625826642	140	None
P_distasonis	18778976.68476168	140	None
R_obeum	22118577.867873054	140	None
B_caccae	50746441.195977405	150	None
B_cellulosilyticus_WH2	207829982.68168092	150	None
B_ovatus	50160557.65529789	150	None
B_thetaiotaomicron	44862387.60391468	150	None
B_uniformis	23060550.341800284	150	None
B_vulgatus	92352676.9836662	150	None
C_aerofaciens	1914608.3217473626	150	None
C_scindens	6015334.468321148	150	None
C_spiroforme	448205.203213524	150	None
D_longicatena	59546.30104799008	150	None
P_distasonis	17439459.15620744	150	None
R_obeum	20833105.27140754	150	None
B_caccae	53214131.304123506	160	None
B_cellulosilyticus_WH2	191033572.30763885	160	None
B_ovatus	52454165.616563074	160	None
B_thetaiotaomicron	47193982.18403688	160	None
B_uniformis	20868062.60653079	160	None
B_vulgatus	95731380.07239598	160	None
C_aerofaciens	1990994.9891306292	160	None
C_scindens	6402045.125553898	160	None
C_spiroforme	392748.8836226743	160	None
D_longicatena	40333.8679319832	160	None
P_distasonis	17016195.27092585	160	None
R_obeum	20919612.616396718	160	None
B_caccae	49355691.54958653	170	None
B_cellulosilyticus_WH2	143172820.5450879	170	None
B_ovatus	50811243.74578038	170	None
B_thetaiotaomicron	50181311.13290183	170	None
B_uniformis	21095444.57464074	170	None
B_vulgatus	93415596.33278947	170	None
C_aerofaciens	2165102.0009831088	170	None
C_scindens	5861792.628791957	170	None
C_spiroforme	388112.64022715844	170	None
D_longicatena	77878.96304641053	170	None
P_distasonis	16023713.157802183	170	None
R_obeum	20441056.49120724	170	None
B_caccae	39866802.42669583	180	None
B_cellulosilyticus_WH2	173351673.60922965	180	None
B_ovatus	48976570.12448998	180	None
B_thetaiotaomicron	50714265.48104844	180	None
B_uniformis	21462347.30957943	180	None
B_vulgatus	94244451.99873735	180	None
C_aerofaciens	2672834.019393338	180	None
C_scindens	6477244.895945433	180	None
C_spiroforme	272917.3033579667	180	None
D_longicatena	62166.454876001546	180	None
P_distasonis	19095074.508250248	180	None
R_obeum	19929943.22018091	180	None
B_caccae	61948280.163041554	190	None
B_cellulosilyticus_WH2	178414531.5119412	190	None
B_ovatus	46608281.68801372	190	None
B_thetaiotaomicron	45465131.98815079	190	None
