	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	D_longicatena	P_distasonis	R_obeum
B_caccae	1.0	0.0044444444444444444	0.022222222222222223	0.4488888888888889	0.52	0.4711111111111111	0.3511111111111111	0.4622222222222222	0.4222222222222222	0.3244444444444444	0.0044444444444444444	0.017777777777777778
B_cellulosilyticus_WH2	0.0044444444444444444	1.0	0.9111111111111111	0.0044444444444444444	0.008888888888888889	0.0	0.3333333333333333	0.0	0.16444444444444445	0.2	0.96	0.9377777777777778
B_ovatus	0.022222222222222223	0.9111111111111111	1.0	0.017777777777777778	0.013333333333333334	0.017777777777777778	0.32	0.017777777777777778	0.16444444444444445	0.21333333333333335	0.9111111111111111	0.8977777777777778
B_thetaiotaomicron	0.4488888888888889	0.0044444444444444444	0.017777777777777778	1.0	0.4533333333333333	0.49333333333333335	0.3422222222222222	0.4711111111111111	0.38666666666666666	0.3022222222222222	0.0044444444444444444	0.017777777777777778
B_uniformis	0.52	0.008888888888888889	0.013333333333333334	0.4533333333333333	1.0	0.5022222222222222	0.38222222222222224	0.5466666666666666	0.48	0.3422222222222222	0.0	0.008888888888888889
B_vulgatus	0.4711111111111111	0.0	0.017777777777777778	0.49333333333333335	0.5022222222222222	1.0	0.3466666666666667	0.4888888888888889	0.4533333333333333	0.3422222222222222	0.0	0.013333333333333334
C_aerofaciens	0.3511111111111111	0.3333333333333333	0.32	0.3422222222222222	0.38222222222222224	0.3466666666666667	1.0	0.37333333333333335	0.41333333333333333	0.31555555555555553	0.3377777777777778	0.3422222222222222
C_scindens	0.4622222222222222	0.0	0.017777777777777778	0.4711111111111111	0.5466666666666666	0.4888888888888889	0.37333333333333335	1.0	0.4666666666666667	0.3377777777777778	0.0	0.0044444444444444444
C_spiroforme	0.4222222222222222	0.16444444444444445	0.16444444444444445	0.38666666666666666	0.48	0.4533333333333333	0.41333333333333333	0.4666666666666667	1.0	0.3377777777777778	0.1688888888888889	0.14222222222222222
D_longicatena	0.3244444444444444	0.2	0.21333333333333335	0.3022222222222222	0.3422222222222222	0.3422222222222222	0.31555555555555553	0.3377777777777778	0.3377777777777778	1.0	0.2	0.20444444444444446
P_distasonis	0.0044444444444444444	0.96	0.9111111111111111	0.0044444444444444444	0.0	0.0	0.3377777777777778	0.0	0.1688888888888889	0.2	1.0	0.9377777777777778
R_obeum	0.017777777777777778	0.9377777777777778	0.8977777777777778	0.017777777777777778	0.008888888888888889	0.013333333333333334	0.3422222222222222	0.0044444444444444444	0.14222222222222222	0.20444444444444446	0.9377777777777778	1.0
