	name	median	mean	25th percentile	75th percentile
B_caccae	B_caccae	0.3176978289585959	0.3169097952135603	0.2728916732140466	0.3615675640097917
B_cellulosilyticus_WH2	B_cellulosilyticus_WH2	0.4584208784336937	0.44525215836250676	0.40190943084613023	0.5107324296196424
B_ovatus	B_ovatus	0.7319475754493836	0.6610305051516627	0.5564830003520558	0.8489655293886448
B_thetaiotaomicron	B_thetaiotaomicron	0.6515018278787328	0.6422186114347157	0.5445575559710167	0.7352129302275253
B_uniformis	B_uniformis	0.38269328805780295	0.3843364744422966	0.3420107569734586	0.4271161619144426
B_vulgatus	B_vulgatus	0.4262406445976982	0.4253679755684926	0.3832226625393402	0.4691934791937575
C_aerofaciens	C_aerofaciens	0.4612731291341097	0.4435621767440279	0.34843806425303037	0.5423710784035711
C_scindens	C_scindens	0.4255275303350746	0.4294143587146766	0.35827715947177274	0.49645333159328836
C_spiroforme	C_spiroforme	0.16297157559800318	0.16546203237015944	0.12337509302389368	0.20394283992899734
D_longicatena	D_longicatena	0.03467107272016257	0.040636820796319376	0.013885363136469663	0.06299349327592671
P_distasonis	P_distasonis	0.540940158943263	0.5354105308494466	0.4839507803758579	0.6112434347869923
R_obeum	R_obeum	0.6240451610509548	0.5963569640509283	0.43561431069548384	0.837949564971563
