	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	D_longicatena	P_distasonis	R_obeum
B_caccae	0.0	0.008929957394618049	0.008929957394618049	0.0	0.008929957394618049	0.008929957394618049	0.008929957394618049	0.0	0.026849604340339887	0.20115796964778562	0.008929957394618049	0.008929957394618049
B_cellulosilyticus_WH2	1.5291488948117387	0.0	0.0	0.5023443683369141	1.6963673977773557	0.34419139376266533	0.6042604503691548	1.0832274800258437	0.8810047115915964	1.152690701203385	0.0	0.0
B_ovatus	1.6184683396021435	0.0	0.0	0.5023443683369141	1.7094730569357641	0.35390394955329674	0.6042604503691548	1.117827198422505	0.8155772716208262	1.1643710095990145	0.0	0.0
B_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	0.008929957394618049	0.008929957394618049	0.0	0.21994607391127743	0.0	0.0
B_uniformis	0.0	0.008929957394618049	0.008929957394618049	0.0	0.0	0.008929957394618049	0.026849604340339887	0.0	0.008929957394618049	0.2482896401369575	0.008929957394618049	0.008929957394618049
B_vulgatus	0.017879803335771997	0.008929957394618049	0.008929957394618049	0.017879803335771997	0.03583942722215012	0.0	0.026849604340339887	0.008929957394618049	0.017879803335771997	0.18245526585821878	0.008929957394618049	0.008929957394618049
C_aerofaciens	0.4423417230888587	0.0	0.0	0.10848691483461657	0.48224925392914364	0.07200028428485764	0.0	0.3055652203300273	0.2388201649219706	0.5023443683369141	0.0	0.0
C_scindens	0.017879803335771997	0.0	0.0	0.017879803335771997	0.0	0.0	0.03583942722215012	0.0	0.044849339093640375	0.26729382231353294	0.0	0.0
C_spiroforme	0.3055652203300273	0.0	0.0	0.1731357573864596	0.34419139376266533	0.20115796964778562	0.21994607391127743	0.2768286792331595	0.0	0.5836828767144925	0.0	0.0
D_longicatena	1.258894430754394	0.0	0.0	0.4522834759302325	1.1410400382605357	0.2959643022216268	0.46224859364314885	0.5632031749916004	0.4522834759302325	0.0	0.0	0.0
P_distasonis	1.5291488948117387	0.0	0.0	0.5023443683369141	1.6963673977773557	0.34419139376266533	0.6042604503691548	1.1294189080501147	0.8155772716208262	1.1643710095990145	0.0	0.0
R_obeum	1.5291488948117387	0.0	0.0	0.5023443683369141	1.592778592498645	0.34419139376266533	0.5632031749916004	0.9922286368019988	0.8155772716208262	1.071752342522333	0.0	0.0
