	B_caccae	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	B_cellulosilyticus_WH2	B_ovatus	P_distasonis	R_obeum	D_longicatena
B_caccae	0.0	0.0	2.936552978632694e-12	-1.4355381169469588e-12	2.7277193862970466e-11	0.0	-7.789715867396708e-10	-5.138767084597287e-13	-5.138767084597287e-13	-5.138767084597287e-13	-5.138767084597287e-13	8.923895154368455e-09
B_thetaiotaomicron	0.0	0.0	0.0	0.0	-3.203108392190319e-11	1.3633008465449029e-12	0.0	0.0	0.0	0.0	0.0	1.437803770559678e-08
B_uniformis	0.0	0.0	0.0	-1.4355381169469588e-12	-4.829693828937082e-11	0.0	-5.771242708153296e-11	-5.138767084597287e-13	-5.138767084597287e-13	-5.138767084597287e-13	-5.138767084597287e-13	1.0131161857086237e-08
B_vulgatus	8.425459711749541e-13	8.425459711749541e-13	2.10694204723642e-11	0.0	-3.1684846733704403e-13	-9.853707781301333e-12	8.425459711749541e-13	4.477706407116368e-13	4.477706407116368e-13	4.477706407116368e-13	4.477706407116368e-13	1.1830628810178324e-08
C_aerofaciens	6.376416918013018e-11	-5.651543149882908e-12	1.03249798530358e-10	4.57303052364131e-12	0.0	6.073246213703681e-11	5.797994517190804e-10	0.0	0.0	0.0	0.0	2.6879053763473192e-08
C_scindens	8.425459711749541e-13	8.425459711749541e-13	0.0	0.0	-3.69045808543155e-11	0.0	-2.9466072087488753e-10	0.0	0.0	0.0	0.0	9.573490110128112e-09
C_spiroforme	2.5007861836420216e-11	7.495368153756658e-12	9.023016548619349e-11	8.777738277791987e-12	3.9761292424462144e-11	7.167221565702711e-11	0.0	0.0	0.0	0.0	0.0	2.0498692476602978e-08
B_cellulosilyticus_WH2	2.138327798890622e-10	-1.9706337562856845e-11	3.8681253844510215e-10	1.7385387079540793e-11	-9.719131438163142e-11	4.2815398889273454e-10	3.728405970952636e-09	0.0	0.0	0.0	0.0	3.749537587789259e-08
B_ovatus	2.3921639957437537e-10	-1.9706337562856845e-11	3.9369334528364625e-10	2.426619391808491e-11	-9.719131438163142e-11	4.3950807852002204e-10	1.821181904327584e-09	0.0	0.0	0.0	0.0	4.0229848350647786e-08
P_distasonis	2.138327798890622e-10	-1.9706337562856845e-11	3.8681253844510215e-10	1.7385387079540793e-11	-9.719131438163142e-11	5.714983038701053e-10	1.821181904327584e-09	0.0	0.0	0.0	0.0	3.830566907277598e-08
R_obeum	2.138327798890622e-10	-1.9706337562856845e-11	3.3161607579311114e-10	1.7385387079540793e-11	-1.2455188728178648e-10	3.729575262407434e-10	1.821181904327584e-09	0.0	0.0	0.0	0.0	4.1747439331164174e-08
D_longicatena	1.879190126349943e-10	-2.0835472128455494e-11	2.0180184900900714e-10	1.4980594361576175e-11	-2.1692656786722937e-10	7.448970423521492e-11	-7.676031411406777e-10	0.0	0.0	0.0	0.0	0.0
