	median	mean	25th percentile	75th percentile
B_caccae	0.0	0.0016224098131172116	0.0	0.0
B_cellulosilyticus_WH2	-0.8445254891378674	-0.8523247522271234	-0.9258753196086299	-0.7822824282007259
B_ovatus	-0.8502796171597927	-0.9756904930272919	-0.9414278593264997	-0.7891392117177531
B_thetaiotaomicron	0.0	0.0	0.0	0.0
B_uniformis	0.0	0.0009848444545502372	0.0	0.0
B_vulgatus	0.0	0.0	0.0	0.0
C_aerofaciens	0.0	-0.2938073120662816	-0.75652275402865	0.0
C_scindens	0.0	0.00018653681081632373	0.0	0.0
C_spiroforme	0.0	-0.1406464520320053	0.0	0.0
D_longicatena	0.0	5.2222923033625825	0.0	0.0
P_distasonis	-0.8440871465697906	-0.8614378183395034	-0.925491801113634	-0.7800636567737665
R_obeum	-0.8366621818439116	-0.7359541942170768	-0.9183506211780801	-0.7706238603299529
