	name	median	mean	25th percentile	75th percentile
B_caccae	B_caccae	4.732196963175971e-09	4.769198328435541e-09	4.066022345038334e-09	5.499349370265548e-09
B_cellulosilyticus_WH2	B_cellulosilyticus_WH2	2.6169534476616435e-09	2.5635593296830652e-09	2.2055373121242855e-09	2.9954557327113183e-09
B_ovatus	B_ovatus	1.6078300129535233e-08	1.4420579628235235e-08	1.1689596623167448e-08	1.81065165981791e-08
B_thetaiotaomicron	B_thetaiotaomicron	1.5011633203643795e-08	1.4537028910959618e-08	1.1362621611544704e-08	1.7316616430453573e-08
B_uniformis	B_uniformis	1.7233486329623555e-08	1.7443824863485805e-08	1.4863431585158902e-08	1.9786507834491995e-08
B_vulgatus	B_vulgatus	5.683305636889172e-09	5.717725627198619e-09	5.169625069317007e-09	6.304414413481161e-09
C_aerofaciens	C_aerofaciens	2.2642493503528776e-07	2.1570801246787843e-07	1.5680487333995717e-07	2.6708338181058476e-07
C_scindens	C_scindens	6.580852007475129e-08	6.705459294859973e-08	5.4647511977581305e-08	7.902501024233305e-08
C_spiroforme	C_spiroforme	4.405412957656618e-07	4.54379203409693e-07	3.541240952513532e-07	5.383798308197295e-07
D_longicatena	D_longicatena	1.8020781192184481e-06	1.8128165251524494e-06	1.4231886412868155e-06	2.206826680905751e-06
P_distasonis	P_distasonis	2.240458500773317e-08	2.2918263393066918e-08	1.9635912241589804e-08	2.6145315497057467e-08
R_obeum	R_obeum	3.2064789784850503e-08	3.2297945035409254e-08	2.4109332774506242e-08	4.2506292123332613e-08
