	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	D_longicatena	P_distasonis	R_obeum
B_caccae	1.0	0.013431578947368421	0.004842105263157895	0.6327578947368421	0.6641263157894737	0.6072421052631579	0.16206315789473685	0.6639157894736842	0.3447578947368421	0.5446736842105263	0.007789473684210527	0.0005473684210526316
B_cellulosilyticus_WH2	0.013431578947368421	1.0	0.8265684210526316	0.021052631578947368	0.016294736842105265	0.08551578947368421	0.7299789473684211	0.009936842105263157	0.43317894736842105	0.13823157894736843	0.9434947368421053	0.904
B_ovatus	0.004842105263157895	0.8265684210526316	1.0	0.013978947368421053	0.0015157894736842106	0.041305263157894734	0.5859368421052632	0.0025684210526315788	0.3494736842105263	0.13528421052631578	0.7958315789473684	0.9034947368421052
B_thetaiotaomicron	0.6327578947368421	0.021052631578947368	0.013978947368421053	1.0	0.6234526315789474	0.5666105263157895	0.17006315789473683	0.6269894736842105	0.34227368421052634	0.5490526315789473	0.019410526315789475	0.009852631578947368
B_uniformis	0.6641263157894737	0.016294736842105265	0.0015157894736842106	0.6234526315789474	1.0	0.6036631578947368	0.16193684210526316	0.6565052631578947	0.34926315789473683	0.5453473684210526	0.013894736842105264	0.002105263157894737
B_vulgatus	0.6072421052631579	0.08551578947368421	0.041305263157894734	0.5666105263157895	0.6036631578947368	1.0	0.2160421052631579	0.6081684210526316	0.38850526315789474	0.5114105263157894	0.0848421052631579	0.04741052631578947
C_aerofaciens	0.16206315789473685	0.7299789473684211	0.5859368421052632	0.17006315789473683	0.16193684210526316	0.2160421052631579	1.0	0.14909473684210525	0.4688421052631579	0.16833684210526315	0.7318736842105263	0.6592842105263158
C_scindens	0.6639157894736842	0.009936842105263157	0.0025684210526315788	0.6269894736842105	0.6565052631578947	0.6081684210526316	0.14909473684210525	1.0	0.3505263157894737	0.5558315789473685	0.007705263157894737	0.0006315789473684211
C_spiroforme	0.3447578947368421	0.43317894736842105	0.3494736842105263	0.34227368421052634	0.34926315789473683	0.38850526315789474	0.4688421052631579	0.3505263157894737	1.0	0.3487157894736842	0.4381052631578947	0.39410526315789474
D_longicatena	0.5446736842105263	0.13823157894736843	0.13528421052631578	0.5490526315789473	0.5453473684210526	0.5114105263157894	0.16833684210526315	0.5558315789473685	0.3487157894736842	1.0	0.1297263157894737	0.1374736842105263
P_distasonis	0.007789473684210527	0.9434947368421053	0.7958315789473684	0.019410526315789475	0.013894736842105264	0.0848421052631579	0.7318736842105263	0.007705263157894737	0.4381052631578947	0.1297263157894737	1.0	0.8853052631578947
R_obeum	0.0005473684210526316	0.904	0.9034947368421052	0.009852631578947368	0.002105263157894737	0.04741052631578947	0.6592842105263158	0.0006315789473684211	0.39410526315789474	0.1374736842105263	0.8853052631578947	1.0
