Source	Target	Interaction	Interaction_magnitude_log
B_thetaiotaomicron	B_caccae	-	-11.878738324766761
B_uniformis	B_caccae	+	-11.367848023560203
B_vulgatus	B_caccae	+	-11.248931148045921
C_scindens	B_caccae	+	-11.763565629124665
D_longicatena	B_caccae	+	-9.979991360002899
B_cellulosilyticus_WH2	B_caccae	+	-10.00158148518472
B_ovatus	B_caccae	+	-9.51847323575423
C_aerofaciens	B_caccae	+	-10.77634059456572
P_distasonis	B_caccae	+	-9.827341157469707
R_obeum	B_caccae	+	-9.535912398945753
C_spiroforme	B_caccae	+	-10.979891142057058
B_caccae	B_thetaiotaomicron	-	-10.80395649466844
B_uniformis	B_thetaiotaomicron	-	-11.229431957496987
B_vulgatus	B_thetaiotaomicron	-	-10.698218956715255
C_scindens	B_thetaiotaomicron	-	-11.559534325128674
D_longicatena	B_thetaiotaomicron	+	-10.59999065304838
B_cellulosilyticus_WH2	B_thetaiotaomicron	+	-11.141190900544446
B_ovatus	B_thetaiotaomicron	+	-9.744153145277998
C_aerofaciens	B_thetaiotaomicron	-	-10.712005785086266
P_distasonis	B_thetaiotaomicron	+	-10.273379316947745
R_obeum	B_thetaiotaomicron	+	-9.762593523427899
C_spiroforme	B_thetaiotaomicron	-	-10.546299771397807
B_caccae	B_uniformis	-	-12.509277627509357
B_thetaiotaomicron	B_uniformis	-	-11.475073440361744
B_vulgatus	B_uniformis	+	-11.451627202176947
C_scindens	B_uniformis	+	-11.405779618400791
D_longicatena	B_uniformis	+	-9.817891383567511
B_cellulosilyticus_WH2	B_uniformis	+	-9.795014828174953
B_ovatus	B_uniformis	+	-9.412171095929331
C_aerofaciens	B_uniformis	+	-11.036703700495012
P_distasonis	B_uniformis	+	-9.681977899378658
R_obeum	B_uniformis	+	-9.427197031232613
C_spiroforme	B_uniformis	+	-11.496659760065617
B_caccae	B_vulgatus	+	-11.20793481515822
B_thetaiotaomicron	B_vulgatus	+	-12.065020866868467
B_uniformis	B_vulgatus	+	-10.998875134872252
C_scindens	B_vulgatus	+	-11.134239583434399
D_longicatena	B_vulgatus	+	-9.817541009610828
B_cellulosilyticus_WH2	B_vulgatus	+	-9.738532491570073
B_ovatus	B_vulgatus	+	-9.40302014705345
C_aerofaciens	B_vulgatus	+	-10.70589937879265
P_distasonis	B_vulgatus	+	-9.709195337659022
R_obeum	B_vulgatus	+	-9.413562426016549
C_spiroforme	B_vulgatus	+	-10.795849622864813
B_caccae	C_scindens	-	-10.945137466955766
B_thetaiotaomicron	C_scindens	-	-11.498523192093401
B_uniformis	C_scindens	-	-11.430300565968471
B_vulgatus	C_scindens	-	-11.550796867547875
D_longicatena	C_scindens	+	-10.007553211969126
B_cellulosilyticus_WH2	C_scindens	+	-9.963327978417746
B_ovatus	C_scindens	+	-9.451181490954568
C_aerofaciens	C_scindens	+	-11.353071396562624
P_distasonis	C_scindens	+	-9.763182377917007
R_obeum	C_scindens	+	-9.46597600261191
C_spiroforme	C_scindens	+	-11.969905734105323
B_caccae	D_longicatena	+	-8.359898276577677
B_thetaiotaomicron	D_longicatena	+	-8.209401872702625
B_uniformis	D_longicatena	+	-8.239610788073673
B_vulgatus	D_longicatena	+	-8.144359019811183
C_scindens	D_longicatena	+	-8.363082859857599
B_cellulosilyticus_WH2	D_longicatena	+	-7.8063410897877015
B_ovatus	D_longicatena	+	-7.779543800724182
C_aerofaciens	D_longicatena	+	-7.999068670382119
P_distasonis	D_longicatena	+	-7.837793284461246
R_obeum	D_longicatena	+	-7.79187893727417
C_spiroforme	D_longicatena	+	-8.040303678022747
B_caccae	B_cellulosilyticus_WH2	+	-11.512436442094128
B_thetaiotaomicron	B_cellulosilyticus_WH2	-	-11.407428958932734
B_uniformis	B_cellulosilyticus_WH2	+	-11.25034552689308
B_vulgatus	B_cellulosilyticus_WH2	-	-11.631322906895646
C_scindens	B_cellulosilyticus_WH2	+	-11.369277219396029
D_longicatena	B_cellulosilyticus_WH2	+	-10.965539094147289
B_ovatus	B_cellulosilyticus_WH2	+	-9.859113120657508
C_aerofaciens	B_cellulosilyticus_WH2	-	-11.36543551263589
P_distasonis	B_cellulosilyticus_WH2	+	-10.261199430298198
R_obeum	B_cellulosilyticus_WH2	+	-9.858483976169353
C_spiroforme	B_cellulosilyticus_WH2	-	-11.628919524794753
B_caccae	B_ovatus	-	-9.442294692763177
B_thetaiotaomicron	B_ovatus	-	-9.415449721234289
B_uniformis	B_ovatus	-	-9.468805330132163
B_vulgatus	B_ovatus	-	-9.446146617924288
C_scindens	B_ovatus	-	-9.438893808624133
D_longicatena	B_ovatus	-	-9.622040344933875
B_cellulosilyticus_WH2	B_ovatus	-	-9.384316688812959
C_aerofaciens	B_ovatus	-	-9.385066601343215
P_distasonis	B_ovatus	-	-9.905351029086093
R_obeum	B_ovatus	-	-11.121884258032658
C_spiroforme	B_ovatus	-	-9.396795625504
B_caccae	C_aerofaciens	-	-9.64231374445824
B_thetaiotaomicron	C_aerofaciens	-	-9.708079847538487
B_uniformis	C_aerofaciens	-	-9.660863177433198
B_vulgatus	C_aerofaciens	-	-9.6344784179592
C_scindens	C_aerofaciens	-	-9.744101804454582
D_longicatena	C_aerofaciens	-	-9.649833307543044
B_cellulosilyticus_WH2	C_aerofaciens	-	-9.66403205141945
B_ovatus	C_aerofaciens	-	-10.224772852628512
P_distasonis	C_aerofaciens	-	-9.85007910389889
R_obeum	C_aerofaciens	-	-10.285467305053945
C_spiroforme	C_aerofaciens	-	-10.105189071745775
B_caccae	P_distasonis	-	-9.726416033101291
B_thetaiotaomicron	P_distasonis	-	-9.598357077411583
B_uniformis	P_distasonis	-	-9.751204155138268
B_vulgatus	P_distasonis	-	-9.648343799365016
C_scindens	P_distasonis	-	-9.734677275392876
D_longicatena	P_distasonis	-	-9.956574278164767
B_cellulosilyticus_WH2	P_distasonis	-	-9.603607873260664
B_ovatus	P_distasonis	+	-10.008163498896794
C_aerofaciens	P_distasonis	-	-9.537344746622184
R_obeum	P_distasonis	+	-9.999706964050784
C_spiroforme	P_distasonis	-	-9.560896070203222
B_caccae	R_obeum	-	-9.438407677541752
B_thetaiotaomicron	R_obeum	-	-9.409235857869293
B_uniformis	R_obeum	-	-9.466286819885497
B_vulgatus	R_obeum	-	-9.440245439821808
C_scindens	R_obeum	-	-9.434073350616472
D_longicatena	R_obeum	-	-9.60878258552767
B_cellulosilyticus_WH2	R_obeum	-	-9.38237339406592
B_ovatus	R_obeum	-	-11.096218715370734
C_aerofaciens	R_obeum	-	-9.38637222194932
P_distasonis	R_obeum	-	-9.91247276737284
C_spiroforme	R_obeum	-	-9.387039640158397
B_caccae	C_spiroforme	-	-9.385540049414704
B_thetaiotaomicron	C_spiroforme	-	-10.081371240767929
B_uniformis	C_spiroforme	-	-9.65594316109303
B_vulgatus	C_spiroforme	-	-9.669367555829206
C_scindens	C_spiroforme	-	-9.610014630009754
D_longicatena	C_spiroforme	-	-9.533916123143442
B_cellulosilyticus_WH2	C_spiroforme	+	-9.536422258550994
B_ovatus	C_spiroforme	+	-9.118909029150487
C_aerofaciens	C_spiroforme	+	-9.53238742312659
P_distasonis	C_spiroforme	+	-9.478502924642365
R_obeum	C_spiroforme	+	-9.12310991014433
