	median	mean	25th percentile	75th percentile
B_caccae	0.0	0.02511143959887508	0.0	0.0
B_cellulosilyticus_WH2	-0.7743170423789936	-0.7687443034066106	-0.8480146502155599	-0.692020712816966
B_ovatus	-1.0178414461360172	-1.03575809317225	-1.080705142340312	-0.9632762642439385
B_thetaiotaomicron	0.0	-0.04882503415883749	0.0	0.0
B_uniformis	0.0	-0.00921128371062657	0.0	0.0
B_vulgatus	0.0	-0.042248845624912094	0.0	0.0
C_aerofaciens	-0.38950430206016934	-0.34406006792290356	-0.5312867755337065	0.0
C_scindens	0.0	-0.010911755965274541	0.0	0.0
C_spiroforme	-0.3502527055183825	-0.302536964475203	-0.5339647899688638	0.0
D_longicatena	0.0	3.741027343092979	0.0	3.494170649686897
P_distasonis	-0.38926536572900594	-0.32609313152560615	-0.5433667770992151	0.0
R_obeum	-0.7956119146645579	-0.7891639896191674	-0.8523709741343439	-0.7318633627451876
