	name	median	mean	25th percentile	75th percentile
mean	Mean parameter for the truncated normal prior of the growth parameter	1.7710452470431912	2.4784981535893773	0.7405752466724527	3.4930678396282087
B_caccae	Bacteroides caccae B_caccae	0.6216155729949455	0.6142659138646531	0.5205737509158959	0.7158078212860595
B_cellulosilyticus_WH2	Bacteroides cellulosilyticus B_cellulosilyticus_WH2	0.8088523779140665	0.8108839409072711	0.7131556834027512	0.9017606470100815
B_ovatus	Bacteroides ovatus B_ovatus	1.1103052316416404	1.1058400269640303	1.0052992205511655	1.2074228283416286
B_thetaiotaomicron	Bacteroides thetaiotaomicron B_thetaiotaomicron	0.6892113371391297	0.6986775808198145	0.6067873009393914	0.7811489372469957
B_uniformis	Bacteroides uniformis B_uniformis	0.39804892133897335	0.41204148088433507	0.32620281339867463	0.4861831812248616
B_vulgatus	Phocaeicola vulgatus B_vulgatus	0.35956389847190146	0.3668106199198805	0.2990623918574136	0.42741093466611757
C_aerofaciens	Collinsella aerofaciens C_aerofaciens	0.9208494980727682	0.9182523382558305	0.807920789749722	1.0296176037310651
C_scindens	Lachnoclostridium scindens C_scindens	0.6430134298738162	0.642240603979401	0.5337552389546085	0.7456126651024433
C_spiroforme	Erysipelatoclostridium spiroforme C_spiroforme	0.8970429610473207	0.8836134262008524	0.6928567183717564	1.0950442674193088
D_longicatena	Dorea longicatena D_longicatena	0.0516469607441131	0.08158665541189225	0.017882277367266528	0.11657371776043822
P_distasonis	Parabacteroides distasonis P_distasonis	0.6874317995731926	0.6813400091529264	0.5834160060041623	0.7833407283908054
R_obeum	Blautia obeum R_obeum	1.1142156513503059	1.1218183868920837	1.0231553454018258	1.2133369568143344
