	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	D_longicatena	P_distasonis	R_obeum
B_caccae	0.0	7.084373748367465e-13	-3.6446976264188928e-09	-1.4765471788521907e-10	4.5118450901774014e-11	-6.4118113645298385e-12	-8.028607619460015e-09	-8.062477032720857e-11	-2.756637865990092e-08	-4.0865678752283905e-10	-2.0130730158101382e-10	-2.4819580845857414e-09
B_cellulosilyticus_WH2	-6.1905927057496e-12	0.0	-4.113076180659307e-09	-6.783201823413875e-10	6.50331033178459e-10	6.893634959731848e-12	-2.6934777260481873e-08	-4.178677131871081e-10	-2.621627989900588e-08	1.2765052794674223e-08	-8.717428228841901e-10	-9.746911603503402e-09
B_ovatus	5.89412989688523e-11	7.283296940228705e-11	0.0	-2.8809813986959085e-11	1.0486926763311735e-09	8.743906337786617e-11	-1.6351313349200022e-08	-1.40504646754071e-10	-1.1728926701500006e-08	1.0351636985300239e-08	-9.779944279027344e-10	-1.6587900719612799e-09
B_thetaiotaomicron	5.172785451469701e-12	9.542506215108864e-12	-4.1680975869272464e-10	0.0	5.65161107950179e-13	7.224163276822039e-12	-8.508951462703548e-09	4.034374200954435e-12	-8.487896958889201e-09	2.2767834184603725e-09	-6.41594801253612e-10	-1.4602393846557642e-09
B_uniformis	1.5214209892451743e-11	2.4301262736204798e-12	-2.394042053551996e-10	-3.3772467889526914e-11	0.0	2.223635994402561e-11	-5.737598487301084e-09	2.3008735409334843e-10	-3.910110315736729e-09	1.5791037890710609e-09	-2.0042356003440503e-10	-7.222229242446474e-10
B_vulgatus	9.227136894323808e-12	5.474400020798894e-11	-1.1306424478914849e-10	-2.479922726355291e-11	3.370225115773155e-10	0.0	-7.200047419420555e-09	6.524144492341639e-11	-1.2463901204846559e-08	3.2800286367978213e-09	-1.0420876173309342e-10	-7.436191917368494e-11
C_aerofaciens	-3.6662916162069124e-10	-3.2904603714349996e-11	-1.877364116827747e-10	-2.771492600557671e-10	-2.9477557796001483e-09	-3.0199506458837076e-10	0.0	-1.6069818082900998e-09	-4.8435501318669246e-09	-5.217698139552576e-09	-2.99688978362295e-09	-1.2891690139153632e-09
C_scindens	3.505383284436912e-11	-2.8846187014068245e-12	-1.3300714304710151e-09	-4.801215411443163e-11	4.877760123155046e-11	1.185663295272907e-12	-7.073971819148969e-09	0.0	-9.242404047549166e-09	-6.903924750991672e-10	-3.4002941835694325e-10	-2.429697791764986e-09
C_spiroforme	-4.301366097215661e-10	4.16447955185767e-12	-5.220308116974411e-10	-9.960160651093225e-10	-1.8523409328159543e-09	-9.059861256422271e-13	-1.4103437832219657e-08	-1.8013472159850576e-09	0.0	1.6281432899167001e-09	-3.955642633542217e-09	-4.2927582064317534e-09
D_longicatena	1.7196782528302833e-10	8.935877734231676e-12	-1.2354611739007487e-09	4.061987173710057e-11	3.0331896468277485e-09	1.2075833168408708e-10	-1.0420613944768054e-08	-8.660099983985695e-10	-1.512267319710319e-08	0.0	1.7718128167783071e-09	-1.2589333341374127e-09
P_distasonis	-1.1888688902646908e-10	4.2226665828836623e-10	4.2466840256759297e-10	-1.9469780087613997e-10	-5.688033071884418e-11	1.2674514961371304e-11	-5.77242744817378e-09	-6.118056554491858e-10	-4.2138842877758844e-09	2.1946129148458396e-09	0.0	-2.207433682622904e-11
R_obeum	-3.5159230611716667e-12	5.312897769170931e-12	-9.537482169760933e-10	-1.651279493048943e-10	-3.478168410165132e-11	1.483318831272758e-12	-9.794438485309228e-09	-4.391850675015359e-10	-8.20823714178328e-09	7.841627070420509e-10	-9.159057334238024e-10	0.0
