	name	median	mean	25th percentile	75th percentile
mean	Mean parameter for the truncated normal prior of the self-interaction parameter	7.807233861715118e-08	1.0883160864572365e-07	3.29590248430986e-08	1.5606734777514095e-07
B_caccae	Bacteroides caccae B_caccae	6.424708152345899e-09	6.462636828329415e-09	5.475725849194072e-09	7.394213825235838e-09
B_cellulosilyticus_WH2	Bacteroides cellulosilyticus B_cellulosilyticus_WH2	1.429920431341467e-09	1.4508326348045464e-09	1.1347223023703455e-09	1.7400005298492e-09
B_ovatus	Bacteroides ovatus B_ovatus	2.0815622647875832e-08	2.0654162675368647e-08	1.8763946766278396e-08	2.2749292072136034e-08
B_thetaiotaomicron	Bacteroides thetaiotaomicron B_thetaiotaomicron	1.2432542511817672e-08	1.2631445854412964e-08	1.0813899728400768e-08	1.4286178958497044e-08
B_uniformis	Bacteroides uniformis B_uniformis	1.6589882834222004e-08	1.7305156343072162e-08	1.3278657799912375e-08	2.0559546771086783e-08
B_vulgatus	Phocaeicola vulgatus B_vulgatus	4.794706608403576e-09	4.823741088359411e-09	3.800127591296406e-09	5.75468306354131e-09
C_aerofaciens	Collinsella aerofaciens C_aerofaciens	3.1924450173015417e-07	3.2214525144256713e-07	2.705165223699768e-07	3.738752460509899e-07
C_scindens	Lachnoclostridium scindens C_scindens	8.337083684850557e-08	8.374248547874581e-08	6.938511849818915e-08	9.73988137984068e-08
C_spiroforme	Erysipelatoclostridium spiroforme C_spiroforme	1.262978539885505e-06	1.2440581253448565e-06	9.339079542160213e-07	1.5603703164400817e-06
D_longicatena	Dorea longicatena D_longicatena	1.2030140760519066e-06	1.2923279148893593e-06	6.910500957035652e-07	1.8136673165485037e-06
P_distasonis	Parabacteroides distasonis P_distasonis	3.620520357091972e-08	3.683540104260701e-08	3.06819423163481e-08	4.2521501308113064e-08
R_obeum	Blautia obeum R_obeum	5.120834160156418e-08	5.1214093786173065e-08	4.6129263976872136e-08	5.626732483470176e-08
