	mean	median	mode	std	ci_l	ci_u
B_caccae	0.7447054995282208	0.7517198067570905	0.7597843061821249	0.10432970567612473	0.5281765842451756	0.9296774565970659
B_cellulosilyticus_WH2	0.1667130174643031	0.1581047020938528	0.15086567634599865	0.06412424286994907	0.06934732259254055	0.3369189075052176
B_ovatus	0.05802121676121526	0.02518336894712822	0.012667902373773713	0.08375466223333704	0.006713462269367915	0.326558197880715
B_thetaiotaomicron	0.3345158964618934	0.33091488395771285	0.3136679798139726	0.0681144643990871	0.21204305301790682	0.48020427468651805
B_uniformis	0.20607726215123007	0.20478652429067978	0.19381950794707162	0.05545524500943372	0.10031858005511904	0.3186530707872858
B_vulgatus	0.31894179213805834	0.2985720915526078	0.276956321860078	0.10520119111603882	0.15939615219812855	0.5533308695159643
C_aerofaciens	0.2568324136926947	0.2502072411481414	0.23089807174130167	0.08805515709502543	0.09814546759501551	0.4547132641522374
C_scindens	0.40498734896756244	0.39824905739279315	0.38645352821152035	0.10325075555243912	0.2206588750423453	0.6267950922016751
C_spiroforme	0.5044485247071571	0.5005030336617687	0.48816049203107714	0.12444324522896723	0.2727781874323637	0.7555294815815293
P_distasonis	0.2402543043299586	0.23870364305410263	0.235805565538103	0.05434528790804301	0.13962859077296877	0.347330664150369
R_obeum	0.24199721441144195	0.24058731987865817	0.23436648170159852	0.049682832765343354	0.1491903612908643	0.34255920951700575
