Source	Target	mean	median	mode	std	ci_l	ci_u	bayes_factors
B_caccae	B_cellulosilyticus_WH2	-3.3931957371619366e-09	-3.3326080595199298e-09	-3.214998994112197e-09	1.065023332414803e-09	-5.663341830875423e-09	-1.3561970591776415e-09	8.421125493181975
B_caccae	B_ovatus	-4.283081371154599e-09	-4.273878121242855e-09	-4.431581356937394e-09	1.371125752380558e-09	-6.944551899908207e-09	-1.7486656637264944e-09	35.464093102469484
B_caccae	B_thetaiotaomicron	-3.1461208585200308e-09	-3.1390524142003024e-09	-3.095278410866231e-09	9.512678819703902e-10	-4.92428757796107e-09	-1.22191464913471e-09	3.9261722195833615
B_caccae	B_uniformis	-7.369048709321937e-10	-9.225981480601498e-10	-1.594554054036408e-09	7.104952284283365e-10	-1.594554054036408e-09	6.585084026770175e-10	0.03422754650723446
B_caccae	B_vulgatus	-4.35162604820018e-09	-4.335668677225934e-09	-4.167092379262907e-09	1.157450728562922e-09	-6.625847789059567e-09	-2.1618406860818233e-09	57.1091082125063
B_caccae	C_aerofaciens	-7.51477643473607e-10	-8.298982410634808e-10	-1.0008966772148715e-09	9.855604421624488e-10	-2.5439661809235796e-09	1.7423379960450545e-09	0.041563406421212895
B_caccae	C_scindens	8.796749025290337e-11	1.8856662800219613e-10	-2.4826165646218926e-09	1.7230542130077295e-09	-2.4796609063620264e-09	3.451225717091149e-09	0.07091173822676196
B_caccae	C_spiroforme	1.868623888721059e-09	2.1979386152652442e-09	2.340717511661768e-09	1.1727818535385599e-09	-7.834228457251598e-10	3.450862516449668e-09	0.10516135486954878
B_caccae	P_distasonis	-3.128720504845169e-09	-3.0232625190625784e-09	-2.9162035952457123e-09	1.3565792363694782e-09	-6.018301160820129e-09	-2.9439455219079236e-10	0.9426888055704339
B_caccae	R_obeum	-1.2757410494876655e-09	-1.4372141778483844e-09	-1.177021408504313e-09	8.65821027051751e-10	-2.5428797335981745e-09	8.430758335802458e-10	0.09537466235368659
B_cellulosilyticus_WH2	B_caccae	1.0852001742842226e-09	1.1321261792523921e-09	8.465477949600298e-10	5.983907386663365e-10	-5.331932261171759e-10	2.0116712962236975e-09	0.07335778592864288
B_cellulosilyticus_WH2	B_ovatus	2.5175858480144684e-10	2.922137495999673e-10	-1.4865714012346113e-09	1.081590828323692e-09	-1.4865714012346113e-09	1.9393927429169e-09	0.031782368564348185
B_cellulosilyticus_WH2	B_thetaiotaomicron	9.358407572496212e-10	8.95915549250486e-10	6.646029124069679e-10	4.16783885576916e-10	1.9288501924996666e-10	1.8121915564481721e-09	0.154107875512859
B_cellulosilyticus_WH2	B_uniformis	2.99780818673751e-10	3.2463401686833883e-10	-4.5461226333847514e-10	5.256532777657775e-10	-4.5461226333847514e-10	1.1256295492270062e-09	0.019557293981687263
B_cellulosilyticus_WH2	B_vulgatus	1.9183438174155204e-09	1.8777964150600336e-09	2.2326667207322734e-09	6.670670700088035e-10	7.399241675535906e-10	3.2000042982151385e-09	2.549427328620081
B_cellulosilyticus_WH2	C_aerofaciens	2.1460383159536195e-09	2.13049086558384e-09	2.1206303321251783e-09	5.848028885808626e-10	1.0754423823033692e-09	3.360511217314688e-09	12.686589966272196
B_cellulosilyticus_WH2	C_scindens	1.6564771482463146e-09	1.5916449675456295e-09	1.8265408430974582e-09	8.335046864700901e-10	1.3932219195400148e-10	3.2341863290691567e-09	0.3672787979966611
B_cellulosilyticus_WH2	C_spiroforme	-6.838529741503535e-10	-6.700547129171827e-10	-1.5304553140653167e-09	8.074907270494738e-10	-1.8030722957281754e-09	9.230975209004118e-10	0.06357392135505813
B_cellulosilyticus_WH2	P_distasonis	1.750278066119319e-09	1.7188546634212953e-09	1.5406529586044853e-09	6.05911951754821e-10	5.893667722045793e-10	3.0775322064666247e-09	1.1722127274555143
B_cellulosilyticus_WH2	R_obeum	6.999766260605857e-10	8.695028491693882e-10	-2.0023190211829796e-10	5.065897375506871e-10	-2.0023190211829796e-10	1.2969624737122527e-09	0.029337244965995466
