	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae		-5.331932261171759e-10	-4.260583386722864e-09	5.392534557149094e-10	-6.313671553195967e-09	8.767514185814341e-10	-2.1064441626683762e-08	-1.711252917430915e-08	-3.086055386426974e-07	-5.517162534290371e-09	-9.884917921569548e-09
B_cellulosilyticus_WH2	-5.663341830875423e-09		4.758784925357434e-10	-3.2509582937094416e-09	6.128137222305014e-10	-4.921827801003362e-10	-3.322906469466252e-08	-2.8826384237974306e-08	-2.57605009275754e-07	-2.7780079567457077e-09	1.664683678439462e-09
B_ovatus	-6.944551899908207e-09	-1.4865714012346113e-09		-5.245278253841868e-09	-7.466983476329742e-09	-3.4504921925467855e-09	-1.1866237862796298e-07	-3.597160586144867e-08	-2.7378262960735154e-07	-1.3180347576238988e-08	-1.922689536831325e-08
B_thetaiotaomicron	-4.92428757796107e-09	1.9288501924996666e-10	-1.0477624501113779e-09		-9.93061844310338e-10	9.68841205438206e-10	-1.1161936641252016e-08	-2.615780910523842e-08	-2.94975041617943e-07	2.22611782880573e-09	1.1781946292968539e-09
B_uniformis	-1.594554054036408e-09	-4.5461226333847514e-10	1.1688484820110498e-09	-3.035226221810956e-09		-8.193181334571839e-10	-4.947790495031051e-08	-1.636107938872113e-08	-1.7156003287538766e-07	-1.7806940383563977e-08	-5.9676824009945455e-09
B_vulgatus	-6.625847789059567e-09	7.399241675535906e-10	-3.7767633650695925e-09	-3.258513710036561e-09	9.374574627864706e-10		-5.851941219061288e-09	-2.65828913387377e-08	-2.703400754208067e-07	4.259406432909153e-09	2.680861184871473e-09
C_aerofaciens	-2.5439661809235796e-09	1.0754423823033692e-09	2.310550681829957e-09	-1.6841298205640039e-09	2.2685365464275983e-09	-3.742180018907488e-11		-2.214157876210346e-08	-3.122008675881277e-07	3.021821062853409e-09	5.086992807146172e-09
C_scindens	-2.4796609063620264e-09	1.3932219195400148e-10	8.036723550295524e-10	-2.267907764329822e-10	1.9930359993649244e-10	9.827196230779776e-10	3.177328311760487e-09		-2.39568970340617e-07	3.0189966991889215e-09	5.865490293459375e-10
C_spiroforme	-7.834228457251598e-10	-1.8030722957281754e-09	-2.387617721711644e-09	-3.272119684859981e-09	-1.6786715600171523e-08	-3.844525728862217e-10	-7.074070969158904e-08	-1.704958889703321e-08		-8.995124686442528e-09	-1.0824910500781297e-08
P_distasonis	-6.018301160820129e-09	5.893667722045793e-10	2.05372736678669e-09	-2.5027073540971425e-09	2.266686395216657e-09	-2.5732939761648853e-09	-4.95196330138389e-08	-2.0034459454416388e-08	-1.8817908288966937e-07		2.51240637111642e-09
R_obeum	-2.5428797335981745e-09	-2.0023190211829796e-10	2.3578025566595127e-09	-6.086011130293494e-09	-3.6769947075465627e-09	-2.0530942927332453e-09	-9.594618517154449e-08	-3.819131978619899e-08	-1.6415620110178236e-07	-1.0821928344558467e-08	
