	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae		2.0116712962236975e-09	4.1096311191504065e-09	5.539585213641723e-09	1.075019209387808e-08	5.1424414117128096e-09	1.0413944330378185e-07	2.595607585027492e-08	4.3090893159576065e-08	1.4196605350366061e-08	1.7812442088239577e-08
B_cellulosilyticus_WH2	-1.3561970591776415e-09		5.936179731088562e-09	1.7149521430684525e-09	1.4044350208040411e-08	3.108249833075674e-09	8.637534225078682e-08	8.118269776490778e-09	5.26178327165016e-08	1.3143710812847133e-08	2.181903442221646e-08
B_ovatus	-1.7486656637264944e-09	1.9393927429169e-09		-1.034206761668689e-09	1.0636401094600579e-08	-8.16510333365148e-10	6.250379157356443e-09	-6.5412594213401535e-09	3.3689282022439447e-08	1.4661067856824398e-09	1.1294383092061913e-08
B_thetaiotaomicron	-1.22191464913471e-09	1.8121915564481721e-09	5.6757960059827825e-09		1.160905331517828e-08	4.310280987447654e-09	1.0400029453057625e-07	2.343727596667616e-08	2.7181508459477976e-08	1.6262000950007663e-08	2.3452820660887862e-08
B_uniformis	6.585084026770175e-10	1.1256295492270062e-09	7.974235876789696e-09	2.250531506193324e-09		1.5834596697074012e-09	9.87789658736088e-08	1.3552838712654509e-08	1.3509065208724213e-07	4.872911683460873e-09	2.2191492763203262e-08
B_vulgatus	-2.1618406860818233e-09	3.2000042982151385e-09	5.783864170330611e-09	3.6875651887015537e-09	1.3232617577271117e-08		1.172867565145872e-07	2.6521336914287543e-08	5.684836719707466e-08	1.8332268745665028e-08	2.0370884099875968e-08
C_aerofaciens	1.7423379960450545e-09	3.360511217314688e-09	8.246017418591934e-09	3.3552567600468105e-09	1.54947629672904e-08	4.53356745339834e-09		2.5095642786240652e-08	8.707580400198266e-08	2.1065203545537756e-08	2.3858041679690442e-08
C_scindens	3.451225717091149e-09	3.2341863290691567e-09	8.465521505539782e-09	7.084963231602462e-09	1.675615976689461e-08	4.7028428250928195e-09	1.2192323138372098e-07		7.476612223797149e-08	1.923032419344042e-08	2.259723725265994e-08
C_spiroforme	3.450862516449668e-09	9.230975209004118e-10	1.934240501896932e-09	1.994397035763924e-09	1.7321327545354095e-09	2.0973959135318987e-09	4.4399662355548716e-08	1.5707786970961622e-08		5.579865555488548e-09	3.979376163228474e-09
P_distasonis	-2.9439455219079236e-10	3.0775322064666247e-09	8.678506919970135e-09	2.638114172268569e-09	1.46630595762314e-08	1.0778415879796477e-09	8.007299756954867e-08	1.347690897055656e-08	7.99595791015839e-08		2.0948432465094004e-08
R_obeum	8.430758335802458e-10	1.2969624737122527e-09	1.0798592906710035e-08	-3.4647928648250386e-11	1.0132610447865202e-08	1.0609610926913098e-09	6.83925002883068e-08	2.4618758105746866e-09	7.488750615799128e-08	4.562152408234972e-09	
