	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae		1.0852001742842226e-09	1.267751666599857e-09	3.359202394400724e-09	4.049507581386023e-09	2.683152177666255e-09	4.208692941892843e-08	6.763278976169869e-09	-1.1859786769369643e-07	5.556019321481013e-09	7.166034939631938e-09
B_cellulosilyticus_WH2	-3.3931957371619366e-09		3.267475781576515e-09	-1.6871816888875633e-09	7.538951036751042e-09	1.527767400828757e-09	2.96365390854389e-08	-1.0360169567039459e-08	-8.225890717273947e-08	5.707170279878614e-09	1.2310692628599986e-08
B_ovatus	-4.283081371154599e-09	2.5175858480144684e-10		-2.980755130848893e-09	3.3566086508608796e-09	-2.1566219496810695e-09	-5.481112232777916e-08	-1.981331248662135e-08	-1.130907140346713e-07	-6.48186425088231e-09	-6.792813238717952e-09
B_thetaiotaomicron	-3.1461208585200308e-09	9.358407572496212e-10	2.368545466118095e-09		5.85874819441704e-09	2.6488795069125266e-09	4.81014452962608e-08	3.2036392186694143e-10	-1.2429659849704615e-07	8.643082062082113e-09	9.697967728432037e-09
B_uniformis	-7.369048709321937e-10	2.99780818673751e-10	4.954879100377659e-09	-1.0944911772162606e-09		2.1556917983805526e-10	2.6070775037173788e-08	-7.610131947692591e-10	-2.473331468674483e-08	-3.9640835059785506e-09	9.041528210076965e-09
B_vulgatus	-4.35162604820018e-09	1.9183438174155204e-09	2.905713743668586e-09	1.4439478756005773e-09	7.136746995093719e-09		5.564159927026002e-08	5.199836286967124e-10	-8.882961144169385e-08	1.0922795843971253e-08	1.1135631739778859e-08
C_aerofaciens	-7.51477643473607e-10	2.1460383159536195e-09	5.1348635263301785e-09	5.00008381807691e-10	8.91091991628503e-09	2.936070896556045e-09		-1.2298588783071768e-09	-4.737617690261908e-08	1.1813193068310066e-08	1.4289933241324973e-08
C_scindens	8.796749025290337e-11	1.6564771482463146e-09	4.48497824036263e-09	3.3749206711007554e-09	7.596272036156604e-09	2.841548077580419e-09	5.8948350220958304e-08		-5.4703074199428045e-08	1.0137816114575763e-08	1.009181418303164e-08
C_spiroforme	1.868623888721059e-09	-6.838529741503535e-10	3.978803251261869e-10	-9.41102306398551e-10	-6.294718715176763e-09	1.0832740888606106e-09	-1.2065111878767561e-08	-5.465252242807481e-10		-2.5754016996499654e-09	-3.817511353766918e-09
P_distasonis	-3.128720504845169e-09	1.750278066119319e-09	5.103735690904804e-09	-1.926088254918556e-10	8.396402946052224e-09	-1.4154580762309254e-09	1.7056498960355514e-08	-4.690658525389229e-09	-2.6057437527577164e-08		1.1891013652485154e-08
R_obeum	-1.2757410494876655e-09	6.999766260605857e-10	6.4062705315196385e-09	-3.436470783579995e-09	4.291106088570582e-09	-7.504521466300548e-10	-1.3254506304343247e-08	-1.7760596636826302e-08	-3.047239615291732e-08	-4.1749989135476044e-09	
