	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae		1.1321261792523921e-09	1.8423585737873592e-09	3.4966592771176535e-09	4.542219452276657e-09	2.578263117773801e-09	4.255075418330212e-08	9.096462035242416e-09	-1.1364003595219886e-07	5.797077118323689e-09	8.303679727802425e-09
B_cellulosilyticus_WH2	-3.3326080595199298e-09		3.267234062928823e-09	-1.7983278894593364e-09	7.576126942989692e-09	1.575033633775048e-09	2.93987181416817e-08	-1.0898960410171679e-08	-7.143111432666384e-08	6.020258107046084e-09	1.2554409272172987e-08
B_ovatus	-4.273878121242855e-09	2.922137495999673e-10		-2.958049436575881e-09	4.178203520382207e-09	-2.175128634310925e-09	-5.477041388118532e-08	-1.9295678625315892e-08	-1.120105354821059e-07	-6.696584867548025e-09	-7.630872476105336e-09
B_thetaiotaomicron	-3.1390524142003024e-09	8.95915549250486e-10	2.493410457022994e-09		5.862251651811957e-09	2.658130924125383e-09	4.770366681604174e-08	2.592628196285075e-09	-1.2454877778773537e-07	8.54947224161207e-09	8.99781680596522e-09
B_uniformis	-9.225981480601498e-10	3.2463401686833883e-10	5.0266661664536485e-09	-1.3000140671437744e-09		3.4746599429183774e-10	2.6972641681723014e-08	-1.3438111055953852e-09	-2.3037744764173235e-08	-3.391481152731838e-09	9.801597637045016e-09
B_vulgatus	-4.335668677225934e-09	1.8777964150600336e-09	3.2532086567498424e-09	1.929549265003527e-09	7.080961236224452e-09		5.574452957105682e-08	2.4502559118658113e-09	-7.85781062628308e-08	1.0842603466723994e-08	1.1093590676147792e-08
C_aerofaciens	-8.298982410634808e-10	2.13049086558384e-09	5.089870801568341e-09	9.418058325305075e-10	8.78180246942847e-09	3.0630960177721718e-09		-5.882592311253677e-10	-2.7486595914325533e-08	1.1692911905973893e-08	1.4258391568227028e-08
C_scindens	1.8856662800219613e-10	1.5916449675456295e-09	4.1926173588191684e-09	3.1441003965798237e-09	7.401006246202188e-09	2.8541800829526776e-09	5.864490025399602e-08		-4.0287908409648884e-08	9.997167805001289e-09	9.692003140075747e-09
C_spiroforme	2.1979386152652442e-09	-6.700547129171827e-10	7.267918501017402e-10	-1.4556663812948522e-09	-6.098671928998715e-09	1.2810407933795686e-09	-1.1250538238438522e-08	-1.0326862626546244e-09		-2.5721251598414674e-09	-4.0525119236911375e-09
P_distasonis	-3.0232625190625784e-09	1.7188546634212953e-09	5.019052583324211e-09	-1.005873435916501e-11	8.423588089286925e-09	-1.779182596416088e-09	1.7268302037917125e-08	-5.194135175477661e-09	-2.0685597076311466e-08		1.1911558222412594e-08
R_obeum	-1.4372141778483844e-09	8.695028491693882e-10	6.322805103643479e-09	-3.604609380687716e-09	4.43807062387254e-09	-8.325114591276567e-10	-1.3662718130853967e-08	-1.817775940661393e-08	-2.7039844801053487e-08	-4.534312852381778e-09	
