	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae		8.465477949600298e-10	1.7863802284611895e-09	3.148621067241942e-09	4.331688527919817e-09	2.0361380450211827e-09	4.342208358416747e-08	1.3353984772613056e-08	-1.6235340116178617e-07	4.17272039052306e-09	8.64530145982131e-09
B_cellulosilyticus_WH2	-3.214998994112197e-09		2.8016669536176866e-09	-2.7047081456638734e-09	5.8799878990495445e-09	1.2193667910999844e-09	2.5126703137753728e-08	-1.4793282859073199e-08	-4.7223300868247286e-08	4.6554692477256975e-09	1.1175572582564652e-08
B_ovatus	-4.431581356937394e-09	-1.4865714012346113e-09		-3.0118918314289e-09	6.315736189307778e-09	-1.8759703417884418e-09	-5.508927075941788e-08	-1.7131329606431834e-08	-1.189562429095944e-07	-6.522459583845563e-09	-1.5175453296964753e-08
B_thetaiotaomicron	-3.095278410866231e-09	6.646029124069679e-10	1.5157414069008926e-09		6.215169700763222e-09	2.9857759566297558e-09	3.688546719579913e-08	3.682428353032179e-09	-1.3683152213094182e-07	5.789768117336812e-09	6.641065633036301e-09
B_uniformis	-1.594554054036408e-09	-4.5461226333847514e-10	4.8294427595435494e-09	-2.8237959126907845e-09		5.022096582833379e-10	3.1458400744386065e-08	-4.7537076392295635e-09	-2.768132620916715e-08	-5.6488987967341195e-09	1.2654628501106482e-08
B_vulgatus	-4.167092379262907e-09	2.2326667207322734e-09	3.2304413758482922e-09	1.6187433989310552e-09	6.428689036402795e-09		4.566929841435643e-08	6.538666569496914e-09	-7.184832746175278e-08	1.1219749327770649e-08	9.303156165532023e-09
C_aerofaciens	-1.0008966772148715e-09	2.1206303321251783e-09	5.106178256657452e-09	-1.6841298205640039e-09	8.611406001787938e-09	3.980482744958865e-09		-9.263315604813513e-10	-3.033519229740806e-08	1.012462237576421e-08	1.3249495864069778e-08
C_scindens	-2.4826165646218926e-09	1.8265408430974582e-09	3.78141265053348e-09	2.102147724648444e-09	7.394760528193071e-09	2.6766959031957234e-09	5.99900452636214e-08		-2.751663147783514e-08	1.0003351139875234e-08	9.991205351659764e-09
C_spiroforme	2.340717511661768e-09	-1.5304553140653167e-09	1.2859617683556454e-09	-2.376811842353917e-09	-7.704147860964104e-09	1.4521153070631874e-09	-1.1872295195270661e-08	-2.912339706657736e-09		-8.12461089295645e-10	-6.315142198363861e-09
P_distasonis	-2.9162035952457123e-09	1.5406529586044853e-09	4.504253340777925e-09	-2.5027073540971425e-09	8.336673879051559e-09	-2.3223189922592322e-09	1.609116931442399e-08	-8.474152632855256e-09	-2.043767135076493e-09		9.918892465462835e-09
R_obeum	-1.177021408504313e-09	-2.0023190211829796e-10	6.247264641030489e-09	-4.23063666453102e-09	3.784455926463792e-09	-1.8460456218855662e-09	-1.0255719132564239e-08	-2.001492621714506e-08	-1.7207970347287004e-08	-3.0410499624135168e-09	
