	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae		5.983907386663365e-10	2.1141249242594087e-09	1.2659528177594776e-09	4.212290471310902e-09	1.0546250216474183e-09	3.1580948267665336e-08	1.1372155686474979e-08	9.334978845882405e-08	4.260732385750382e-09	6.585036556775398e-09
B_cellulosilyticus_WH2	1.065023332414803e-09		1.4516780609719614e-09	1.2720554202345768e-09	3.2900695539036178e-09	7.28793194737439e-10	2.974006960286672e-08	9.650884213301864e-09	8.198800457877014e-08	3.974162161548274e-09	4.80421925320197e-09
B_ovatus	1.371125752380558e-09	1.081590828323692e-09		1.032372554699556e-09	4.88781512254533e-09	7.290846568250317e-10	2.9139685738011565e-08	7.585814339843081e-09	7.900247044269047e-08	3.5601529839415148e-09	7.707717734803606e-09
B_thetaiotaomicron	9.512678819703902e-10	4.16783885576916e-10	1.4555380264265103e-09		3.2306934631559453e-09	8.583390464193746e-10	2.872332223070881e-08	1.2406975331760824e-08	8.6228031911475e-08	3.667503226104825e-09	5.365377268792451e-09
B_uniformis	7.104952284283365e-10	5.256532777657775e-10	1.6544291110279332e-09	1.3500763754172403e-09		6.616461782280281e-10	3.661092588904812e-08	8.387021717996136e-09	6.894593506970527e-08	5.208996893309697e-09	6.964381470027726e-09
B_vulgatus	1.157450728562922e-09	6.670670700088035e-10	2.111090629988225e-09	1.6233740305619225e-09	2.933753781673736e-09		3.02280108765489e-08	1.5245731918280392e-08	8.717912934206225e-08	3.6136351811080204e-09	4.593248750894763e-09
C_aerofaciens	9.855604421624488e-10	5.848028885808626e-10	1.5352223674218834e-09	1.5302756412712296e-09	3.4439132997113993e-09	1.183182342908195e-09		1.1940068524266847e-08	9.322515562613027e-08	4.500930188212703e-09	4.783489674902526e-09
C_scindens	1.7230542130077295e-09	8.335046864700901e-10	2.0874136233202603e-09	1.9776008609214105e-09	4.1996209463136526e-09	9.739361787864003e-10	3.101432215478807e-08		8.201085152178803e-08	3.967614758661445e-09	5.232561032947167e-09
C_spiroforme	1.1727818535385599e-09	8.074907270494738e-10	1.2803455537254513e-09	1.6472270519692112e-09	4.169325427962414e-09	7.77760310713934e-10	3.2391987342844946e-08	8.61211548381714e-09		3.4781451472205786e-09	3.7047356523644966e-09
P_distasonis	1.3565792363694782e-09	6.05911951754821e-10	1.6610127717880673e-09	1.4293393392064607e-09	3.0831424442413147e-09	9.216573081005603e-10	3.25104884294565e-08	8.977594480542115e-09	6.533575169972109e-08		4.6297859162376674e-09
R_obeum	8.65821027051751e-10	5.065897375506871e-10	2.220486076795354e-09	1.4043285382979148e-09	3.3809483928570687e-09	7.776166956638148e-10	4.152947401218077e-08	1.0172575721128878e-08	5.95113508085732e-08	3.868765229386442e-09	
