Source	Target	median	interaction	evidence
Bca	Bce	-8.477215759725846	-	Moderate
Bca	Bov	-8.369177866829508	-	Strong
Bca	Bth	-8.503201432624927	-	Moderate
Bca	Bvu	-8.362943913081827	-	Strong
Bce	Cae	-8.671520323484199	+	Strong
Bov	Cae	-8.293293241411389	+	Strong
Bov	Pdi	-8.299378254302418	+	Moderate
Bov	Rob	-8.199090204825511	+	Moderate
Cae	Bov	-7.261453977244744	-	Moderate
Cae	Bth	-7.32144823696057	+	Moderate
Cae	Bvu	-7.253797745206654	+	Moderate
Cae	Csc	-7.231769748047083	+	Moderate
Csc	Bov	-7.714539942770365	-	Strong
Csp	Bca	-6.944468637551714	-	Moderate
Csp	Bov	-6.950741126557007	-	Moderate
Csp	Bth	-6.904660529890997	-	Moderate
Pdi	Bvu	-7.964866424857052	+	Strong
Pdi	Cae	-7.932077322266956	+	Moderate
Pdi	Csc	-8.000123018087345	+	Moderate
Rob	Bvu	-7.9549278624674455	+	Moderate
Rob	Cae	-7.8459294627339	+	Strong
Rob	Pdi	-7.924031422133507	+	Moderate
