	mean	median	mode	std	ci_l	ci_u
B_caccae	0.505425580792054	0.5166078344444969	0.5395112818153399	0.16289577826300697	0.20645580788609194	0.8069300248412619
B_cellulosilyticus_WH2	0.8588181579694671	0.8569634197352596	0.8325489399074946	0.1643142554637832	0.5401315265193917	1.191692848310526
B_ovatus	1.0996222129371518	1.1017308126349863	1.0881298498403325	0.1555979850947836	0.7764605091463153	1.3993096486732761
B_thetaiotaomicron	0.7280338837835709	0.7264350555627013	0.7216878429024074	0.12860007972080986	0.47554190017940656	0.983540518190721
B_uniformis	0.393560275643517	0.3771718951538441	0.3234079291879947	0.11331091458208185	0.21253588451202332	0.6514060657863883
B_vulgatus	0.33888715373112777	0.32952677721476953	0.3129947201352035	0.1261600092401062	0.1283016551492744	0.6036483228685261
C_aerofaciens	0.8287862010527233	0.8259874095159909	0.8418135249656373	0.17531562456025981	0.49815901716944816	1.1874869413252858
C_scindens	0.582193864506755	0.5794738280146303	0.5591189504060275	0.15408751732797993	0.2866928890292426	0.8945379493818036
C_spiroforme	0.8170107831108177	0.8199638610873905	0.7987937076568541	0.2293698248275833	0.3579215913503364	1.2582454826449145
P_distasonis	0.6774651125981195	0.6784851835114547	0.6618644824643594	0.15142773885643745	0.3779286462431137	0.9677387747390988
R_obeum	1.0891180074549693	1.0843120054352031	1.0805859944471434	0.1355290641214354	0.8342910800047916	1.3696807845435246
