Source	Target	mean	median	mode	std	ci_l	ci_u	bayes_factors
B_caccae	B_cellulosilyticus_WH2	1.4829111711062194e-10	1.0416791856334124e-09	2.2910348317801873e-09	2.4766108825940934e-09	-4.165422824712482e-09	3.823100700366267e-09	1.9059253365012832
B_caccae	B_ovatus	2.683788920799116e-09	2.7625413781141343e-09	2.654208636013602e-09	1.3604552591697618e-09	-1.2242010194955697e-09	4.928783183764315e-09	6.433219354322244
B_caccae	B_thetaiotaomicron	1.6043649470592461e-09	1.7217881793288787e-09	1.6002807412473232e-09	1.2011419437929499e-09	-1.1600447772376879e-09	3.635520514655049e-09	0.580862939072892
B_caccae	B_uniformis	2.1428212655551044e-09	2.1247948277953456e-09	1.7743930062788495e-09	1.1046378908038183e-09	-1.4250558995871891e-10	4.241689523293767e-09	1.9457241819954938
B_caccae	B_vulgatus	1.87534490484371e-09	1.950322666430773e-09	2.183910386208474e-09	8.836924063667457e-10	-2.671178336891136e-10	3.485472323758257e-09	1.2364660267941943
B_caccae	C_aerofaciens	-3.227714200824587e-09	-3.178149332600361e-09	-2.9802939890931425e-09	1.3328216763662164e-09	-5.977183534415776e-09	-9.415690786532864e-10	13.306232104351515
B_caccae	C_scindens	1.798257161274243e-09	1.9228977308263246e-09	1.7678070170841146e-09	1.4492690687781356e-09	-2.212191466071198e-09	4.277458201431618e-09	1.804005914773491
B_caccae	C_spiroforme	-2.9451408874321097e-09	-3.034220965027749e-09	-3.1413334843965234e-09	2.1291833939752512e-09	-6.90788027550542e-09	3.005933306608795e-09	10.315578871453663
B_caccae	P_distasonis	-2.722714079638695e-09	-2.6627394895089006e-09	-2.5262055803655355e-09	1.2055095623639815e-09	-5.089703203493852e-09	-4.6404168085812934e-10	4.734404794333969
B_caccae	R_obeum	2.756579620172948e-10	5.38126407552046e-10	-1.7487112880788854e-09	2.1154114336731904e-09	-3.0132764116241022e-09	3.614939564632155e-09	0.9377580396795286
B_cellulosilyticus_WH2	B_caccae	4.467060745913736e-10	7.458037475387061e-10	1.1929751642292751e-09	1.0117153832603315e-09	-1.2205070547180559e-09	1.8453697756757157e-09	0.5882352941176471
B_cellulosilyticus_WH2	B_ovatus	1.6004635923929203e-09	1.5531083538366772e-09	1.2381598595566014e-09	6.628300555485653e-10	5.071043870816131e-10	3.140722898833608e-09	9.943791517629023
B_cellulosilyticus_WH2	B_thetaiotaomicron	8.284086260055251e-10	8.169072552788173e-10	7.974196962297871e-10	3.9957339125806e-10	-4.786494410818135e-11	1.6540178406381636e-09	0.9377580396795286
B_cellulosilyticus_WH2	B_uniformis	7.689836542810158e-10	8.852710004837438e-10	1.0215678867218747e-09	5.313852246536435e-10	-6.994302974380056e-10	1.525588306022107e-09	0.6275628454269924
B_cellulosilyticus_WH2	B_vulgatus	1.0702428694066112e-09	1.0573290484610336e-09	1.0268514149367854e-09	3.4706681296015974e-10	4.352808645198705e-10	1.7837160358110367e-09	7.876946448917584
B_cellulosilyticus_WH2	C_aerofaciens	-1.0441929169328863e-09	-1.078875123131993e-09	-1.188515871873153e-09	5.044710708140859e-10	-1.9800892175679246e-09	4.598341792363765e-10	3.974299514722351
B_cellulosilyticus_WH2	C_scindens	-3.471336802205984e-10	-6.930340249564802e-10	-8.09039038314696e-10	9.234797486912827e-10	-1.4407271628218903e-09	2.005766351354696e-09	0.932827493862977
