	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae		-1.2205070547180559e-09	-9.712273724610158e-09	-8.63639602902404e-09	-8.155172241125272e-09	-4.0560691045215e-09	-1.2775818742886725e-07	-2.993467896371995e-08	-5.315782807930312e-07	-1.6129108450377784e-08	-2.177049748017405e-08
B_cellulosilyticus_WH2	-4.165422824712482e-09		-1.3162376529781238e-08	-9.560786024859112e-09	2.2707448747956317e-09	-4.714153206625351e-09	-1.640929092002125e-07	-4.185022647171951e-08	-5.620774499311671e-07	-1.81436653052183e-08	-2.787286034279966e-08
B_ovatus	-1.2242010194955697e-09	5.071043870816131e-10		-8.777340964035017e-09	2.881058222213416e-09	5.797594152892021e-10	-1.4771847809038497e-07	-3.891234992232111e-08	-4.439420506427389e-07	-2.0722838288621703e-08	-2.491838155681403e-08
B_thetaiotaomicron	-1.1600447772376879e-09	-4.786494410818135e-11	-8.743286177037168e-09		-8.460815138914748e-09	-2.5002062219299295e-09	-1.0318265614208836e-07	-2.3479994074472583e-08	-3.7338355933010723e-07	-1.5555014344350412e-08	-1.7819520479986432e-08
B_uniformis	-1.4250558995871891e-10	-6.994302974380056e-10	-7.117573933911767e-09	-7.022006216470511e-09		-2.0210928219754635e-09	-1.182861406067895e-07	-2.6115007248076602e-08	-3.3451092932336036e-07	-1.637257747515412e-08	-1.750582643767368e-08
B_vulgatus	-2.671178336891136e-10	4.352808645198705e-10	-6.23910845638649e-09	-7.741930156574077e-09	9.919589526635195e-10		-1.0443342631907144e-07	-2.738275342401998e-08	-3.8062619721721113e-07	-1.2216658465278473e-08	-1.4249821736295e-08
C_aerofaciens	-5.977183534415776e-09	-1.9800892175679246e-09	-1.0220794384256189e-08	-9.66672060018783e-09	-1.9505760658475283e-08	-5.88287765406009e-09		-4.665861998436843e-08	-3.574707281197533e-07	-2.306827846378006e-08	-2.2909473526674954e-08
C_scindens	-2.212191466071198e-09	-1.4407271628218903e-09	-9.622685352701469e-09	-6.537292026083496e-09	-1.0433969653345304e-08	-3.5317055234212106e-09	-1.3066218843485473e-07		-4.32250222834346e-07	-1.646203494543606e-08	-2.2388937665241955e-08
C_spiroforme	-6.90788027550542e-09	-2.19075401364442e-09	-1.1378988057283827e-08	-1.106770760357237e-08	-2.1172558175262676e-08	-5.6002243701171906e-09	-1.509725301799461e-07	-4.6194286316877304e-08		-2.5298107095279312e-08	-2.729743146221793e-08
P_distasonis	-5.089703203493852e-09	6.093212446361768e-10	9.391031388676544e-12	-8.041429495316434e-09	-1.3583727604708058e-08	-2.72500848347388e-09	-1.2711504491493922e-07	-3.844248602694377e-08	-3.845671127463342e-07		-1.6399527093980975e-08
R_obeum	-3.0132764116241022e-09	-6.759931471762042e-10	-9.65150139873734e-09	-8.397399982301317e-09	-1.1700606165637599e-08	-2.8951833688930204e-09	-1.3038968649368631e-07	-3.888912262946043e-08	-4.0189368389154196e-07	-1.890415287611222e-08	
