	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae		1.8453697756757157e-09	-2.4352483863139305e-09	-1.3545802742272896e-09	1.1908851598873802e-08	2.406045347514219e-09	2.0764219960376646e-08	3.7038569369288316e-08	8.149474304497002e-09	8.222778637513517e-09	-4.3460733748791434e-09
B_cellulosilyticus_WH2	3.823100700366267e-09		-2.9482300195844864e-09	-2.22028917861685e-09	1.4082382810209276e-08	4.209182041113922e-09	-1.3462202221707522e-08	3.997968056585835e-08	1.1758626318031912e-08	9.319742926932466e-09	-6.305218765402818e-09
B_ovatus	4.928783183764315e-09	3.140722898833608e-09		1.4087000255737125e-09	1.720337321608647e-08	5.742863505900157e-09	-4.56813269779832e-09	3.7704618857211176e-08	3.264049319530776e-08	5.810644108377547e-09	-3.6955532206469388e-09
B_thetaiotaomicron	3.635520514655049e-09	1.6540178406381636e-09	-5.261640993006984e-10		9.022244285347193e-09	3.4077530750737515e-09	1.851989135387761e-08	3.084437551258031e-08	3.6092324321319765e-08	2.3867298618830836e-09	-7.030928478110141e-10
B_uniformis	4.241689523293767e-09	1.525588306022107e-09	-5.692140283425864e-10	3.5562995994714205e-09		3.3178140987938944e-09	1.6410421368782844e-08	3.6344368909903567e-08	5.998558138333465e-08	5.018411513370516e-09	-2.0018497719389073e-09
B_vulgatus	3.485472323758257e-09	1.7837160358110367e-09	3.235434348554134e-09	8.299649794216019e-11	1.2792879287857556e-08		1.5120098795232648e-08	3.387031544708972e-08	3.2817819621347856e-08	1.0504440244954964e-08	5.826722617340544e-09
C_aerofaciens	-9.415690786532864e-10	4.598341792363765e-10	6.01324579154346e-09	4.829571135216914e-10	-2.7371018507735154e-09	-6.814937457629097e-10		3.3885435904515824e-08	7.360982855325985e-08	-2.350525676844951e-09	5.979483217182139e-09
C_scindens	4.277458201431618e-09	2.005766351354696e-09	-1.7431587047879877e-09	3.5506800416795867e-09	1.423974807648644e-08	3.359850723606349e-09	3.9164799102812785e-08		4.417208101971351e-08	8.986325367520788e-09	-3.047507717910434e-09
C_spiroforme	3.005933306608795e-09	1.7038667760843788e-09	6.185986827446383e-09	-1.483332707771492e-09	8.010672706706176e-09	3.806641368922764e-09	4.502150346693622e-08	4.231189236325043e-08		-2.261996804897786e-09	6.898883998856298e-10
P_distasonis	-4.6404168085812934e-10	2.6820462517112604e-09	9.285464684345333e-09	-9.300651758606622e-10	1.2787469138579586e-08	5.537653231196726e-09	4.687823119175671e-08	3.894045770098753e-08	9.208238001902828e-08		1.579264468426584e-08
R_obeum	3.614939564632155e-09	2.8770205539673644e-09	-1.1552234593821376e-09	-2.6369469094007433e-10	1.2312255921576993e-08	3.0208479555784735e-09	1.6113150801533108e-08	3.5414706178086396e-08	5.329057881411946e-08	4.5116711541537846e-09	
