	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae		4.467060745913736e-10	-5.834281359845079e-09	-4.592741726806344e-09	2.9238060260921212e-09	-1.2011972576137046e-09	-5.809380825808344e-08	6.8755708791062246e-09	-2.136192676313297e-07	-6.536724688573662e-09	-1.26982085174317e-08
B_cellulosilyticus_WH2	1.4829111711062194e-10		-7.2048880836260646e-09	-5.40285711841479e-09	7.734416420653364e-09	3.6514205828318474e-10	-8.099605766386497e-08	-2.4931274435609698e-09	-2.2241201613781014e-07	-8.464446276817696e-09	-1.5907709350100597e-08
B_ovatus	2.683788920799116e-09	1.6004635923929203e-09		-4.326899588339132e-09	9.243413521651939e-09	2.9345565433634807e-09	-6.951516204141854e-08	-1.2007027504403192e-09	-1.6215983115180187e-07	-1.0091549340248467e-08	-1.336005368489123e-08
B_thetaiotaomicron	1.6043649470592461e-09	8.284086260055251e-10	-4.083394217882701e-09		3.4240443109865784e-10	1.1807473242490237e-09	-4.583838697527549e-08	7.495063130875202e-09	-1.3195258881714659e-07	-7.513882621443e-09	-9.052243223138557e-09
B_uniformis	2.1428212655551044e-09	7.689836542810158e-10	-3.7213648942663475e-09	-3.1618003795513617e-09		1.2225334573294183e-09	-5.0272472031845646e-08	8.012617357344401e-09	-9.608490466570385e-08	-7.408729005233267e-09	-9.364457977476635e-09
B_vulgatus	1.87534490484371e-09	1.0702428694066112e-09	-2.7003115933398865e-09	-3.829149964402346e-09	6.522016250915015e-09		-4.5624616627622684e-08	6.349298246143672e-09	-1.35036410204202e-07	-2.7196087967975503e-09	-6.534737979912029e-09
C_aerofaciens	-3.227714200824587e-09	-1.0441929169328863e-09	-3.2667933897727744e-09	-4.630667705481795e-09	-1.0317611592013039e-08	-3.058193567584058e-09		-1.306114641932685e-08	-9.726897167564503e-08	-1.1740380245778764e-08	-1.0833374876085327e-08
C_scindens	1.798257161274243e-09	-3.471336802205984e-10	-5.0974336051367976e-09	-2.5166672969498163e-09	3.445559456533238e-09	3.7205061177137295e-10	-5.2067123803788344e-08		-1.3989237566437906e-07	-6.937031343248634e-09	-1.1615779767947726e-08
C_spiroforme	-2.9451408874321097e-09	-4.1670995380264e-10	-3.6699413750934684e-09	-5.632076276130816e-09	-9.092720084343687e-09	-9.217626497405237e-10	-6.058629374781437e-08	-6.3058588246126524e-09		-1.2242977262660073e-08	-1.3428516040223567e-08
P_distasonis	-2.722714079638695e-09	1.5311438670785538e-09	4.920639379485022e-09	-4.360598020901897e-09	1.336353164584685e-10	2.1292824068536362e-09	-4.916133421497035e-08	-6.2248670234470095e-09	-1.0225919239989043e-07		-2.3773769571981905e-10
R_obeum	2.756579620172948e-10	1.089984861994231e-09	-5.152150720925596e-09	-4.126875509530645e-09	5.597343578787675e-10	6.767425355862655e-10	-5.4518229213709095e-08	-3.919392760646329e-09	-1.254254662829667e-07	-9.089194359410928e-09	
