	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae		7.458037475387061e-10	-5.754900561183123e-09	-4.435808265084712e-09	3.740107427179195e-09	-1.5613064417161708e-09	-5.82678191867414e-08	1.1081261450567014e-08	-1.9794302578123956e-07	-7.207636408615742e-09	-1.2547137786794797e-08
B_cellulosilyticus_WH2	1.0416791856334124e-09		-6.933020011360683e-09	-5.239660101663019e-09	7.637854754720013e-09	1.565639628993251e-09	-7.811593667807696e-08	-8.058308186547634e-09	-2.0442237388584408e-07	-9.241367695205171e-09	-1.54772590004264e-08
B_ovatus	2.7625413781141343e-09	1.5531083538366772e-09		-4.34772136787518e-09	9.007936076897967e-09	2.890920980646249e-09	-6.684377751513248e-08	-3.4612644556197256e-09	-1.5020819104514233e-07	-1.0280319400256518e-08	-1.2936436410857747e-08
B_thetaiotaomicron	1.7217881793288787e-09	8.169072552788173e-10	-3.881890874103302e-09		7.339747743401663e-10	1.4894774503570158e-09	-4.6192809596828643e-08	1.0929628402308347e-08	-1.204180688653961e-07	-7.652973643126743e-09	-8.810240249781307e-09
B_uniformis	2.1247948277953456e-09	8.852710004837438e-10	-3.670112994904452e-09	-3.521251993825964e-09		1.4722234131004278e-09	-4.886484440064127e-08	1.1709965681548189e-08	-7.575697346053192e-08	-7.569266342012234e-09	-9.196265921847895e-09
B_vulgatus	1.950322666430773e-09	1.0573290484610336e-09	-3.111378072900813e-09	-3.869899298780086e-09	6.360750727978425e-09		-4.549659623808254e-08	9.389329421510562e-09	-1.2273708314208272e-07	-4.232785279241214e-09	-7.01812996739777e-09
C_aerofaciens	-3.178149332600361e-09	-1.078875123131993e-09	-3.984441819888479e-09	-4.544216486499587e-09	-1.0088710940854891e-08	-2.9698140632844687e-09		-1.7896291443064863e-08	-7.626138874039476e-08	-1.144964409452998e-08	-1.0911661122187953e-08
C_scindens	1.9228977308263246e-09	-6.930340249564802e-10	-4.864490886022981e-09	-2.974479901423215e-09	5.1025944161037275e-09	9.994950401351007e-10	-5.25800205064912e-08		-1.1852880289655085e-07	-8.085631045226645e-09	-1.1240120979722414e-08
C_spiroforme	-3.034220965027749e-09	-8.204961905705161e-10	-4.563020067285973e-09	-5.464696003027388e-09	-9.253839833106337e-09	-1.6257796448808543e-09	-6.044940506787714e-08	-1.3474119910904455e-08		-1.1687648169752414e-08	-1.3253097332239827e-08
P_distasonis	-2.6627394895089006e-09	1.4759931636896081e-09	4.882511312720515e-09	-4.284780488059906e-09	1.3119200857476923e-09	2.4743178902155133e-09	-5.016324889813203e-08	-1.1607294664466566e-08	-8.203407745451254e-08		-1.421899695596808e-09
R_obeum	5.38126407552046e-10	1.1232840031900482e-09	-5.062336617574983e-09	-4.076830645582445e-09	1.9820170800109212e-09	1.0572895175061378e-09	-5.298001830081396e-08	-7.794594364275452e-09	-1.0450666673169629e-07	-9.150836474017848e-09	
