	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae		1.1929751642292751e-09	-5.9272404578395766e-09	-3.815964644112773e-09	3.592161241424244e-09	-1.6089851981049445e-09	-5.341224363009445e-08	1.4410918360460962e-08	-1.798155647760557e-07	-8.239983957610767e-09	-1.2267441482324216e-08
B_cellulosilyticus_WH2	2.2910348317801873e-09		-6.381849887244518e-09	-4.736441954726159e-09	7.227709636367694e-09	1.840225683084548e-09	-7.990774685489498e-08	-2.409109994564407e-08	-2.1839225306140952e-07	-9.334011177584116e-09	-1.3899698617719035e-08
B_ovatus	2.654208636013602e-09	1.2381598595566014e-09		-3.5844899756569695e-09	8.669640697559115e-09	2.48752768698872e-09	-6.70303028263813e-08	-2.0385402687876326e-08	-7.570200755520537e-08	-1.0664403562441926e-08	-1.1736061142113007e-08
B_thetaiotaomicron	1.6002807412473232e-09	7.974196962297871e-10	-4.329474151459899e-09		-5.211026373308983e-09	2.0697230430001192e-09	-4.436432430020322e-08	1.4323879792899933e-08	-5.4330112992197474e-08	-8.579296475200385e-09	-8.0362350475902e-09
B_uniformis	1.7743930062788495e-09	1.0215678867218747e-09	-3.563304988025447e-09	-4.136421969510365e-09		1.7106908264442444e-09	-4.671370671876087e-08	1.3601211758905563e-08	-3.021181186716333e-08	-6.245221444847617e-09	-9.211901577233758e-09
B_vulgatus	2.183910386208474e-09	1.0268514149367854e-09	-4.373907115424843e-09	-3.5693882063080314e-09	5.280622379354779e-09		-5.188478547111896e-08	1.309561320192656e-08	-6.20740877062741e-08	-6.515663212113455e-09	-6.356812931055871e-09
C_aerofaciens	-2.9802939890931425e-09	-1.188515871873153e-09	-4.858563942366686e-09	-4.608825570886178e-09	-1.1202732225107408e-08	-2.6620478156901923e-09		-1.983115296400675e-08	-4.132153944383523e-08	-1.1630897600272199e-08	-1.0686122720416066e-08
C_scindens	1.7678070170841146e-09	-8.09039038314696e-10	-4.631871912212336e-09	-3.317824815799996e-09	6.2796566323109986e-09	1.751223268792581e-09	-5.085576534395878e-08		-4.364051984865969e-08	-1.0341430002085357e-08	-1.0403160487803249e-08
C_spiroforme	-3.1413334843965234e-09	-1.5527808839252074e-09	-4.4434184073974546e-09	-5.110912029860663e-09	-8.319267747759583e-09	-2.781777397811753e-09	-6.412376612907202e-08	-2.181911609525744e-08		-1.1316540851183892e-08	-1.3633815592634141e-08
P_distasonis	-2.5262055803655355e-09	1.2181834888156414e-09	4.209118312376631e-09	-4.03578618742801e-09	3.7190607994356987e-09	2.5107570245637896e-09	-4.4051261678372775e-08	-1.6053770114850037e-08	-2.172008382870818e-08		-7.407165924405706e-09
R_obeum	-1.7487112880788854e-09	1.1549695222048552e-09	-5.0803883808216e-09	-4.408167132313173e-09	4.014647318077339e-09	1.7525881839164084e-09	-4.810146583755259e-08	-1.4938626965907873e-08	-4.2307818667359245e-08	-8.945944520161307e-09	
