	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae		1.0117153832603315e-09	1.8930213677040835e-09	1.8789062394078043e-09	5.252666542422092e-09	1.7422727296887104e-09	3.6145794221847027e-08	1.8566875739673275e-08	1.432523837214547e-07	5.598404406263182e-09	4.494217142031454e-09
B_cellulosilyticus_WH2	2.4766108825940934e-09		2.601975481055297e-09	1.8674908870085573e-09	3.2298166646494118e-09	2.7713433853480273e-09	3.8608489449327345e-08	2.468756838008488e-08	1.5534791339678446e-07	6.12043345830827e-09	5.544545342544452e-09
B_ovatus	1.3604552591697618e-09	6.628300555485653e-10		2.367722178712336e-09	3.700504481039855e-09	1.3986068421091962e-09	3.62171263808722e-08	2.2583185962257546e-08	1.2573299917254982e-07	5.7877269373381066e-09	5.43734265142387e-09
B_thetaiotaomicron	1.2011419437929499e-09	3.9957339125806e-10	1.984830733665441e-09		5.0693686146111825e-09	1.5443493328344447e-09	3.0034180642383653e-08	1.5056669822917837e-08	1.0958393095348023e-07	4.344044962911058e-09	4.350287743581592e-09
B_uniformis	1.1046378908038183e-09	5.313852246536435e-10	1.720761994368923e-09	2.5090862104377505e-09		1.31370884087927e-09	3.2820647365238506e-08	1.6991182470654054e-08	1.0419988035464192e-07	4.8986092561879455e-09	4.000535635351338e-09
B_vulgatus	8.836924063667457e-10	3.4706681296015974e-10	2.351353573327106e-09	1.8657262942300786e-09	2.97935889249791e-09		2.9514609765219667e-08	1.658496563447774e-08	1.0892387377636318e-07	6.177923861244815e-09	4.734759379622046e-09
C_aerofaciens	1.3328216763662164e-09	5.044710708140859e-10	4.018826774662261e-09	2.445015189862311e-09	4.376630517181359e-09	1.3351340888344007e-09		2.1326726905935934e-08	1.1233221959454496e-07	5.510978740653723e-09	6.502561233352223e-09
C_scindens	1.4492690687781356e-09	9.234797486912827e-10	2.0445597811082715e-09	2.5470901424987347e-09	6.6495644873327895e-09	2.082985542656376e-09	4.0384209912494204e-08		1.2452104123419304e-07	6.34679989087042e-09	5.014833374866456e-09
C_spiroforme	2.1291833939752512e-09	1.189700460319427e-09	4.614767274676707e-09	2.5023135910741634e-09	6.3704848144255865e-09	2.787365372212642e-09	4.4876625790582484e-08	2.5488591587171153e-08		6.009041770962168e-09	7.019198926425836e-09
P_distasonis	1.2055095623639815e-09	5.436678875424856e-10	2.3393760710084427e-09	1.8159525343897284e-09	7.495213238596446e-09	1.9589148069861066e-09	4.1100518248879175e-08	2.041975478864855e-08	1.2353611074884373e-07		9.989902913679092e-09
R_obeum	2.1154114336731904e-09	8.179439689348467e-10	2.2988487272502975e-09	2.0529034583197723e-09	7.187361063298933e-09	1.5330226642817234e-09	3.579121867963848e-08	2.0659472544197544e-08	1.2077789375083524e-07	5.200528260315036e-09	
