	mean	median	mode	std	ci_l	ci_u	bayes_factors
B_caccae	0.7893836801310694	0.7487974725497012	0.6382341816345637	0.4200658030742859	0.127354216064334	1.7207295584845563	0.23672241078421943
B_cellulosilyticus_WH2	-0.7463116880450498	-0.7489038577996814	-0.784865744403199	0.13463301589627474	-1.007825084633769	-0.48704435477560626	inf
B_ovatus	-1.0278015290253546	-1.0119309950608044	-1.0103005067322512	0.12496225344083665	-1.3471875445761985	-0.8316793237836204	inf
B_thetaiotaomicron	-0.28866870993237653	-0.28788088211589297	-0.29419892368322087	0.1163509618912926	-0.5178355310341196	-0.07653932966900594	0.20636963165513914
B_uniformis	-0.14504839195318467	-0.26248752699683	-0.34826151135240035	0.418653647942832	-0.717708916408433	0.8046519004978526	0.051094890510948905
B_vulgatus	-0.31415328912131285	-0.3238987138182797	-0.38753272870163613	0.2754134551307411	-0.7847343390122823	0.2582705499614253	0.048181405261870654
C_aerofaciens	-0.4888004635257165	-0.48933457959781884	-0.4943689604656736	0.16233458170367807	-0.7903455392596017	-0.1905285395872691	2.303964757709251
C_scindens	0.23418970353148438	0.24784762165892776	-0.3029656376490977	0.5559491738334061	-0.4564619251965322	1.3146121549302894	0.08597285067873303
C_spiroforme	-0.4858629272101193	-0.4846670362291403	-0.4833860210254617	0.18176269728723746	-0.8292310481500731	-0.1693989956141224	1.414486921529175
P_distasonis	-0.501558167981476	-0.5018678816866939	-0.5296084888375407	0.15326214603076613	-0.7862066162434507	-0.21742322291955207	2.647712073926965
R_obeum	-0.7895167057463143	-0.7964837357445594	-0.8069831245433241	0.08999448153448628	-0.9461454842238035	-0.5913435208364968	inf
