	mean	median	mode	std	ci_l	ci_u
B_caccae	5.260275116207795e-09	5.177533871396575e-09	4.956233735950366e-09	1.3034554013132317e-09	2.9222875032600217e-09	8.130839411069818e-09
B_cellulosilyticus_WH2	1.6118171817499045e-09	1.5374584708720992e-09	1.3776509130300896e-09	6.111126321275987e-10	5.978530002610864e-10	3.012673923183801e-09
B_ovatus	2.0999757491773904e-08	2.0879234605117842e-08	2.0680329660142906e-08	3.82724180145564e-09	1.345160239263451e-08	2.8911684366633122e-08
B_thetaiotaomicron	1.450940371275568e-08	1.455133277733985e-08	1.529278545662284e-08	2.6626565937448996e-09	9.2800998084091e-09	1.9746648475505918e-08
B_uniformis	1.6730147619258587e-08	1.60228332895879e-08	1.4609511666778747e-08	5.324623524590289e-09	8.273669462891046e-09	2.8920161902854988e-08
B_vulgatus	4.561579231113642e-09	4.394739585099925e-09	4.291993946682644e-09	2.0315012461664644e-09	1.2566898860540175e-09	8.877707044861073e-09
C_aerofaciens	3.2313065430199694e-07	3.200297964024273e-07	3.212768973341526e-07	8.063436610963565e-08	1.7149882748227862e-07	4.909308511555642e-07
C_scindens	8.198401738517648e-08	8.129637275375661e-08	8.040569033216532e-08	2.1570891148755374e-08	4.1916225760651546e-08	1.2615310590178393e-07
C_spiroforme	1.3199281083447923e-06	1.3062283230963748e-06	1.166453124846415e-06	3.866735771174196e-07	5.747190453705216e-07	2.1393951716880095e-06
P_distasonis	3.5134926461786586e-08	3.4998240509706434e-08	3.366260672771969e-08	8.869006682473957e-09	1.8051957839384142e-08	5.2814902919880886e-08
R_obeum	5.3383665680296794e-08	5.3128430680856236e-08	5.197133983451174e-08	8.27344709591074e-09	3.773138615997228e-08	7.033118321662149e-08
