ExcludedCluster	SampleIdx	Ky
0	0	-0.06427834842025719
0	10	-0.046092659791029965
0	20	-0.061694252112004834
0	30	-0.18882392594902297
0	40	-0.04659104515155095
0	50	-0.048626487668647654
0	60	-0.038262575905872606
0	70	-0.03242024569624062
0	80	-0.21656865786868157
0	90	-0.2161465078871208
0	100	-0.039511369492441516
0	110	-0.09934871608659357
0	120	-0.052705092759131135
0	130	-0.028219701779217576
0	140	0.002902197009967811
0	150	-0.08955202599563297
0	160	-0.04937121805033211
0	170	-0.06001203072362023
0	180	-0.04543756071691067
0	190	-0.055257070311628895
0	200	0.01665548113963835
0	210	-0.03774796528600825
0	220	-0.053518795078404756
0	230	-0.037796962171149764
0	240	0.0
0	250	0.0
0	260	0.0
0	270	0.0
0	280	0.0
0	290	0.0
0	300	-0.07481292496204191
0	310	-0.01670066918819515
0	320	0.0
0	330	-0.03853935368386061
0	340	0.013278743941090632
0	350	0.011744436915682943
0	360	0.017119088250782077
0	370	-0.03226510755901293
0	380	0.0
0	390	-0.011675857937789936
0	400	-0.02976927092078423
0	410	-0.09474992319710296
0	420	-0.19348072468063676
0	430	-0.17036756747825707
0	440	-0.10256020080125464
0	450	-0.16380926842065077
0	460	-0.08193414500834191
0	470	-0.10538900354365639
0	480	-0.08365301024965888
0	490	-0.08745228539731693
0	500	-0.06104624527452067
0	510	0.0
0	520	0.0
0	530	0.15340926717477138
0	540	0.16736310741584645
0	550	0.12493508897179736
0	560	0.04805186888794344
0	570	0.0
0	580	0.0
0	590	0.0
0	600	0.0
0	610	0.0
0	620	0.0
0	630	0.0
0	640	0.0
0	650	0.0
0	660	0.0
0	670	0.0
0	680	0.009932838357703666
0	690	0.01574179228553909
0	700	0.012118866775269322
0	710	0.011581275060629715
0	720	0.012413137150579257
0	730	-0.12499058506820857
0	740	-0.1282909441514164
0	750	0.0
0	760	0.0
0	770	0.0
0	780	-0.1318114703610722
0	790	-0.11354348671225863
0	800	0.0
0	810	0.0
0	820	0.0
0	830	0.0
0	840	0.0
0	850	0.0
0	860	0.0
0	870	0.0
0	880	0.0
0	890	0.0
0	900	-0.025045513749266224
0	910	-0.1277184895472045
0	920	0.0
0	930	0.0
0	940	-0.1404293862596811
0	950	-0.1734260975627678
0	960	0.0
0	970	-0.12734500500002133
0	980	0.0
0	990	0.0
0	1000	0.00265312613549904
0	1010	0.0
0	1020	0.0
0	1030	-0.15672605446199261
0	1040	0.0
0	1050	0.0
0	1060	0.0
0	1070	0.0
0	1080	0.0
0	1090	0.0
0	1100	-0.003293171566602471
0	1110	-0.019482623529798904
0	1120	0.0
0	1130	0.0
0	1140	0.0
0	1150	0.0
0	1160	0.0
0	1170	0.0
0	1180	0.0
0	1190	0.0
0	1200	0.007949931851765868
0	1210	0.0
0	1220	0.0
0	1230	0.0
0	1240	0.0
0	1250	0.0
0	1260	0.0
0	1270	0.0
0	1280	0.0
0	1290	0.0
0	1300	0.0
0	1310	-0.10362369707483196
0	1320	0.0
0	1330	0.0
0	1340	0.0
0	1350	0.0
0	1360	0.0
0	1370	-0.04905580744003082
0	1380	-0.022810487599016403
0	1390	-0.03761698711463231
0	1400	-0.13536858490059664
0	1410	-0.10847334355787072
0	1420	0.0
0	1430	-0.15043472273257041
0	1440	-0.22367442824996786
0	1450	-0.21427359188975048
0	1460	-0.2019128469857944
0	1470	-0.26082213623098605
0	1480	-0.22392188786063238
0	1490	-0.17646822686999092
0	1500	-0.22647217401566566
0	1510	-0.3305128452961303
0	1520	-0.26522931835000696
0	1530	-0.33033141759963136
0	1540	-0.2675430671365732
0	1550	-0.23963105826092335
0	1560	-0.27810821031614397
0	1570	-0.21133205239902705
0	1580	-0.24418884563551693
0	1590	-0.03372026373722363
0	1600	-0.1497317127111269
0	1610	-0.21840341874068123
0	1620	-0.017162360208438886
0	1630	-0.17139896948390582
0	1640	-0.15822703600493834
0	1650	-0.23796869733843967
0	1660	-0.2664318364629096
0	1670	-0.20597770073811006
0	1680	-0.13086494857347386
0	1690	-0.219661595874104
0	1700	-0.21087773376747646
0	1710	-0.2714287485342416
0	1720	-0.16355136419688635
0	1730	-0.16389667803784153
0	1740	-0.04973782803944937
0	1750	-0.2284778264763867
0	1760	-0.22709720555246937
0	1770	-0.26670546373244647
0	1780	-0.18829932748766884
0	1790	-0.07665626836069758
0	1800	-0.16161100028721273
0	1810	-0.19496200907652872
0	1820	-0.17848591373459338
0	1830	-0.16671708368161847
0	1840	-0.0960808512323836
0	1850	-0.21563504909231296
0	1860	-0.07532581899822918
0	1870	-0.3079061669307575
0	1880	-0.1513684616264018
0	1890	-0.23828641211376417
0	1900	-0.22092727616906602
0	1910	-0.2612092591964135
0	1920	-0.30461724286225184
0	1930	-0.31736660051894405
0	1940	-0.22140747930668309
0	1950	-0.27659360474083494
0	1960	-0.1683693757916382
0	1970	-0.1305536259707404
0	1980	-0.1569529080724636
0	1990	-0.2353387172647147
0	2000	-0.15639890998341865
0	2010	-0.14055792131611272
0	2020	-0.21697505166072056
0	2030	0.0
0	2040	0.0
0	2050	0.0
0	2060	-0.21340278201030038
0	2070	-0.20358092610251113
0	2080	-0.18591393994804814
0	2090	-0.17845372240497087
0	2100	-0.19523983859746447
0	2110	-0.22832178301840358
0	2120	-0.1539591315020445
0	2130	0.0
0	2140	-0.15551167990919615
0	2150	-0.22767450087714797
0	2160	-0.12340440658738938
0	2170	0.0
0	2180	-0.16524028693186904
0	2190	-0.0035733328635441986
0	2200	-0.17336244921100433
0	2210	-0.16046922149258683
0	2220	-0.22085909846600185
0	2230	-0.14900001581488126
0	2240	-0.0849579576433988
0	2250	-0.1972346500053253
0	2260	-0.028876009673785497
0	2270	-0.032108347503606985
0	2280	0.056744129499896975
0	2290	-0.17476024612831412
0	2300	-0.041325639013884266
0	2310	-0.0171144671591164
0	2320	-0.01940282827551565
