Source	Target	Interaction	Interaction_magnitude_log	Interaction_bayes_factor	Interaction_evidence
Bca	Bov	-	-9.222652781804756	44.79438314944834	Strong
Bca	Bth	-	-10.428382435553996	3.416409258240596	Moderate
Bca	Bvu	-	-8.889702660517559	106.83379758588671	Very strong
Bca	Cae	-	-10.370939251003811	3.747775235189423	Moderate
Bca	Csp	+	-10.565280641918095	3.634053367217281	Moderate
Bca	Pdi	-	-10.29441203825312	4.547078336310284	Moderate
Bca	Rob	-	-10.168095383949574	5.380970674862338	Moderate
Bce	Bvu	+	-10.42355939413572	4.423003357844179	Moderate
Bce	Cae	+	-9.872428481880515	13.669676048858204	Strong
Bce	Csc	+	-10.46856475035558	3.8711045155819375	Moderate
Bce	Pdi	+	-10.245110906922717	6.434514109271807	Moderate
Bov	Bun	+	-9.351060848857944	18.903217049002308	Strong
Bov	Cae	+	-8.92573020503229	57.55874467749566	Strong
Bov	Csc	+	-9.599998546954158	12.108317214700191	Strong
Bov	Csp	+	-9.800587327052437	10.34639211238112	Strong
Bov	Pdi	+	-9.48628550262996	15.28363263669177	Strong
Bov	Rob	+	-9.109501315701143	33.12814612397526	Strong
Bth	Bov	-	-10.181841619412008	4.499340958374081	Moderate
Bun	Bce	+	-9.845000826104654	3.814166419397228	Moderate
Bun	Bov	+	-9.907993112818811	3.852121931572477	Moderate
Bun	Bvu	+	-9.673163116351107	6.066107210138722	Moderate
Bun	Cae	+	-9.004809871014636	22.29074889867841	Strong
Bun	Csc	+	-9.806916542570754	4.442082890541976	Moderate
Bun	Csp	-	-9.2862802754557	12.55813953488372	Strong
Bun	Pdi	+	-9.501888614428823	8.492297039986152	Moderate
Bun	Rob	+	-9.638550845699664	5.785760102629891	Moderate
Bvu	Bca	+	-9.773626632564138	11.945176594623089	Strong
Bvu	Bov	-	-10.534587806688702	3.975566301857979	Moderate
Bvu	Bth	+	-9.656280219033066	17.111550206574456	Strong
Bvu	Cae	+	-9.77770913452774	10.688570429919608	Strong
Bvu	Csc	+	-9.830367238303726	11.396266105706022	Strong
Cae	Bca	+	-8.212679240598527	25.216422069477986	Strong
Cae	Bce	+	-9.12045455826118	6.318045435062151	Moderate
Cae	Bov	-	-7.8080385125894365	56.063996653769735	Strong
Cae	Bth	+	-8.51335845848702	13.339225738023687	Strong
Cae	Bun	+	-8.886549374113276	9.415598522702584	Moderate
Cae	Bvu	+	-8.361339402694831	18.80597014925373	Strong
Cae	Csc	+	-8.036822909437424	32.10084033613445	Strong
Cae	Csp	-	-8.580172047055386	18.719594900081383	Strong
Cae	Pdi	+	-9.074403009135173	8.156598392533057	Moderate
Cae	Rob	-	-9.259010765594349	13.638656577724678	Strong
Csc	Bca	+	-10.237234582320268	4.948875255623722	Moderate
Csc	Bov	-	-8.297452885676188	66.07032562171534	Strong
Csc	Bth	-	-9.832387772069978	4.36578421790677	Moderate
Csc	Bun	-	-10.369405863322672	4.757364209092457	Moderate
Csc	Bvu	-	-9.654388333744455	3.928071589125917	Moderate
Csc	Cae	+	-10.944397630950126	8.10731412278049	Moderate
Csc	Csp	-	-9.49075108160065	8.710040717317854	Moderate
Csc	Pdi	-	-9.675966635882071	4.203821656050955	Moderate
Csc	Rob	-	-8.927210609481168	14.708392603129443	Strong
Csp	Bca	-	-7.302313369018479	68.13096862210095	Strong
Csp	Bce	-	-7.6357039666150115	34.900067587139134	Strong
Csp	Bov	-	-7.506670927981026	46.08879705689664	Strong
Csp	Bth	-	-7.301367231823275	71.71270718232044	Strong
Csp	Bun	-	-8.09941760569182	15.157885360530887	Strong
Csp	Bvu	-	-7.173048770790853	95.37450722733246	Strong
Csp	Cae	-	-7.264565712644788	64.88183878277759	Strong
Csp	Csc	-	-7.49631216191333	41.71003717472119	Strong
Csp	Pdi	-	-7.827850213066393	21.73610475231206	Strong
Csp	Rob	-	-7.479371955796179	41.12759643916914	Strong
Pdi	Bca	+	-9.555227179073906	7.253163467332357	Moderate
Pdi	Bov	-	-10.078527212430233	3.274695534506089	Moderate
Pdi	Bth	+	-9.337711142077312	10.971128608923884	Strong
Pdi	Bvu	+	-8.880263741048712	32.51076040172166	Strong
Pdi	Cae	+	-9.025807673658122	19.227946173712112	Strong
Pdi	Csc	+	-9.007808903552492	20.48096192384769	Strong
Pdi	Csp	-	-9.29231486056069	11.396266105706022	Strong
Pdi	Rob	-	-10.498634568058636	3.90907934353929	Moderate
Rob	Bca	+	-9.96176456723975	3.8711045155819375	Moderate
Rob	Bov	+	-10.59766674542061	3.2086239695624603	Moderate
Rob	Bth	+	-9.616693341178005	5.217539668998464	Moderate
Rob	Bun	+	-9.69930969343871	4.432542718694211	Moderate
Rob	Bvu	+	-9.310634419706972	9.795012403708055	Moderate
Rob	Cae	+	-8.614973983676999	38.87428907628947	Strong
Rob	Csc	+	-9.01151735655745	15.126469540434629	Strong
Rob	Csp	-	-8.779090134613432	25.022970903522204	Strong
Rob	Pdi	+	-9.162188512389726	13.494007871578296	Strong
