Source	Target	Interaction	Interaction_magnitude_log
Bca	Bov	-1	-9.222652781804756
Bca	Bth	-1	-10.428382435553996
Bca	Bvu	-1	-8.889702660517559
Bca	Cae	-1	-10.370939251003811
Bca	Csp	1	-10.565280641918095
Bca	Pdi	-1	-10.29441203825312
Bca	Rob	-1	-10.168095383949574
Bce	Bvu	1	-10.42355939413572
Bce	Cae	1	-9.872428481880515
Bce	Csc	1	-10.46856475035558
Bce	Pdi	1	-10.245110906922717
Bov	Bun	1	-9.351060848857944
Bov	Cae	1	-8.92573020503229
Bov	Csc	1	-9.599998546954158
Bov	Csp	1	-9.800587327052437
Bov	Pdi	1	-9.48628550262996
Bov	Rob	1	-9.109501315701143
Bth	Bov	-1	-10.181841619412008
Bun	Bce	1	-9.845000826104654
Bun	Bov	1	-9.907993112818811
Bun	Bvu	1	-9.673163116351107
Bun	Cae	1	-9.004809871014636
Bun	Csc	1	-9.806916542570754
Bun	Csp	-1	-9.2862802754557
Bun	Pdi	1	-9.501888614428823
Bun	Rob	1	-9.638550845699664
Bvu	Bca	1	-9.773626632564138
Bvu	Bov	-1	-10.534587806688702
Bvu	Bth	1	-9.656280219033066
Bvu	Cae	1	-9.77770913452774
Bvu	Csc	1	-9.830367238303726
Cae	Bca	1	-8.212679240598527
Cae	Bce	1	-9.12045455826118
Cae	Bov	-1	-7.8080385125894365
Cae	Bth	1	-8.51335845848702
Cae	Bun	1	-8.886549374113276
Cae	Bvu	1	-8.361339402694831
Cae	Csc	1	-8.036822909437424
Cae	Csp	-1	-8.580172047055386
Cae	Pdi	1	-9.074403009135173
Cae	Rob	-1	-9.259010765594349
Csc	Bca	1	-10.237234582320268
Csc	Bov	-1	-8.297452885676188
Csc	Bth	-1	-9.832387772069978
Csc	Bun	-1	-10.369405863322672
Csc	Bvu	-1	-9.654388333744455
Csc	Cae	1	-10.944397630950126
Csc	Csp	-1	-9.49075108160065
Csc	Pdi	-1	-9.675966635882071
Csc	Rob	-1	-8.927210609481168
Csp	Bca	-1	-7.302313369018479
Csp	Bce	-1	-7.6357039666150115
Csp	Bov	-1	-7.506670927981026
Csp	Bth	-1	-7.301367231823275
Csp	Bun	-1	-8.09941760569182
Csp	Bvu	-1	-7.173048770790853
Csp	Cae	-1	-7.264565712644788
Csp	Csc	-1	-7.49631216191333
Csp	Pdi	-1	-7.827850213066393
Csp	Rob	-1	-7.479371955796179
Pdi	Bca	1	-9.555227179073906
Pdi	Bov	-1	-10.078527212430233
Pdi	Bth	1	-9.337711142077312
Pdi	Bvu	1	-8.880263741048712
Pdi	Cae	1	-9.025807673658122
Pdi	Csc	1	-9.007808903552492
Pdi	Csp	-1	-9.29231486056069
Pdi	Rob	-1	-10.498634568058636
Rob	Bca	1	-9.96176456723975
Rob	Bov	1	-10.59766674542061
Rob	Bth	1	-9.616693341178005
Rob	Bun	1	-9.69930969343871
Rob	Bvu	1	-9.310634419706972
Rob	Cae	1	-8.614973983676999
Rob	Csc	1	-9.01151735655745
Rob	Csp	-1	-8.779090134613432
Rob	Pdi	1	-9.162188512389726
