	name	median	mean	25th percentile	75th percentile
mean	Mean parameter for the truncated normal prior of the growth parameter	0.7451729551272616	1.046759061146041	0.30023541772625617	1.4769832331965314
B_caccae	Bacteroides caccae B_caccae	0.7508901294384636	0.747416024651179	0.6727463017285282	0.8261852628563982
B_cellulosilyticus_WH2	Bacteroides cellulosilyticus B_cellulosilyticus_WH2	0.1820079817860935	0.19238241451075366	0.14857683599331564	0.22407416093461285
B_ovatus	Bacteroides ovatus B_ovatus	0.04602812569680435	0.08415400909123848	0.025012656228187012	0.10911252681023707
B_thetaiotaomicron	Bacteroides thetaiotaomicron B_thetaiotaomicron	0.3668885456667388	0.38014681521446253	0.3069844908712728	0.44357872909335544
B_uniformis	Bacteroides uniformis B_uniformis	0.20885912239179583	0.2138634502587439	0.16420344547574836	0.2583356735262249
B_vulgatus	Phocaeicola vulgatus B_vulgatus	0.3375411558164467	0.34636602894103163	0.26355270757707194	0.422292876537593
C_aerofaciens	Collinsella aerofaciens C_aerofaciens	0.2441392066507826	0.2592396323140992	0.1682637436395545	0.33716399946210546
C_scindens	Lachnoclostridium scindens C_scindens	0.47133659933324906	0.4834588007337986	0.37864275642334116	0.5788365698051615
C_spiroforme	Erysipelatoclostridium spiroforme C_spiroforme	0.610894360101446	0.6077969131337054	0.4322502473811876	0.7817361085170249
P_distasonis	Parabacteroides distasonis P_distasonis	0.23071146036333637	0.23959182099125315	0.18928315601897627	0.27725335393151745
R_obeum	Blautia obeum R_obeum	0.2666859021510185	0.28374765259790524	0.21699065158227981	0.3321237479719435
