	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	6.035224041905548e-12	2.8227842608732983e-11	2.416914186129527e-11	5.938623972761192e-11	1.684121295290835e-10	6.128028259731141e-09	5.7911580498801746e-11	-4.985246427928195e-08	2.784664132137899e-10	1.0920321709852133e-10
B_cellulosilyticus_WH2	-2.8339184905144492e-11	0.0	1.430446275804123e-11	-6.111880874244115e-12	1.4288912405055195e-10	1.900640734950083e-12	7.577840182894885e-10	-1.127472097464282e-10	-2.313641328036628e-08	1.191087882534688e-11	1.2221247737900727e-10
B_ovatus	-5.98890216098823e-10	2.028901557853051e-12	0.0	-6.578977188976778e-11	1.2359670336507302e-10	-2.920197288101843e-11	-1.5558276570022986e-08	-5.0413530712376285e-09	-3.114075028871467e-08	-8.345892521642308e-11	2.5254179010780938e-11
B_thetaiotaomicron	-3.729216219618344e-11	4.600816720565335e-12	2.3651914275571037e-11	0.0	9.382277027396333e-11	2.20658052568815e-10	3.066489920540022e-09	-1.4709984934259445e-10	-4.996118932282532e-08	4.595035361883e-10	2.4171670130438323e-10
B_uniformis	-2.4183045501911825e-11	5.799686438815093e-12	4.455938120202432e-10	-1.236498005665149e-11	0.0	2.0915651903541433e-12	1.2985259284951468e-09	-4.2716350038867054e-11	-7.953941533235476e-09	-3.7538079104138876e-11	1.9984362854913696e-10
B_vulgatus	-1.2891318530519338e-09	3.770861711606622e-11	2.6215225503381874e-11	-2.4015263612043676e-11	2.1224471438861238e-10	0.0	4.351716525540267e-09	-2.216213858307081e-10	-6.713534564405814e-08	1.31745642245663e-09	4.890638701718567e-10
C_aerofaciens	-4.256579498900499e-11	1.3414408210717488e-10	1.1865056072445887e-09	5.250394127263034e-11	9.889859662507898e-10	1.6683642128776813e-10	0.0	1.136586174741406e-11	-5.4379384461610096e-08	9.423068026007456e-10	2.4267554650229484e-09
C_scindens	-1.504571019066347e-11	3.399658154328591e-11	2.5118948356970507e-10	4.163463692248442e-11	1.559852227448857e-10	1.477858186554302e-10	9.187071377327275e-09	0.0	-3.1892446677841705e-08	9.821800227112934e-10	9.738288655285667e-10
C_spiroforme	2.720942461673613e-11	-1.5728718410377537e-11	1.5827512782943988e-10	1.3467975889094786e-11	-5.172728979611706e-10	-7.578813705874863e-12	-2.6292262097451518e-09	-3.230345082223629e-10	0.0	-5.101350214369713e-10	-1.6630674571775313e-09
P_distasonis	-5.076775533272371e-11	5.6870767992388404e-11	3.2637320581319396e-10	-7.491916282489833e-12	3.148555735618561e-10	2.3335240770888567e-12	8.425525374501801e-10	-2.1087901488156894e-10	-1.4864482256598346e-08	0.0	6.883534407878352e-10
R_obeum	-6.790544757342471e-11	1.6133669009985002e-11	7.77138964436864e-10	-1.5956391248633664e-11	2.29852459018124e-10	-1.4984506757533174e-11	-5.507940427695042e-10	-1.1824679832441654e-09	-3.316103249595827e-08	-3.172235580366806e-11	0.0
