	Bca	Bce	Bov	Bth	Bun	Bvu	Cae	Csc	Csp	Pdi	Rob
Bca									-2.055531362448286		
Bce	-0.5227842402741547										
Bov	-0.6308221331704918						-1.738546022755256	-1.2854600572296353	-2.049258873442993		
Bth	-0.4967985673750726						1.67855176303943		-2.0953394701090033		
Bun											
Bvu	-0.6370560869181727						1.7462022547933462			1.0351335751429478	1.0450721375325545
Cae		0.32847967651580184	0.7067067585886116							1.0679226777330444	1.1540705372661
Csc							1.7682302519529172			0.9998769819126555	
Csp											
Pdi			0.7006217456975815								1.075968577866493
Rob			0.8009097951744881								
