name	Growth_mean	Growth_median	Self_interaction_mean	Self_interaction_median	Cluster	Perturbation_mean	Perturbation_median	Perturbation_bayes_factor
B_caccae	0.747416024651179	0.7508901294384636	1.11049573695178e-08	1.1272625459188296e-08	0	0.3360373818744659	0.3728258698082315	4.481955230698949
B_cellulosilyticus_WH2	0.1923824145107536	0.1820079817860935	3.195155825415412e-09	3.139585133988566e-09	1	-1.7481316947429035	-1.6352561614967485	50.06382978723404
B_ovatus	0.0841540090912384	0.0460281256968043	1.0958740448124252e-08	1.0859854311556574e-08	2	-19.755819376185208	-14.89175632734267	inf
B_thetaiotaomicron	0.3801468152144625	0.3668885456667388	8.582218196248341e-09	8.06319344239014e-09	3	0.0202207790150717	-0.0	0.0663349180255031
B_uniformis	0.2138634502587439	0.2088591223917958	1.863071521761687e-08	1.8263197731793853e-08	4	-1.4339422285018255	-1.3496959062518004	4.683163627752783
B_vulgatus	0.3463660289410316	0.3375411558164467	4.146425704872366e-09	3.9671452871138405e-09	5	0.0305519487967857	-0.0	0.0787001662996089
C_aerofaciens	0.2592396323140992	0.2441392066507826	2.3694955213997977e-07	2.273748825872828e-07	6	-0.2016919293369461	-0.0	0.262427015938141
C_scindens	0.4834588007337986	0.471336599333249	7.14996835013246e-08	7.076654579962666e-08	7	0.1357869030180523	-0.0	0.3146362839614373
C_spiroforme	0.6077969131337054	0.610894360101446	1.0821569306552368e-06	1.078680301464524e-06	8	0.5310444136499918	0.575014800620547	2.790271636133923
P_distasonis	0.2395918209912531	0.2307114603633363	2.08458408331868e-08	2.0234706257386288e-08	9	-0.8669043809313706	-0.8030678110026974	1.680067001675042
R_obeum	0.2837476525979052	0.2666859021510185	3.0766040481397165e-08	3.015202095371792e-08	10	-1.095261228676849	-1.0829591854427756	3.326663061114116
