	name	median	mean	25th percentile	75th percentile
mean	Mean parameter for the truncated normal prior of the self-interaction parameter	7.694752923555364e-08	1.0466167328916009e-07	3.3393325273353256e-08	1.4606053618550796e-07
B_caccae	Bacteroides caccae B_caccae	1.1272625459188297e-08	1.11049573695178e-08	1.0082692089984316e-08	1.2298462958138345e-08
B_cellulosilyticus_WH2	Bacteroides cellulosilyticus B_cellulosilyticus_WH2	3.1395851339885664e-09	3.195155825415412e-09	2.7071214429374497e-09	3.6106712422257938e-09
B_ovatus	Bacteroides ovatus B_ovatus	1.0859854311556574e-08	1.0958740448124252e-08	9.097688346555503e-09	1.2731398516630959e-08
B_thetaiotaomicron	Bacteroides thetaiotaomicron B_thetaiotaomicron	8.06319344239014e-09	8.582218196248341e-09	6.6796010550844305e-09	1.0017381453025687e-08
B_uniformis	Bacteroides uniformis B_uniformis	1.8263197731793853e-08	1.863071521761687e-08	1.5177576377422005e-08	2.17661239229604e-08
B_vulgatus	Phocaeicola vulgatus B_vulgatus	3.96714528711384e-09	4.146425704872366e-09	3.147865817717303e-09	4.931036146558195e-09
C_aerofaciens	Collinsella aerofaciens C_aerofaciens	2.273748825872828e-07	2.3694955213997977e-07	1.7785973355149089e-07	2.8690832891583483e-07
C_scindens	Lachnoclostridium scindens C_scindens	7.076654579962666e-08	7.14996835013246e-08	5.7977903625003414e-08	8.457239183269239e-08
C_spiroforme	Erysipelatoclostridium spiroforme C_spiroforme	1.078680301464524e-06	1.0821569306552368e-06	8.19770583130991e-07	1.3330825954329586e-06
P_distasonis	Parabacteroides distasonis P_distasonis	2.0234706257386288e-08	2.08458408331868e-08	1.6842197749458728e-08	2.4131737115879652e-08
R_obeum	Blautia obeum R_obeum	3.015202095371792e-08	3.0766040481397165e-08	2.4771668609881538e-08	3.577662319353347e-08
